Date of flight,Origin,Destination,Flight number,Flight_times,Model,STD,ATD,STA,ATA
10 Aug 2020,IEV,OZH,M9202,1:14,UR-14005,5:00 PM,5:15 PM,6:15 PM,Landed 6:29 PM
10 Aug 2020,OZH,IEV,M9201,1:13,UR-14005,4:20 AM,4:33 AM,5:40 AM,Landed 5:45 AM
15 Jul 2020,IEV,OZH,M9202,1:11,UR-14005,5:00 PM,5:07 PM,6:15 PM,Landed 6:18 PM
15 Jul 2020,OZH,IEV,M9201,1:34,UR-14005,4:20 AM,4:20 AM,5:40 AM,Landed 5:53 AM
13 Jul 2020,IEV,OZH,M9202,1:22,UR-14005,5:00 PM,5:03 PM,6:15 PM,Landed 6:25 PM
13 Jul 2020,OZH,IEV,M9201,1:19,UR-14005,4:20 AM,4:20 AM,5:40 AM,Landed 5:38 AM
11 Jul 2020,IEV,OZH,M96216,1:15,UR-14005,6:19 PM,6:16 PM,â€”,Landed 7:32 PM
10 Jul 2020,OZH,IEV,M96215,1:35,UR-14005,3:19 PM,1:40 PM,â€”,Landed 3:14 PM
01 Jul 2020,IEV,OZH,M9202,1:15,UR-14005,5:00 PM,4:59 PM,6:15 PM,Landed 6:14 PM
01 Jul 2020,OZH,IEV,M9201,-,UR-14005,4:20 AM,â€”,5:40 AM,Landed 5:39 AM
13 Mar 2020,MSQ,OZH,M9318,-,UR-14005,12:00 PM														,â€”,2:15 PM,Landed 1:53 PM
13 Mar 2020,OZH,MSQ,M9317,-,UR-14005,4:45 AM,â€”,7:00 AM,Landed 7:30 AM
11 Mar 2020,MSQ,OZH,M9318,-,UR-14005,12:00 PM														,â€”,2:15 PM,Landed 2:00 PM
11 Mar 2020,OZH,MSQ,M9317,2:09,UR-14005,4:45 AM,4:51 AM,7:00 AM,Landed 7:00 AM
09 Mar 2020,MSQ,OZH,M9318,2:21,UR-14005,12:00 PM														,12:06 PM														,2:15 PM,Landed 2:27 PM
09 Mar 2020,OZH,MSQ,M9317,-,UR-14005,4:45 AM,â€”,7:00 AM,Landed 6:58 AM
08 Mar 2020,MSQ,OZH,M9318,-,UR-14005,12:00 PM														,â€”,2:15 PM,Landed 1:58 PM
08 Mar 2020,OZH,MSQ,M9317,-,UR-14005,5:45 AM,â€”,8:00 AM,Landed 9:04 AM
07 Mar 2020,KBP,OZH,M96216,1:15,UR-14005,6:47 PM,6:45 PM,â€”,Landed 8:01 PM
06 Mar 2020,OZH,KBP,M96215,1:06,UR-14005,9:13 AM,8:06 AM,â€”,Landed 9:12 AM
04 Mar 2020,MSQ,OZH,M9318,2:06,UR-14005,12:00 PM														,12:07 PM														,2:15 PM,Landed 2:13 PM
04 Mar 2020,OZH,MSQ,M9317,2:04,UR-14005,4:45 AM,4:47 AM,7:00 AM,Landed 6:51 AM
03 Mar 2020,IEV,OZH,M9202,1:10,UR-14005,6:00 PM,5:59 PM,7:15 PM,Landed 7:09 PM
03 Mar 2020,OZH,IEV,M9205,-,UR-14005,3:50 PM,â€”,5:10 PM,Landed 5:24 PM
