Date of flight,Origin,Destination,Flight number,Flight_times,Model,STD,ATD,STA,ATA
09 Dec 2020,OZH,IEV,M9201,-,UR-BXC,5:20 AM,â€”,6:40 AM,Landed 6:51 AM
08 Dec 2020,IEV,OZH,M9202,1:31,UR-BXC,6:00 PM,6:01 PM,7:15 PM,Landed 7:32 PM
08 Dec 2020,OZH,IEV,M9201,1:09,UR-BXC,5:20 AM,5:26 AM,6:40 AM,Landed 6:35 AM
04 Dec 2020,IEV,OZH,M9202,1:20,UR-BXC,6:00 PM,6:02 PM,7:15 PM,Landed 7:21 PM
04 Dec 2020,OZH,IEV,M9201,1:21,UR-BXC,5:20 AM,8:31 AM,6:40 AM,Landed 9:52 AM
02 Dec 2020,IEV,OZH,M9202,1:13,UR-BXC,6:00 PM,6:11 PM,7:15 PM,Landed 7:24 PM
02 Dec 2020,OZH,IEV,M9201,1:41,UR-BXC,5:20 AM,5:20 AM,6:40 AM,Landed 7:00 AM
01 Dec 2020,IEV,OZH,M9202,1:28,UR-BXC,6:00 PM,6:12 PM,7:15 PM,Landed 7:40 PM
01 Dec 2020,OZH,IEV,M9201,-,UR-BXC,5:20 AM,â€”,6:40 AM,Landed 6:47 AM
27 Nov 2020,MSQ,OZH,M9318,2:20,UR-BXC,3:05 PM,3:05 PM,5:20 PM,Landed 5:25 PM
27 Nov 2020,OZH,MSQ,M9317,2:09,UR-BXC,5:00 AM,5:00 AM,7:15 AM,Landed 7:09 AM
26 Nov 2020,IEV,OZH,M9202,1:11,UR-BXC,6:00 PM,6:13 PM,7:15 PM,Landed 7:24 PM
26 Nov 2020,OZH,IEV,M9201,-,UR-BXC,5:20 AM,â€”,6:40 AM,Landed 6:52 AM
24 Nov 2020,IEV,OZH,M9202,1:13,UR-BXC,6:00 PM,5:57 PM,7:15 PM,Landed 7:10 PM
24 Nov 2020,OZH,IEV,M9201,-,UR-BXC,5:20 AM,â€”,6:40 AM,Landed 7:13 AM
23 Nov 2020,IEV,OZH,M9202,1:14,UR-BXC,6:00 PM,5:57 PM,7:15 PM,Landed 7:12 PM
23 Nov 2020,OZH,IEV,M9201,1:56,UR-BXC,5:20 AM,5:20 AM,6:40 AM,Landed 7:16 AM
16 Nov 2020,IEV,OZH,M9202,1:14,UR-BXC,6:00 PM,6:01 PM,7:15 PM,Landed 7:16 PM
16 Nov 2020,OZH,IEV,M9201,-,UR-BXC,5:20 AM,â€”,6:40 AM,Landed 8:34 AM
06 Nov 2020,IEV,OZH,M9202,1:13,UR-BXC,6:00 PM,5:59 PM,7:15 PM,Landed 7:12 PM
06 Nov 2020,OZH,IEV,M9201,1:41,UR-BXC,5:20 AM,5:20 AM,6:40 AM,Landed 7:00 AM
05 Nov 2020,IEV,OZH,M9202,1:15,UR-BXC,6:00 PM,5:59 PM,7:15 PM,Landed 7:14 PM
05 Nov 2020,IEV,IEV,M96214,0:18,UR-BXC,8:25 AM,8:03 AM,â€”,Landed 8:21 AM
05 Nov 2020,IEV,IEV,M96214,0:25,UR-BXC,7:56 AM,7:28 AM,â€”,Landed 7:53 AM
05 Nov 2020,OZH,IEV,M9201,1:16,UR-BXC,5:20 AM,5:27 AM,6:40 AM,Landed 6:43 AM
04 Nov 2020,IEV,OZH,M9202,1:14,UR-BXC,6:00 PM,6:01 PM,7:15 PM,Landed 7:15 PM
04 Nov 2020,OZH,IEV,M9201,-,UR-BXC,5:20 AM,â€”,6:40 AM,Landed 9:50 AM
03 Nov 2020,IEV,OZH,M9202,1:14,UR-BXC,6:00 PM,6:00 PM,7:15 PM,Landed 7:14 PM
03 Nov 2020,OZH,IEV,M9201,-,UR-BXC,5:20 AM,â€”,6:40 AM,Landed 6:49 AM
23 Oct 2020,IEV,OZH,M9202,1:14,UR-BXC,5:00 PM,5:06 PM,6:15 PM,Landed 6:20 PM
16 Oct 2020,IEV,OZH,M9202,1:14,UR-BXC,5:00 PM,4:59 PM,6:15 PM,Landed 6:14 PM
16 Oct 2020,OZH,IEV,M9201,1:24,UR-BXC,4:20 AM,4:32 AM,5:40 AM,Landed 5:57 AM
12 Oct 2020,IEV,OZH,M9202,1:16,UR-BXC,5:00 PM,5:05 PM,6:15 PM,Landed 6:22 PM
12 Oct 2020,OZH,IEV,M9201,1:20,UR-BXC,4:20 AM,4:29 AM,5:40 AM,Landed 5:49 AM
09 Oct 2020,IEV,OZH,M9202,1:19,UR-BXC,5:00 PM,4:57 PM,6:15 PM,Landed 6:16 PM
09 Oct 2020,OZH,IEV,M9201,-,UR-BXC,4:20 AM,â€”,5:40 AM,Landed 5:44 AM
08 Oct 2020,IEV,OZH,M9202,1:26,UR-BXC,5:00 PM,5:04 PM,6:15 PM,Landed 6:30 PM
08 Oct 2020,OZH,IEV,M9201,1:16,UR-BXC,4:20 AM,4:34 AM,5:40 AM,Landed 5:50 AM
07 Oct 2020,IEV,OZH,M9202,1:28,UR-BXC,5:00 PM,5:09 PM,6:15 PM,Landed 6:36 PM
07 Oct 2020,OZH,IEV,M9201,1:19,UR-BXC,4:20 AM,4:26 AM,5:40 AM,Landed 5:46 AM
06 Oct 2020,IEV,OZH,M9202,1:24,UR-BXC,5:00 PM,4:57 PM,6:15 PM,Landed 6:21 PM
06 Oct 2020,OZH,IEV,M9201,1:20,UR-BXC,4:20 AM,4:34 AM,5:40 AM,Landed 5:54 AM
05 Oct 2020,IEV,OZH,M9202,1:19,UR-BXC,5:00 PM,5:08 PM,6:15 PM,Landed 6:27 PM
05 Oct 2020,OZH,IEV,M9201,-,UR-BXC,4:20 AM,â€”,5:40 AM,Landed 6:16 AM
16 Mar 2020,MSQ,OZH,M9318,-,UR-BXC,12:00 PM,â€”,2:15 PM,Landed 2:09 PM
16 Mar 2020,OZH,MSQ,M9317,2:38,UR-BXC,4:45 AM,4:49 AM,7:00 AM,Landed 7:26 AM
15 Mar 2020,MSQ,OZH,M9318,1:59,UR-BXC,12:00 PM,12:09 PM,2:15 PM,Landed 2:09 PM
15 Mar 2020,OZH,MSQ,M9317,2:57,UR-BXC,5:45 AM,5:58 AM,8:00 AM,Landed 8:56 AM
