Date of flight,Origin,Destination,Flight number,Flight_times,Model,STD,ATD,STA,ATA
24 Sep 2019,KBP,SSH,(BKV2017),3:43,UR-COI,6:09 PM,2:21 PM,â€”,Landed 6:05 PM
24 Sep 2019,KBP,GML,YE9002,0:32,UR-COI,9:39 AM,9:06 AM,â€”,Landed 9:38 AM
24 Sep 2019,SSH,KBP,(BKV2024),3:52,UR-COI,7:31 AM,3:38 AM,â€”,Landed 7:30 AM
24 Sep 2019,KBP,SSH,(BKV2023),3:36,UR-COI,2:34 AM,10:54 PM,â€”,Landed 2:30 AM
22 Sep 2019,SSH,KBP,(BKV2026),3:52,UR-COI,7:10 AM,3:17 AM,â€”,Landed 7:09 AM
21 Sep 2019,SSH,KBP,(BKV2022),4:00,UR-COI,7:26 AM,3:26 AM,â€”,Landed 7:26 AM
21 Sep 2019,KBP,SSH,(BKV2021),3:35,UR-COI,2:21 AM,10:43 PM,â€”,Landed 2:18 AM
20 Sep 2019,SSH,KBP,(BKV2026),3:49,UR-COI,6:56 AM,3:07 AM,â€”,Landed 6:56 AM
20 Sep 2019,KBP,SSH,(BKV2025),3:46,UR-COI,1:56 AM,10:06 PM,â€”,Landed 1:52 AM
19 Sep 2019,SSH,KBP,(BKV2018),3:41,UR-COI,7:37 AM,3:55 AM,â€”,Landed 7:36 AM
19 Sep 2019,KBP,SSH,(BKV2017),3:42,UR-COI,3:01 AM,11:15 PM,â€”,Landed 2:56 AM
18 Sep 2019,SSH,KBP,(BKV2026),3:48,UR-COI,6:54 AM,3:06 AM,â€”,Landed 6:54 AM
17 Sep 2019,SSH,KBP,(BKV2020),3:54,UR-COI,9:03 PM,5:08 PM,â€”,Landed 9:02 PM
17 Sep 2019,SSH,KBP,(BKV2024),3:52,UR-COI,7:13 AM,3:20 AM,â€”,Landed 7:12 AM
17 Sep 2019,KBP,SSH,(BKV2023),3:32,UR-COI,2:18 AM,10:42 PM,â€”,Landed 2:14 AM
16 Sep 2019,SSH,KBP,(BKV2026),3:54,UR-COI,8:02 AM,4:08 AM,â€”,Landed 8:02 AM
16 Sep 2019,KBP,SSH,(BKV2025),3:35,UR-COI,2:36 AM,10:57 PM,â€”,Landed 2:32 AM
15 Sep 2019,SSH,KBP,(BKV7104),3:52,UR-COI,9:31 PM,5:38 PM,â€”,Landed 9:30 PM
15 Sep 2019,KBP,SSH,(BKV7103),3:29,UR-COI,3:40 PM,12:07 PM,â€”,Landed 3:36 PM
15 Sep 2019,SSH,KBP,(BKV2026),3:56,UR-COI,6:59 AM,3:02 AM,â€”,Landed 6:58 AM
15 Sep 2019,KBP,SSH,(BKV2025),3:33,UR-COI,1:47 AM,10:10 PM,â€”,Landed 1:43 AM
14 Sep 2019,SSH,KBP,(BKV2022),3:45,UR-COI,7:18 AM,3:33 AM,â€”,Landed 7:18 AM
14 Sep 2019,KBP,SSH,(BKV2021),3:31,UR-COI,2:29 AM,10:53 PM,â€”,Landed 2:25 AM
13 Sep 2019,SSH,KBP,(BKV2026),3:57,UR-COI,7:59 AM,4:02 AM,â€”,Landed 7:59 AM
13 Sep 2019,KBP,SSH,(BKV2025),3:31,UR-COI,2:47 AM,11:12 PM,â€”,Landed 2:44 AM
12 Sep 2019,SSH,KBP,(BKV7104),3:55,UR-COI,9:36 PM,5:40 PM,â€”,Landed 9:35 PM
11 Sep 2019,SSH,KBP,(BKV2026),3:54,UR-COI,7:17 AM,3:22 AM,â€”,Landed 7:16 AM
11 Sep 2019,KBP,SSH,(BKV2025),3:31,UR-COI,1:50 AM,10:15 PM,â€”,Landed 1:46 AM
10 Sep 2019,SSH,KBP,(BKV2024),3:53,UR-COI,7:24 AM,3:31 AM,â€”,Landed 7:24 AM
10 Sep 2019,KBP,SSH,(BKV2023),3:39,UR-COI,2:21 AM,10:38 PM,â€”,Landed 2:17 AM
08 Sep 2019,SSH,AYT,(BKV2001),1:59,UR-COI,8:36 AM,6:36 AM,â€”,Landed 8:36 AM
08 Sep 2019,KBP,SSH,(BKV2025),3:37,UR-COI,5:28 AM,1:48 AM,â€”,Landed 5:25 AM
07 Sep 2019,SSH,KBP,(BKV2022),3:48,UR-COI,7:37 AM,3:48 AM,â€”,Landed 7:36 AM
07 Sep 2019,KBP,SSH,(BKV2021),3:38,UR-COI,2:33 AM,10:51 PM,â€”,Landed 2:29 AM
06 Sep 2019,SSH,KBP,(BKV2024),3:46,UR-COI,6:50 AM,3:04 AM,â€”,Landed 6:50 AM
06 Sep 2019,KBP,SSH,(BKV2023),3:42,UR-COI,1:54 AM,10:08 PM,â€”,Landed 1:50 AM
05 Sep 2019,AYT,KBP,(BKV2362),2:19,UR-COI,3:27 PM,1:04 PM,â€”,Landed 3:22 PM
05 Sep 2019,SSH,AYT,(BKV2001),2:00,UR-COI,8:05 AM,6:05 AM,â€”,Landed 8:04 AM
05 Sep 2019,KBP,SSH,(BKV2025),3:30,UR-COI,5:02 AM,1:28 AM,â€”,Landed 4:58 AM
04 Sep 2019,BUS,KBP,YE1216,2:16,UR-COI,5:00 PM,5:01 PM,7:30 PM,Landed 7:17 PM
04 Sep 2019,HRK,BUS,YE223,2:10,UR-COI,1:20 PM,1:27 PM,4:00 PM,Landed 3:38 PM
04 Sep 2019,BUS,HRK,YE224,2:17,UR-COI,9:00 AM,9:10 AM,11:45 AM,Landed 11:28 AM
04 Sep 2019,KBP,BUS,YE1215,2:07,UR-COI,5:30 AM,5:42 AM,8:00 AM,Landed 7:49 AM
03 Sep 2019,SSH,KBP,(BKV2024),3:46,UR-COI,7:08 AM,3:21 AM,â€”,Landed 7:07 AM
01 Sep 2019,AYT,KBP,(BKV2362),2:07,UR-COI,7:27 PM,5:19 PM,â€”,Landed 7:26 PM
01 Sep 2019,AYT,HRK,(BKV2164),2:15,UR-COI,11:58 AM,9:42 AM,â€”,Landed 11:57 AM
01 Sep 2019,KBP,AYT,(BKV2361),2:12,UR-COI,8:03 AM,5:51 AM,â€”,Landed 8:03 AM
31 Aug 2019,BUS,KBP,YE1216,2:19,UR-COI,5:00 PM,6:28 PM,7:30 PM,Landed 8:47 PM
31 Aug 2019,ODS,BUS,YE219,1:50,UR-COI,1:50 PM,3:25 PM,4:00 PM,Landed 5:14 PM
31 Aug 2019,BUS,ODS,YE220,2:03,UR-COI,9:00 AM,12:16 PM,11:45 AM,Landed 2:19 PM
31 Aug 2019,KBP,BUS,YE1215,2:17,UR-COI,5:30 AM,8:58 AM,8:00 AM,Landed 11:15 AM
31 Aug 2019,SSH,KBP,(BKV2026),3:48,UR-COI,6:55 AM,3:07 AM,â€”,Landed 6:55 AM
31 Aug 2019,KBP,SSH,(BKV2025),3:36,UR-COI,1:45 AM,10:05 PM,â€”,Landed 1:41 AM
30 Aug 2019,BUS,KBP,YE1216,2:20,UR-COI,6:00 PM,6:14 PM,8:40 PM,Landed 8:34 PM
30 Aug 2019,KBP,BUS,YE1215,2:07,UR-COI,2:20 PM,2:36 PM,5:00 PM,Landed 4:43 PM
30 Aug 2019,SSH,KBP,(BKV2024),3:48,UR-COI,6:57 AM,3:09 AM,â€”,Landed 6:57 AM
30 Aug 2019,KBP,SSH,(BKV2023),3:25,UR-COI,1:55 AM,10:25 PM,â€”,Landed 1:50 AM
29 Aug 2019,AYT,KBP,(BKV2362),2:13,UR-COI,6:53 PM,4:40 PM,â€”,Landed 6:53 PM
29 Aug 2019,HRK,AYT,(BKV2163),2:20,UR-COI,2:58 PM,12:37 PM,â€”,Landed 2:57 PM
29 Aug 2019,AYT,HRK,(BKV2164),2:10,UR-COI,10:23 AM,8:13 AM,â€”,Landed 10:23 AM
29 Aug 2019,KBP,AYT,(BKV2361),2:13,UR-COI,6:54 AM,4:41 AM,â€”,Landed 6:54 AM
28 Aug 2019,BUS,KBP,YE1216,2:13,UR-COI,5:00 PM,12:11 AM,7:30 PM,Landed 2:24 AM
28 Aug 2019,HRK,BUS,YE223,2:13,UR-COI,1:20 PM,8:50 PM,4:00 PM,Landed 11:03 PM
28 Aug 2019,BUS,HRK,YE224,2:16,UR-COI,9:00 AM,5:07 PM,11:45 AM,Landed 7:24 PM
28 Aug 2019,KBP,BUS,YE1215,2:07,UR-COI,5:30 AM,1:51 PM,8:00 AM,Landed 3:58 PM
28 Aug 2019,SSH,KBP,(BKV2024),3:40,UR-COI,11:42 AM,8:01 AM,â€”,Landed 11:41 AM
28 Aug 2019,KBP,SSH,(BKV2023),3:46,UR-COI,6:43 AM,2:53 AM,â€”,Landed 6:39 AM
28 Aug 2019,BUS,KBP,YE1216,2:08,UR-COI,1:13 AM,11:05 PM,â€”,Landed 1:12 AM
27 Aug 2019,KBP,BUS,YE1215,2:07,UR-COI,9:09 PM,6:58 PM,â€”,Landed 9:05 PM
27 Aug 2019,VNO,KBP,YE5778,1:06,UR-COI,12:22 PM,11:16 AM,â€”,Landed 12:21 PM
27 Aug 2019,BCN,VNO,YE5778,3:19,UR-COI,10:02 AM,6:43 AM,â€”,Landed 10:02 AM
27 Aug 2019,VIL,BCN,YE5778,3:17,UR-COI,3:59 AM,12:42 AM,â€”,Landed 3:59 AM
26 Aug 2019,BCN,NDB,YE5777,4:16,UR-COI,3:57 AM,3:56 AM,â€”,Landed 8:12 AM
26 Aug 2019,VNO,BCN,YE5777,3:10,UR-COI,2:22 AM,11:12 PM,â€”,Landed 2:22 AM
25 Aug 2019,AYT,KBP,(BKV2362),2:05,UR-COI,6:05 PM,3:59 PM,â€”,Landed 6:04 PM
25 Aug 2019,AYT,HRK,(BKV2164),2:10,UR-COI,10:57 AM,8:46 AM,â€”,Landed 10:56 AM
25 Aug 2019,KBP,AYT,(BKV2361),2:16,UR-COI,7:11 AM,4:55 AM,â€”,Landed 7:10 AM
24 Aug 2019,BUS,KBP,YE1216,2:16,UR-COI,5:00 PM,6:11 PM,7:30 PM,Landed 8:27 PM
24 Aug 2019,ODS,BUS,YE219,1:33,UR-COI,1:50 PM,3:19 PM,4:00 PM,Landed 4:53 PM
24 Aug 2019,BUS,ODS,YE220,1:47,UR-COI,9:00 AM,12:23 PM,11:45 AM,Landed 2:11 PM
24 Aug 2019,KBP,BUS,YE1215,2:05,UR-COI,5:30 AM,9:13 AM,8:00 AM,Landed 11:19 AM
24 Aug 2019,SSH,KBP,(BKV2026),3:47,UR-COI,6:43 AM,2:56 AM,â€”,Landed 6:43 AM
24 Aug 2019,KBP,SSH,(BKV2025),3:33,UR-COI,1:44 AM,10:07 PM,â€”,Landed 1:40 AM
23 Aug 2019,BUS,KBP,YE1216,2:12,UR-COI,6:00 PM,6:11 PM,8:40 PM,Landed 8:22 PM
23 Aug 2019,KBP,BUS,YE1215,2:17,UR-COI,2:20 PM,2:35 PM,5:00 PM,Landed 4:53 PM
23 Aug 2019,BUS,KBP,YE1218,2:14,UR-COI,1:03 PM,10:48 AM,â€”,Landed 1:03 PM
23 Aug 2019,KBP,BUS,YE1217,2:08,UR-COI,9:22 AM,7:10 AM,â€”,Landed 9:17 AM
23 Aug 2019,SSH,KBP,(BKV2024),3:30,UR-COI,6:05 AM,2:35 AM,â€”,Landed 6:05 AM
23 Aug 2019,KBP,SSH,(BKV2023),3:48,UR-COI,1:20 AM,9:28 PM,â€”,Landed 1:16 AM
22 Aug 2019,AYT,KBP,(BKV2362),2:13,UR-COI,4:26 PM,2:12 PM,â€”,Landed 4:25 PM
22 Aug 2019,HRK,AYT,(BKV2163),2:17,UR-COI,12:55 PM,10:33 AM,â€”,Landed 12:50 PM
22 Aug 2019,AYT,HRK,(BKV2164),2:14,UR-COI,9:21 AM,7:06 AM,â€”,Landed 9:20 AM
22 Aug 2019,KBP,AYT,(BKV2361),2:14,UR-COI,4:58 AM,2:44 AM,â€”,Landed 4:58 AM
21 Aug 2019,BUS,KBP,YE1216,2:12,UR-COI,5:00 PM,7:16 PM,7:30 PM,Landed 9:29 PM
21 Aug 2019,HRK,BUS,YE223,2:20,UR-COI,1:20 PM,3:46 PM,4:00 PM,Landed 6:07 PM
21 Aug 2019,BUS,HRK,YE224,2:45,UR-COI,9:00 AM,12:05 PM,11:45 AM,Landed 2:49 PM
21 Aug 2019,KBP,BUS,YE1215,2:10,UR-COI,5:30 AM,8:44 AM,8:00 AM,Landed 10:54 AM
21 Aug 2019,SSH,KBP,(BKV2024),4:06,UR-COI,7:28 AM,3:22 AM,â€”,Landed 7:28 AM
20 Aug 2019,BUS,KBP,YE1216,2:20,UR-COI,9:00 AM,12:31 PM,11:30 AM,Landed 2:51 PM
20 Aug 2019,KBP,BUS,YE1215,2:05,UR-COI,5:30 AM,8:52 AM,8:00 AM,Landed 10:58 AM
20 Aug 2019,SSH,KBP,(BKV2024),4:13,UR-COI,7:28 AM,3:15 AM,â€”,Landed 7:28 AM
20 Aug 2019,KBP,SSH,(BKV2023),3:19,UR-COI,2:03 AM,10:41 PM,â€”,Landed 2:00 AM
19 Aug 2019,BUS,KBP,YE1216,2:19,UR-COI,6:30 PM,6:45 PM,9:05 PM,Landed 9:03 PM
19 Aug 2019,KBP,BUS,YE1215,2:07,UR-COI,2:40 PM,3:17 PM,5:30 PM,Landed 5:24 PM
19 Aug 2019,AYT,KBP,(BKV2362),2:21,UR-COI,12:13 AM,9:52 PM,â€”,Landed 12:13 AM
18 Aug 2019,HRK,AYT,(BKV2163),2:16,UR-COI,8:36 PM,6:19 PM,â€”,Landed 8:36 PM
18 Aug 2019,AYT,HRK,(BKV2164),2:10,UR-COI,5:03 PM,2:53 PM,â€”,Landed 5:03 PM
18 Aug 2019,KBP,AYT,(BKV2361),2:14,UR-COI,1:26 PM,11:12 AM,â€”,Landed 1:25 PM
17 Aug 2019,AYT,KBP,(BKV2262),2:03,UR-COI,9:56 PM,7:53 PM,â€”,Landed 9:56 PM
17 Aug 2019,SSH,AYT,(BKV2001),2:03,UR-COI,6:38 PM,4:34 PM,â€”,Landed 6:37 PM
17 Aug 2019,KBP,SSH,(BKV2021),3:42,UR-COI,2:58 PM,11:12 AM,â€”,Landed 2:54 PM
16 Aug 2019,BUS,KBP,YE1216,2:20,UR-COI,6:00 PM,6:22 PM,8:40 PM,Landed 8:42 PM
16 Aug 2019,KBP,BUS,YE1215,2:12,UR-COI,2:20 PM,2:39 PM,5:00 PM,Landed 4:52 PM
16 Aug 2019,SSH,KBP,(BKV2024),3:37,UR-COI,7:04 AM,3:27 AM,â€”,Landed 7:03 AM
15 Aug 2019,HRK,AYT,(BKV2163),2:24,UR-COI,12:51 PM,10:27 AM,â€”,Landed 12:51 PM
15 Aug 2019,AYT,HRK,(BKV2164),2:05,UR-COI,9:03 AM,6:57 AM,â€”,Landed 9:02 AM
15 Aug 2019,KBP,AYT,(BKV2361),2:24,UR-COI,5:28 AM,3:03 AM,â€”,Landed 5:27 AM
14 Aug 2019,BUS,KBP,YE1216,2:13,UR-COI,5:00 PM,7:32 PM,7:30 PM,Landed 9:45 PM
14 Aug 2019,HRK,BUS,YE223,2:14,UR-COI,1:20 PM,3:55 PM,4:00 PM,Landed 6:09 PM
14 Aug 2019,BUS,HRK,YE224,2:32,UR-COI,9:00 AM,12:08 PM,11:45 AM,Landed 2:40 PM
14 Aug 2019,KBP,BUS,YE1215,2:08,UR-COI,5:30 AM,8:32 AM,8:00 AM,Landed 10:39 AM
14 Aug 2019,SSH,KBP,(BKV2024),3:43,UR-COI,6:45 AM,3:01 AM,â€”,Landed 6:45 AM
14 Aug 2019,KBP,SSH,(BKV2023),3:32,UR-COI,1:52 AM,10:16 PM,â€”,Landed 1:48 AM
13 Aug 2019,BUS,KBP,YE1216,2:07,UR-COI,9:00 AM,12:25 PM,11:30 AM,Landed 2:32 PM
13 Aug 2019,KBP,BUS,YE1215,-,UR-COI,5:30 AM,8:30 AM,8:00 AM,Unknown
13 Aug 2019,SSH,KBP,(BKV2024),3:45,UR-COI,6:59 AM,3:13 AM,â€”,Landed 6:59 AM
13 Aug 2019,KBP,SSH,(BKV2023),3:32,UR-COI,2:00 AM,10:23 PM,â€”,Landed 1:56 AM
12 Aug 2019,BUS,KBP,YE1216,2:12,UR-COI,6:30 PM,6:28 PM,9:05 PM,Landed 8:40 PM
12 Aug 2019,KBP,BUS,YE1215,1:59,UR-COI,2:40 PM,2:59 PM,5:30 PM,Landed 4:58 PM
11 Aug 2019,AYT,KBP,(BKV2362),2:11,UR-COI,7:37 PM,5:25 PM,â€”,Landed 7:37 PM
11 Aug 2019,HRK,AYT,(BKV2163),2:12,UR-COI,3:47 PM,1:34 PM,â€”,Landed 3:46 PM
11 Aug 2019,AYT,HRK,(BKV2164),2:13,UR-COI,12:08 PM,9:55 AM,â€”,Landed 12:08 PM
11 Aug 2019,KBP,AYT,(BKV2361),2:05,UR-COI,8:08 AM,6:03 AM,â€”,Landed 8:08 AM
10 Aug 2019,AYT,KBP,(BKV2262),2:14,UR-COI,5:17 PM,3:02 PM,â€”,Landed 5:17 PM
10 Aug 2019,KBP,AYT,(BKV2261),2:01,UR-COI,1:18 PM,11:12 AM,â€”,Landed 1:13 PM
09 Aug 2019,AYT,KBP,(BKV2562),2:12,UR-COI,9:31 PM,7:20 PM,â€”,Landed 9:31 PM
09 Aug 2019,KBP,SSH,(BKV2021),3:38,UR-COI,2:57 PM,11:16 AM,â€”,Landed 2:54 PM
08 Aug 2019,AYT,KBP,(BKV2362),2:10,UR-COI,4:36 PM,2:25 PM,â€”,Landed 4:35 PM
08 Aug 2019,HRK,AYT,(BKV2163),2:17,UR-COI,12:37 PM,10:19 AM,â€”,Landed 12:37 PM
08 Aug 2019,AYT,HRK,(BKV2164),2:11,UR-COI,8:59 AM,6:48 AM,â€”,Landed 8:58 AM
08 Aug 2019,KBP,AYT,(BKV2361),2:11,UR-COI,5:06 AM,2:55 AM,â€”,Landed 5:06 AM
07 Aug 2019,SSH,KBP,(BKV2024),4:00,UR-COI,7:07 AM,3:07 AM,â€”,Landed 7:07 AM
07 Aug 2019,KBP,SSH,(BKV2023),3:32,UR-COI,1:45 AM,10:13 PM,â€”,Landed 1:45 AM
06 Aug 2019,SSH,KBP,(BKV2024),3:51,UR-COI,7:02 AM,3:10 AM,â€”,Landed 7:02 AM
05 Aug 2019,BUS,KBP,YE1216,2:21,UR-COI,6:30 PM,6:44 PM,9:05 PM,Landed 9:05 PM
05 Aug 2019,KBP,BUS,YE1215,2:03,UR-COI,2:40 PM,2:54 PM,5:30 PM,Landed 4:57 PM
04 Aug 2019,AYT,KBP,(BKV2362),2:05,UR-COI,7:26 PM,5:20 PM,â€”,Landed 7:26 PM
04 Aug 2019,HRK,AYT,(BKV2163),2:15,UR-COI,3:40 PM,1:24 PM,â€”,Landed 3:39 PM
04 Aug 2019,AYT,HRK,(BKV2164),2:11,UR-COI,11:49 AM,9:38 AM,â€”,Landed 11:49 AM
04 Aug 2019,KBP,AYT,(BKV2361),2:13,UR-COI,8:01 AM,5:48 AM,â€”,Landed 8:01 AM
03 Aug 2019,KBP,AYT,(BKV2261),2:11,UR-COI,1:22 PM,11:11 AM,â€”,Landed 1:22 PM
03 Aug 2019,SSH,KBP,(BKV7108),3:47,UR-COI,6:26 AM,2:39 AM,â€”,Landed 6:26 AM
