Date of flight,Origin,Destination,Flight number,Flight_times,Model,STD,ATD,STA,ATA
17 Mar 2020,PNR,BZV,Q8201,0:40,UR-CQX,7:00 AM,7:19 AM,7:55 AM,Landed 7:59 AM
16 Mar 2020,BZV,PNR,Q8204,0:42,UR-CQX,5:00 PM,5:49 PM,5:55 PM,Landed 6:31 PM
16 Mar 2020,PNR,BZV,Q859,-,UR-CQX,3:30 PM,â€”,4:25 PM,Landed 4:34 PM
16 Mar 2020,PNR,DLA,Q858,0:57,UR-CQX,9:45 AM,10:36 AM,11:15 AM,Landed 11:33 AM
16 Mar 2020,BZV,PNR,Q858,0:42,UR-CQX,8:10 AM,8:56 AM,9:05 AM,Landed 9:38 AM
16 Mar 2020,PNR,BZV,Q8201,0:46,UR-CQX,6:45 AM,7:14 AM,7:40 AM,Landed 8:00 AM
15 Mar 2020,BZV,PNR,Q8206,0:40,UR-CQX,7:00 PM,8:56 PM,7:55 PM,Landed 9:36 PM
15 Mar 2020,PNR,BZV,Q8557,0:42,UR-CQX,5:30 PM,7:19 PM,6:25 PM,Landed 8:01 PM
15 Mar 2020,COO,PNR,Q8557,3:25,UR-CQX,2:15 PM,3:44 PM,4:45 PM,Landed 7:08 PM
15 Mar 2020,PNR,COO,Q8556,2:14,UR-CQX,11:00 AM,11:59 AM,1:30 PM,Landed 2:13 PM
15 Mar 2020,BZV,PNR,Q8556,0:44,UR-CQX,9:30 AM,10:04 AM,10:25 AM,Landed 10:48 AM
15 Mar 2020,PNR,BZV,Q8201,0:41,UR-CQX,8:00 AM,8:18 AM,8:55 AM,Landed 8:59 AM
14 Mar 2020,BZV,PNR,Q8204,0:41,UR-CQX,3:30 PM,3:48 PM,4:25 PM,Landed 4:29 PM
14 Mar 2020,PNR,BZV,Q8203,0:39,UR-CQX,2:00 PM,2:14 PM,2:55 PM,Landed 2:53 PM
14 Mar 2020,BZV,PNR,Q8202,0:40,UR-CQX,8:30 AM,8:51 AM,9:25 AM,Landed 9:31 AM
14 Mar 2020,PNR,BZV,Q8201,0:40,UR-CQX,7:00 AM,7:13 AM,7:55 AM,Landed 7:53 AM
13 Mar 2020,BZV,PNR,Q8204,-,UR-CQX,3:30 PM,â€”,4:25 PM,Landed 4:37 PM
13 Mar 2020,PNR,BZV,Q8203,0:40,UR-CQX,2:00 PM,2:18 PM,2:55 PM,Landed 2:58 PM
13 Mar 2020,BZV,PNR,Q8202,0:39,UR-CQX,8:30 AM,8:48 AM,9:25 AM,Landed 9:27 AM
13 Mar 2020,PNR,BZV,Q8201,0:41,UR-CQX,7:00 AM,7:03 AM,7:55 AM,Landed 7:44 AM
12 Mar 2020,BZV,PNR,Q8204,-,UR-CQX,3:30 PM,â€”,4:25 PM,Unknown
12 Mar 2020,PNR,BZV,Q8203,0:42,UR-CQX,2:00 PM,2:07 PM,2:55 PM,Landed 2:49 PM
12 Mar 2020,BZV,PNR,Q8202,0:40,UR-CQX,8:30 AM,8:42 AM,9:25 AM,Landed 9:22 AM
12 Mar 2020,PNR,BZV,Q8201,0:44,UR-CQX,7:00 AM,7:01 AM,7:55 AM,Landed 7:44 AM
11 Mar 2020,BZV,PNR,Q8204,0:41,UR-CQX,3:30 PM,3:49 PM,4:25 PM,Landed 4:30 PM
11 Mar 2020,PNR,BZV,Q8203,0:41,UR-CQX,2:00 PM,2:07 PM,2:55 PM,Landed 2:48 PM
11 Mar 2020,BZV,PNR,Q8202,0:42,UR-CQX,8:30 AM,8:40 AM,9:25 AM,Landed 9:22 AM
11 Mar 2020,PNR,BZV,Q8201,0:40,UR-CQX,7:00 AM,7:10 AM,7:55 AM,Landed 7:50 AM
10 Mar 2020,BZV,PNR,Q8204,0:45,UR-CQX,3:30 PM,3:58 PM,4:25 PM,Landed 4:43 PM
10 Mar 2020,PNR,BZV,Q8203,0:42,UR-CQX,2:00 PM,2:10 PM,2:55 PM,Landed 2:52 PM
10 Mar 2020,BZV,PNR,Q8202,0:41,UR-CQX,8:30 AM,8:43 AM,9:25 AM,Landed 9:24 AM
10 Mar 2020,PNR,BZV,Q8201,0:40,UR-CQX,7:00 AM,7:06 AM,7:55 AM,Landed 7:46 AM
09 Mar 2020,BZV,PNR,Q8204,0:43,UR-CQX,5:00 PM,5:40 PM,5:55 PM,Landed 6:22 PM
09 Mar 2020,PNR,BZV,Q859,0:40,UR-CQX,3:30 PM,3:53 PM,4:25 PM,Landed 4:33 PM
09 Mar 2020,DLA,PNR,Q859,-,UR-CQX,12:10 PM,â€”,1:40 PM,Unknown
