Date of flight,Origin,Destination,Flight number,Flight_times,Model,STD,ATD,STA,ATA
24 Dec 2020,KBP,HRK,7W141,0:50,UR-DNF,8:15 AM,8:21 AM,9:30 AM,Landed 9:11 AM
23 Dec 2020,IFO,KBP,7W114,0:56,UR-DNF,3:40 PM,3:51 PM,5:10 PM,Landed 4:47 PM
23 Dec 2020,KBP,IFO,7W113,1:02,UR-DNF,1:15 PM,1:55 PM,2:50 PM,Landed 2:57 PM
23 Dec 2020,HRK,KBP,7W142,0:57,UR-DNF,10:20 AM,10:21 AM,11:40 AM,Landed 11:18 AM
23 Dec 2020,KBP,HRK,7W141,0:49,UR-DNF,8:15 AM,8:32 AM,9:30 AM,Landed 9:21 AM
22 Dec 2020,IFO,KBP,7W114,1:02,UR-DNF,3:40 PM,3:51 PM,5:10 PM,Landed 4:53 PM
22 Dec 2020,KBP,IFO,7W113,1:09,UR-DNF,1:15 PM,1:27 PM,2:50 PM,Landed 2:36 PM
22 Dec 2020,HRK,KBP,7W142,0:52,UR-DNF,10:30 AM,10:24 AM,11:50 AM,Landed 11:16 AM
22 Dec 2020,KBP,HRK,7W141,0:54,UR-DNF,8:15 AM,8:32 AM,9:30 AM,Landed 9:25 AM
22 Dec 2020,KHE,KBP,7W176,1:01,UR-DNF,4:50 AM,4:52 AM,6:25 AM,Landed 5:52 AM
21 Dec 2020,KBP,KHE,7W175,0:54,UR-DNF,6:05 PM,6:21 PM,7:40 PM,Landed 7:15 PM
21 Dec 2020,ODS,KBP,7W124,1:09,UR-DNF,3:50 PM,3:37 PM,5:20 PM,Landed 4:46 PM
21 Dec 2020,KBP,ODS,7W123,0:51,UR-DNF,1:20 PM,1:33 PM,2:45 PM,Landed 2:24 PM
21 Dec 2020,ODS,KBP,7W122,1:09,UR-DNF,10:45 AM,10:42 AM,12:15 PM,Landed 11:51 AM
21 Dec 2020,KBP,ODS,7W121,0:56,UR-DNF,8:20 AM,8:33 AM,9:45 AM,Landed 9:29 AM
20 Dec 2020,ODS,KBP,7W124,1:02,UR-DNF,3:50 PM,3:40 PM,5:20 PM,Landed 4:43 PM
20 Dec 2020,KBP,ODS,7W123,1:00,UR-DNF,1:20 PM,1:22 PM,2:45 PM,Landed 2:22 PM
19 Dec 2020,IFO,KBP,7W114,1:10,UR-DNF,3:40 PM,3:40 PM,5:10 PM,Landed 4:50 PM
19 Dec 2020,KBP,IFO,7W113,1:09,UR-DNF,1:15 PM,1:28 PM,2:50 PM,Landed 2:37 PM
19 Dec 2020,KHE,KBP,7W176,0:53,UR-DNF,4:50 AM,4:57 AM,6:25 AM,Landed 5:50 AM
18 Dec 2020,KBP,KHE,7W175,1:01,UR-DNF,6:05 PM,6:18 PM,7:40 PM,Landed 7:18 PM
18 Dec 2020,LWO,KBP,7W164,1:00,UR-DNF,3:35 PM,3:39 PM,5:05 PM,Landed 4:39 PM
18 Dec 2020,KBP,LWO,7W163,1:08,UR-DNF,1:10 PM,1:26 PM,2:45 PM,Landed 2:34 PM
18 Dec 2020,HRK,KBP,7W142,0:51,UR-DNF,10:30 AM,10:41 AM,11:50 AM,Landed 11:31 AM
18 Dec 2020,KBP,HRK,7W141,0:54,UR-DNF,8:15 AM,8:23 AM,9:30 AM,Landed 9:17 AM
18 Dec 2020,HRK,KBP,7W146,0:54,UR-DNF,5:05 AM,5:03 AM,6:25 AM,Landed 5:57 AM
17 Dec 2020,KBP,HRK,7W145,0:54,UR-DNF,6:15 PM,6:32 PM,7:30 PM,Landed 7:26 PM
17 Dec 2020,DNK,KBP,7W104,0:54,UR-DNF,3:45 PM,3:45 PM,5:10 PM,Landed 4:38 PM
17 Dec 2020,KBP,DNK,7W103,0:52,UR-DNF,1:25 PM,1:34 PM,2:45 PM,Landed 2:26 PM
17 Dec 2020,HRK,KBP,7W142,0:57,UR-DNF,10:30 AM,10:20 AM,11:50 AM,Landed 11:17 AM
17 Dec 2020,KBP,HRK,7W141,0:51,UR-DNF,8:15 AM,8:21 AM,9:30 AM,Landed 9:13 AM
17 Dec 2020,KHE,KBP,7W176,0:59,UR-DNF,4:50 AM,4:52 AM,6:25 AM,Landed 5:51 AM
16 Dec 2020,KBP,KHE,7W175,0:57,UR-DNF,6:05 PM,6:18 PM,7:40 PM,Landed 7:15 PM
16 Dec 2020,DNK,KBP,7W104,0:56,UR-DNF,3:45 PM,3:45 PM,5:10 PM,Landed 4:41 PM
16 Dec 2020,KBP,DNK,7W103,0:52,UR-DNF,1:25 PM,1:27 PM,2:45 PM,Landed 2:19 PM
16 Dec 2020,HRK,KBP,7W142,0:52,UR-DNF,10:20 AM,10:28 AM,11:40 AM,Landed 11:20 AM
16 Dec 2020,KBP,HRK,7W141,0:53,UR-DNF,8:15 AM,8:23 AM,9:30 AM,Landed 9:16 AM
16 Dec 2020,DNK,KBP,7W106,1:06,UR-DNF,4:55 AM,4:55 AM,6:20 AM,Landed 6:00 AM
15 Dec 2020,KBP,DNK,7W105,1:21,UR-DNF,6:20 PM,6:31 PM,7:40 PM,Landed 7:52 PM
15 Dec 2020,ODS,KBP,7W124,1:01,UR-DNF,3:35 PM,3:42 PM,5:05 PM,Landed 4:42 PM
15 Dec 2020,KBP,ODS,7W123,0:59,UR-DNF,1:20 PM,1:24 PM,2:45 PM,Landed 2:22 PM
15 Dec 2020,LWO,KBP,7W162,1:00,UR-DNF,10:35 AM,10:25 AM,12:05 PM,Landed 11:25 AM
15 Dec 2020,KBP,LWO,7W161,1:10,UR-DNF,8:00 AM,8:09 AM,9:35 AM,Landed 9:19 AM
15 Dec 2020,KHE,KBP,7W176,0:58,UR-DNF,4:50 AM,4:55 AM,6:25 AM,Landed 5:52 AM
14 Dec 2020,KBP,KHE,7W175,1:00,UR-DNF,6:05 PM,6:13 PM,7:40 PM,Landed 7:13 PM
14 Dec 2020,ODS,KBP,7W124,0:52,UR-DNF,3:35 PM,3:40 PM,5:05 PM,Landed 4:32 PM
14 Dec 2020,KBP,ODS,7W123,0:53,UR-DNF,1:20 PM,1:28 PM,2:45 PM,Landed 2:22 PM
14 Dec 2020,LWO,KBP,7W162,0:57,UR-DNF,10:35 AM,10:33 AM,12:05 PM,Landed 11:30 AM
14 Dec 2020,KBP,LWO,7W161,1:12,UR-DNF,8:00 AM,8:25 AM,9:35 AM,Landed 9:37 AM
14 Dec 2020,KHE,KBP,7W176,0:49,UR-DNF,4:50 AM,4:53 AM,6:25 AM,Landed 5:42 AM
13 Dec 2020,KBP,KHE,7W175,1:03,UR-DNF,6:05 PM,6:16 PM,7:40 PM,Landed 7:19 PM
13 Dec 2020,LWO,KBP,7W164,1:07,UR-DNF,3:35 PM,3:50 PM,5:05 PM,Landed 4:57 PM
13 Dec 2020,KBP,LWO,7W163,1:10,UR-DNF,1:10 PM,1:24 PM,2:45 PM,Landed 2:34 PM
13 Dec 2020,ODS,KBP,7W122,0:40,UR-DNF,10:45 AM,10:42 AM,12:15 PM,Landed 11:23 AM
13 Dec 2020,KBP,ODS,7W121,1:06,UR-DNF,8:20 AM,8:25 AM,9:45 AM,Landed 9:31 AM
12 Dec 2020,KHE,KBP,7W176,0:58,UR-DNF,4:50 AM,4:54 AM,6:25 AM,Landed 5:53 AM
11 Dec 2020,KBP,KHE,7W175,1:03,UR-DNF,6:05 PM,6:32 PM,7:40 PM,Landed 7:34 PM
11 Dec 2020,ODS,KBP,7W124,1:01,UR-DNF,3:50 PM,3:34 PM,5:20 PM,Landed 4:36 PM
11 Dec 2020,KBP,ODS,7W123,1:00,UR-DNF,1:20 PM,1:31 PM,2:45 PM,Landed 2:30 PM
11 Dec 2020,ODS,KBP,7W1108,0:58,UR-DNF,10:35 AM,9:35 AM,â€”,Landed 10:33 AM
10 Dec 2020,LWO,KBP,7W164,2:03,UR-DNF,3:35 PM,3:44 PM,5:05 PM,Landed 5:48 PM
10 Dec 2020,KBP,LWO,7W163,1:13,UR-DNF,1:10 PM,1:26 PM,2:45 PM,Landed 2:39 PM
10 Dec 2020,HRK,KBP,7W142,0:57,UR-DNF,10:30 AM,10:17 AM,11:50 AM,Landed 11:13 AM
10 Dec 2020,KBP,HRK,7W141,0:49,UR-DNF,8:15 AM,8:28 AM,9:30 AM,Landed 9:17 AM
10 Dec 2020,LWO,KBP,7W166,1:02,UR-DNF,5:00 AM,4:59 AM,6:30 AM,Landed 6:01 AM
09 Dec 2020,KBP,LWO,7W165,1:07,UR-DNF,6:40 PM,6:42 PM,8:15 PM,Landed 7:50 PM
09 Dec 2020,LWO,KBP,7W164,1:07,UR-DNF,3:55 PM,3:43 PM,5:25 PM,Landed 4:50 PM
09 Dec 2020,KBP,LWO,7W163,1:07,UR-DNF,1:10 PM,1:18 PM,2:45 PM,Landed 2:25 PM
09 Dec 2020,HRK,KBP,7W142,0:53,UR-DNF,10:20 AM,10:17 AM,11:40 AM,Landed 11:11 AM
09 Dec 2020,KBP,HRK,7W141,0:57,UR-DNF,8:15 AM,8:32 AM,9:30 AM,Landed 9:29 AM
09 Dec 2020,KHE,KBP,7W176,0:58,UR-DNF,4:50 AM,4:50 AM,6:25 AM,Landed 5:47 AM
08 Dec 2020,KBP,KHE,7W175,1:03,UR-DNF,6:05 PM,6:12 PM,7:40 PM,Landed 7:15 PM
08 Dec 2020,IFO,KBP,7W114,1:02,UR-DNF,3:40 PM,3:43 PM,5:10 PM,Landed 4:45 PM
08 Dec 2020,KBP,IFO,7W113,1:07,UR-DNF,1:15 PM,1:23 PM,2:50 PM,Landed 2:30 PM
08 Dec 2020,ODS,KBP,7W122,1:00,UR-DNF,10:45 AM,10:42 AM,12:15 PM,Landed 11:42 AM
08 Dec 2020,KBP,ODS,7W121,1:03,UR-DNF,8:20 AM,8:38 AM,9:45 AM,Landed 9:41 AM
07 Dec 2020,IFO,KBP,7W114,1:06,UR-DNF,3:40 PM,3:49 PM,5:10 PM,Landed 4:55 PM
07 Dec 2020,KBP,IFO,7W113,1:03,UR-DNF,1:15 PM,1:25 PM,2:50 PM,Landed 2:28 PM
07 Dec 2020,LWO,KBP,7W162,1:07,UR-DNF,10:35 AM,10:24 AM,12:05 PM,Landed 11:31 AM
07 Dec 2020,KBP,LWO,7W161,1:03,UR-DNF,8:00 AM,8:10 AM,9:35 AM,Landed 9:12 AM
