Date of flight,Origin,Destination,Flight number,Flight_times,Model,STD,ATD,STA,ATA
02 Mar 2021,KHE,KBP,7W176,1:04,UR-DNR,4:50 AM,4:57 AM,6:25 AM,Landed 6:01 AM
01 Mar 2021,KBP,KHE,7W175,0:53,UR-DNR,6:05 PM,6:21 PM,7:40 PM,Landed 7:14 PM
01 Mar 2021,BEG,KBP,7W728,2:18,UR-DNR,2:05 PM,2:50 PM,4:10 PM,Landed 5:08 PM
01 Mar 2021,KBP,BEG,7W727,1:38,UR-DNR,11:15 AM,12:13 PM,1:20 PM,Landed 1:51 PM
01 Mar 2021,ODS,KBP,7W122,1:02,UR-DNR,10:35 AM,10:28 AM,12:05 PM,Landed 11:30 AM
01 Mar 2021,KBP,ODS,7W121,1:00,UR-DNR,8:20 AM,8:30 AM,9:45 AM,Landed 9:30 AM
01 Mar 2021,KHE,KBP,7W176,0:58,UR-DNR,4:50 AM,4:50 AM,6:25 AM,Landed 5:47 AM
28 Feb 2021,KBP,KHE,7W175,0:59,UR-DNR,6:05 PM,6:06 PM,7:40 PM,Landed 7:05 PM
28 Feb 2021,SOF,IEV,7W792,-,UR-DNR,â€”,â€”,â€”,Landed 3:10 PM
28 Feb 2021,KBP,SKP,7W791,2:03,UR-DNR,8:40 AM,8:51 AM,11:10 AM,Landed 10:54 AM
26 Feb 2021,ODS,KBP,7W122,1:03,UR-DNR,10:45 AM,10:36 AM,12:15 PM,Landed 11:40 AM
26 Feb 2021,KBP,ODS,7W121,0:58,UR-DNR,8:20 AM,8:29 AM,9:45 AM,Landed 9:27 AM
25 Feb 2021,KHE,KBP,7W176,1:08,UR-DNR,4:50 AM,4:50 AM,6:25 AM,Landed 5:58 AM
24 Feb 2021,KBP,KHE,7W175,0:54,UR-DNR,6:05 PM,6:13 PM,7:40 PM,Landed 7:07 PM
24 Feb 2021,ZAG,KBP,7W766,2:14,UR-DNR,11:40 AM,11:42 AM,2:00 PM,Landed 1:56 PM
24 Feb 2021,KBP,ZAG,7W765,1:58,UR-DNR,8:30 AM,8:48 AM,10:55 AM,Landed 10:46 AM
24 Feb 2021,KHE,KBP,7W176,1:10,UR-DNR,4:50 AM,4:53 AM,6:25 AM,Landed 6:03 AM
23 Feb 2021,ODS,KBP,7W122,1:04,UR-DNR,10:35 AM,10:42 AM,12:05 PM,Landed 11:46 AM
23 Feb 2021,KBP,ODS,7W121,0:57,UR-DNR,8:20 AM,8:21 AM,9:45 AM,Landed 9:18 AM
22 Feb 2021,BEG,KBP,7W728,1:43,UR-DNR,2:05 PM,2:08 PM,4:10 PM,Landed 3:50 PM
22 Feb 2021,KBP,BEG,7W727,1:36,UR-DNR,11:15 AM,11:21 AM,1:20 PM,Landed 12:57 PM
22 Feb 2021,KHE,KBP,7W176,0:59,UR-DNR,4:50 AM,4:59 AM,6:25 AM,Landed 5:58 AM
