Date of flight,Origin,Destination,Flight number,Flight_times,Model,STD,ATD,STA,ATA
13 Feb 2021,OZH,KBP,7W186,1:02,UR-DNT,5:00 AM,5:09 AM,6:30 AM,Landed 6:12 AM
12 Feb 2021,KBP,OZH,7W185,1:04,UR-DNT,6:10 PM,8:32 PM,7:35 PM,Landed 9:36 PM
12 Feb 2021,DNK,KBP,7W102,0:46,UR-DNT,10:30 AM,6:44 PM,11:55 AM,Landed 7:30 PM
12 Feb 2021,KBP,DNK,7W1101,1:38,UR-DNT,10:45 AM,9:06 AM,â€”,Landed 10:45 AM
12 Feb 2021,OZH,KBP,7W186,1:00,UR-DNT,5:00 AM,5:09 AM,6:30 AM,Landed 6:09 AM
11 Feb 2021,KBP,OZH,7W185,0:55,UR-DNT,6:10 PM,6:51 PM,7:35 PM,Landed 7:46 PM
10 Feb 2021,SOF,KBP,7W756,1:43,UR-DNT,1:30 PM,1:30 PM,4:30 PM,Landed 3:13 PM
10 Feb 2021,KBP,SOF,7W755,2:02,UR-DNT,9:45 AM,10:02 AM,12:45 PM,Landed 12:04 PM
10 Feb 2021,OZH,KBP,7W186,0:55,UR-DNT,5:00 AM,5:02 AM,6:30 AM,Landed 5:58 AM
09 Feb 2021,KBP,OZH,7W185,0:46,UR-DNT,6:10 PM,6:19 PM,7:35 PM,Landed 7:05 PM
09 Feb 2021,TGD,KBP,7W748,2:00,UR-DNT,2:40 PM,3:25 PM,4:55 PM,Landed 5:25 PM
09 Feb 2021,KBP,TGD,7W747,2:41,UR-DNT,11:35 AM,11:58 AM,1:55 PM,Landed 2:39 PM
08 Feb 2021,BEG,KBP,7W728,1:39,UR-DNT,2:05 PM,3:33 PM,4:10 PM,Landed 5:12 PM
08 Feb 2021,KBP,BEG,7W727,1:57,UR-DNT,11:15 AM,12:55 PM,1:20 PM,Landed 2:52 PM
06 Feb 2021,SOF,KBP,7W756,1:44,UR-DNT,1:30 PM,1:28 PM,4:30 PM,Landed 3:13 PM
06 Feb 2021,KBP,SOF,7W755,1:59,UR-DNT,9:45 AM,9:49 AM,12:45 PM,Landed 11:48 AM
