Date of flight,Origin,Destination,Flight number,Flight_times,Model,STD,ATD,STA,ATA
10 Sep 2020,KBP,ODS,7W121,0:55,UR-DPB,7:10 AM,7:14 AM,8:30 AM,Landed 8:08 AM
10 Sep 2020,ODS,KBP,7W126,0:59,UR-DPB,4:40 AM,4:43 AM,6:10 AM,Landed 5:42 AM
09 Sep 2020,KBP,ODS,7W125,0:53,UR-DPB,5:15 PM,5:25 PM,6:35 PM,Landed 6:17 PM
09 Sep 2020,KBP,DBV,7W741,2:26,UR-DPB,8:05 AM,8:02 AM,â€”,Landed 10:28 AM
08 Sep 2020,OZH,KBP,7W184,-,UR-DPB,5:04 PM,â€”,â€”,Landed 5:01 PM
08 Sep 2020,KBP,OZH,7W183,0:54,UR-DPB,2:14 PM,2:12 PM,â€”,Landed 3:06 PM
08 Sep 2020,SOF,KBP,7W756,1:46,UR-DPB,11:15 AM,11:31 AM,1:15 PM,Landed 1:17 PM
08 Sep 2020,KBP,SOF,7W755,1:56,UR-DPB,8:30 AM,8:28 AM,10:35 AM,Landed 10:24 AM
08 Sep 2020,NLV,KBP,7W196,0:52,UR-DPB,4:05 AM,4:02 AM,5:15 AM,Landed 4:54 AM
07 Sep 2020,KBP,NLV,7W195,0:50,UR-DPB,5:35 PM,5:43 PM,6:45 PM,Landed 6:33 PM
07 Sep 2020,LWO,KBP,7W164,1:05,UR-DPB,2:50 PM,2:53 PM,4:20 PM,Landed 3:58 PM
07 Sep 2020,KBP,LWO,7W163,1:11,UR-DPB,11:35 AM,11:38 AM,1:10 PM,Landed 12:49 PM
07 Sep 2020,LWO,KBP,7W162,0:59,UR-DPB,9:15 AM,9:11 AM,10:45 AM,Landed 10:10 AM
07 Sep 2020,KBP,LWO,7W161,1:16,UR-DPB,7:00 AM,7:05 AM,8:35 AM,Landed 8:21 AM
07 Sep 2020,NLV,KBP,7W196,0:48,UR-DPB,4:05 AM,4:02 AM,5:15 AM,Landed 4:50 AM
06 Sep 2020,KBP,NLV,7W195,0:54,UR-DPB,5:35 PM,5:33 PM,6:45 PM,Landed 6:27 PM
06 Sep 2020,OZH,KBP,7W184,-,UR-DPB,3:38 PM,â€”,â€”,Landed 3:36 PM
06 Sep 2020,KBP,OZH,7W183,0:57,UR-DPB,11:55 AM,11:55 AM,1:20 PM,Landed 12:52 PM
06 Sep 2020,ODS,KBP,7W122,0:54,UR-DPB,9:15 AM,9:11 AM,10:45 AM,Landed 10:05 AM
06 Sep 2020,KBP,ODS,7W121,1:00,UR-DPB,7:10 AM,7:08 AM,8:30 AM,Landed 8:08 AM
06 Sep 2020,HRK,KBP,7W146,0:53,UR-DPB,4:40 AM,4:38 AM,6:00 AM,Landed 5:30 AM
05 Sep 2020,KBP,HRK,7W145,0:51,UR-DPB,5:55 PM,5:56 PM,7:05 PM,Landed 6:46 PM
05 Sep 2020,OZH,KBP,7W184,0:56,UR-DPB,4:50 PM,3:52 PM,â€”,Landed 4:47 PM
05 Sep 2020,KBP,OZH,7W183,0:57,UR-DPB,2:01 PM,1:59 PM,â€”,Landed 2:56 PM
05 Sep 2020,SOF,KBP,7W756,1:45,UR-DPB,11:15 AM,11:15 AM,1:15 PM,Landed 12:59 PM
05 Sep 2020,KBP,SOF,7W755,1:46,UR-DPB,8:30 AM,8:37 AM,10:35 AM,Landed 10:22 AM
05 Sep 2020,ODS,KBP,7W126,0:54,UR-DPB,4:40 AM,4:45 AM,6:10 AM,Landed 5:38 AM
04 Sep 2020,KBP,ODS,7W125,1:04,UR-DPB,5:15 PM,5:24 PM,6:35 PM,Landed 6:28 PM
04 Sep 2020,LWO,KBP,7W164,1:02,UR-DPB,2:50 PM,2:58 PM,4:20 PM,Landed 4:00 PM
04 Sep 2020,KBP,LWO,7W163,1:04,UR-DPB,11:35 AM,11:46 AM,1:10 PM,Landed 12:49 PM
04 Sep 2020,LWO,KBP,7W162,1:02,UR-DPB,9:15 AM,9:19 AM,10:45 AM,Landed 10:21 AM
04 Sep 2020,KBP,LWO,7W161,1:05,UR-DPB,7:00 AM,7:09 AM,8:35 AM,Landed 8:14 AM
04 Sep 2020,ODS,KBP,7W126,0:50,UR-DPB,4:40 AM,4:40 AM,6:10 AM,Landed 5:31 AM
03 Sep 2020,KBP,ODS,7W125,1:01,UR-DPB,5:15 PM,5:22 PM,6:35 PM,Landed 6:23 PM
03 Sep 2020,OZH,KBP,7W184,-,UR-DPB,3:40 PM,â€”,â€”,Landed 3:41 PM
03 Sep 2020,KBP,OZH,7W183,0:56,UR-DPB,12:06 PM,12:02 PM,â€”,Landed 12:58 PM
