Date of flight,Origin,Destination,Flight number,Flight_times,Model,STD,ATD,STA,ATA
02 Oct 2020,DNK,KBP,PS72,0:43,UR-EMD,4:00 AM,4:04 AM,5:00 AM,Landed 4:46 AM
01 Oct 2020,TLV,DNK,PS792,2:37,UR-EMD,10:20 PM,10:31 PM,1:25 AM,Landed 1:08 AM
01 Oct 2020,DNK,TLV,PS791,2:50,UR-EMD,6:35 PM,6:34 PM,9:30 PM,Landed 9:24 PM
01 Oct 2020,KBP,DNK,PS71,0:45,UR-EMD,4:30 PM,4:41 PM,5:30 PM,Landed 5:26 PM
01 Oct 2020,DNK,KBP,PS72,0:42,UR-EMD,4:00 AM,3:58 AM,5:00 AM,Landed 4:40 AM
30 Sep 2020,KBP,DNK,PS71,0:50,UR-EMD,4:35 PM,4:41 PM,5:35 PM,Landed 5:30 PM
30 Sep 2020,AMS,KBP,PS102,2:40,UR-EMD,11:15 AM,11:33 AM,2:05 PM,Landed 2:13 PM
30 Sep 2020,KBP,AMS,PS101,2:33,UR-EMD,6:50 AM,7:09 AM,9:55 AM,Landed 9:42 AM
30 Sep 2020,DNK,KBP,PS72,0:39,UR-EMD,4:00 AM,4:01 AM,5:00 AM,Landed 4:40 AM
28 Sep 2020,KBP,DNK,PS71,0:41,UR-EMD,4:30 PM,4:34 PM,5:30 PM,Landed 5:15 PM
28 Sep 2020,MXP,KBP,PS312,2:21,UR-EMD,11:40 AM,12:39 PM,2:20 PM,Landed 3:00 PM
28 Sep 2020,KBP,MXP,PS311,2:31,UR-EMD,7:15 AM,7:53 AM,10:05 AM,Landed 10:24 AM
28 Sep 2020,HRK,KBP,PS24,0:53,UR-EMD,4:00 AM,4:04 AM,5:00 AM,Landed 4:57 AM
25 Sep 2020,KBP,HRK,PS23,0:42,UR-EMD,4:50 PM,4:56 PM,5:50 PM,Landed 5:38 PM
25 Sep 2020,RJK,KBP,PS3794,1:49,UR-EMD,12:00 PM,12:01 PM,2:10 PM,Landed 1:49 PM
23 Sep 2020,KBP,RJK,PS3793,2:04,UR-EMD,8:00 AM,7:54 AM,10:20 AM,Landed 9:58 AM
23 Sep 2020,LWO,KBP,PS34,0:54,UR-EMD,4:00 AM,4:02 AM,5:10 AM,Landed 4:56 AM
21 Sep 2020,KBP,LWO,PS33,0:54,UR-EMD,4:55 PM,5:06 PM,6:00 PM,Landed 6:00 PM
21 Sep 2020,CDG,KBP,PS128,2:46,UR-EMD,12:00 PM,12:12 PM,3:05 PM,Landed 2:58 PM
21 Sep 2020,KBP,CDG,PS127,2:51,UR-EMD,6:55 AM,7:03 AM,10:20 AM,Landed 9:54 AM
21 Sep 2020,DNK,KBP,PS72,0:45,UR-EMD,4:00 AM,3:59 AM,5:00 AM,Landed 4:44 AM
18 Sep 2020,KBP,DNK,PS71,0:44,UR-EMD,4:35 PM,4:48 PM,5:35 PM,Landed 5:33 PM
