Date of flight,Origin,Destination,Flight number,Flight_times,Model,STD,ATD,STA,ATA
08 Feb 2021,KBP,AMS,PS101,2:46,UR-EME,8:00 AM,9:46 AM,11:05 AM,Landed 12:32 PM
08 Feb 2021,TBS,KBP,PS518,2:54,UR-EME,3:00 AM,3:01 AM,6:05 AM,Landed 5:55 AM
07 Feb 2021,KBP,TBS,PS517,2:19,UR-EME,6:30 PM,6:48 PM,9:15 PM,Landed 9:08 PM
07 Feb 2021,LHR,KBP,PS118,2:48,UR-EME,12:20 PM,1:02 PM,3:40 PM,Landed 3:49 PM
07 Feb 2021,KBP,LHR,PS117,3:28,UR-EME,7:50 AM,8:11 AM,11:25 AM,Landed 11:39 AM
03 Feb 2021,LGW,KBP,PS112,2:42,UR-EME,12:20 PM,12:40 PM,3:40 PM,Landed 3:23 PM
03 Feb 2021,KBP,LGW,PS111,3:15,UR-EME,7:50 AM,8:09 AM,11:25 AM,Landed 11:24 AM
02 Feb 2021,IST,KBP,PS714,1:33,UR-EME,1:30 PM,1:41 PM,3:30 PM,Landed 3:14 PM
02 Feb 2021,KBP,IST,PS713,1:48,UR-EME,9:30 AM,9:42 AM,11:30 AM,Landed 11:30 AM
01 Feb 2021,EVN,KBP,PS612,2:29,UR-EME,9:55 PM,10:14 PM,1:05 AM,Landed 12:43 AM
01 Feb 2021,KBP,EVN,PS611,2:35,UR-EME,6:10 PM,6:36 PM,8:55 PM,Landed 9:10 PM
01 Feb 2021,LGW,KBP,PS112,3:04,UR-EME,12:20 PM,12:30 PM,3:40 PM,Landed 3:34 PM
01 Feb 2021,KBP,LGW,PS111,3:12,UR-EME,7:50 AM,8:13 AM,11:25 AM,Landed 11:25 AM
31 Jan 2021,LHR,KBP,PS118,2:40,UR-EME,12:20 PM,1:08 PM,3:40 PM,Landed 3:48 PM
31 Jan 2021,KBP,LHR,PS117,3:27,UR-EME,7:50 AM,8:27 AM,11:25 AM,Landed 11:54 AM
30 Jan 2021,AMS,KBP,PS102,2:23,UR-EME,12:10 PM,12:48 PM,3:00 PM,Landed 3:10 PM
30 Jan 2021,KBP,AMS,PS101,3:02,UR-EME,8:00 AM,8:17 AM,11:05 AM,Landed 11:19 AM
29 Jan 2021,LGW,KBP,PS112,2:47,UR-EME,12:20 PM,1:09 PM,3:40 PM,Landed 3:55 PM
29 Jan 2021,KBP,LGW,PS111,3:16,UR-EME,7:50 AM,8:43 AM,11:25 AM,Landed 11:59 AM
29 Jan 2021,EVN,KBP,PS612,2:52,UR-EME,2:40 AM,3:01 AM,5:50 AM,Landed 5:53 AM
28 Jan 2021,KBP,EVN,PS611,2:24,UR-EME,10:55 PM,11:30 PM,1:40 AM,Landed 1:53 AM
28 Jan 2021,LHR,KBP,PS118,2:46,UR-EME,12:20 PM,12:59 PM,3:40 PM,Landed 3:45 PM
28 Jan 2021,KBP,LHR,PS117,3:20,UR-EME,7:50 AM,8:17 AM,11:25 AM,Landed 11:37 AM
27 Jan 2021,LGW,KBP,PS112,2:55,UR-EME,12:20 PM,12:31 PM,3:40 PM,Landed 3:27 PM
27 Jan 2021,KBP,LGW,PS111,3:13,UR-EME,7:50 AM,8:01 AM,11:25 AM,Landed 11:14 AM
26 Jan 2021,AMS,KBP,PS102,2:27,UR-EME,12:10 PM,12:23 PM,3:00 PM,Landed 2:49 PM
26 Jan 2021,KBP,AMS,PS101,2:35,UR-EME,8:00 AM,8:04 AM,11:05 AM,Landed 10:39 AM
25 Jan 2021,CDG,KBP,PS128,2:51,UR-EME,12:20 PM,12:38 PM,3:35 PM,Landed 3:29 PM
25 Jan 2021,KBP,CDG,PS127,3:07,UR-EME,7:45 AM,7:49 AM,11:10 AM,Landed 10:56 AM
24 Jan 2021,LHR,KBP,PS118,2:53,UR-EME,12:20 PM,5:38 PM,3:40 PM,Landed 8:32 PM
24 Jan 2021,KBP,LHR,PS117,3:16,UR-EME,7:50 AM,7:54 AM,11:25 AM,Landed 11:10 AM
23 Jan 2021,IST,KBP,PS714,1:30,UR-EME,1:30 PM,1:42 PM,3:30 PM,Landed 3:11 PM
23 Jan 2021,KBP,IST,PS713,1:42,UR-EME,9:30 AM,9:38 AM,11:30 AM,Landed 11:20 AM
22 Jan 2021,CAI,KBP,PS398,3:19,UR-EME,2:50 AM,3:04 AM,6:20 AM,Landed 6:22 AM
20 Jan 2021,KBP,CAI,PS397,3:00,UR-EME,6:00 PM,6:09 PM,9:20 PM,Landed 9:09 PM
11 Jan 2021,LGW,KBP,PS112,2:53,UR-EME,12:20 PM,12:25 PM,3:40 PM,Landed 3:18 PM
11 Jan 2021,KBP,LGW,PS111,3:12,UR-EME,7:50 AM,7:56 AM,11:25 AM,Landed 11:08 AM
10 Jan 2021,CDG,KBP,PS128,2:39,UR-EME,12:20 PM,12:31 PM,3:35 PM,Landed 3:10 PM
10 Jan 2021,KBP,CDG,PS127,3:16,UR-EME,7:45 AM,7:44 AM,11:10 AM,Landed 10:59 AM
09 Jan 2021,GVA,KBP,PS486,2:22,UR-EME,12:50 PM,1:05 PM,3:40 PM,Landed 3:27 PM
09 Jan 2021,KBP,GVA,PS485,3:05,UR-EME,8:45 AM,9:04 AM,11:45 AM,Landed 12:09 PM
08 Jan 2021,EVN,KBP,PS612,2:38,UR-EME,9:55 PM,10:36 PM,1:05 AM,Landed 1:14 AM
08 Jan 2021,KBP,EVN,PS611,2:33,UR-EME,6:10 PM,6:26 PM,8:55 PM,Landed 8:59 PM
08 Jan 2021,IST,KBP,PS714,1:34,UR-EME,1:40 PM,1:40 PM,3:40 PM,Landed 3:13 PM
08 Jan 2021,KBP,IST,PS713,1:42,UR-EME,9:30 AM,9:30 AM,11:30 AM,Landed 11:12 AM
08 Jan 2021,TLV,KBP,PS778,3:01,UR-EME,3:30 AM,3:39 AM,6:40 AM,Landed 6:40 AM
07 Jan 2021,KBP,TLV,PS777,2:53,UR-EME,6:00 PM,6:06 PM,9:10 PM,Landed 8:59 PM
07 Jan 2021,LHR,KBP,PS118,2:54,UR-EME,12:20 PM,12:22 PM,3:40 PM,Landed 3:16 PM
07 Jan 2021,KBP,LHR,PS117,3:04,UR-EME,7:50 AM,7:58 AM,11:25 AM,Landed 11:02 AM
06 Jan 2021,MUC,KBP,PS416,1:55,UR-EME,1:50 PM,2:10 PM,4:05 PM,Landed 4:05 PM
06 Jan 2021,KBP,MUC,PS415,2:00,UR-EME,7:40 AM,7:59 AM,10:15 AM,Landed 9:59 AM
05 Jan 2021,CDG,KBP,PS128,2:50,UR-EME,12:20 PM,12:36 PM,3:35 PM,Landed 3:26 PM
05 Jan 2021,KBP,CDG,PS127,2:52,UR-EME,7:45 AM,8:01 AM,11:10 AM,Landed 10:53 AM
05 Jan 2021,KBP,CDG,PS127,-,UR-EME,7:45 AM,8:02 AM,11:10 AM,Unknown
04 Jan 2021,MUC,KBP,PS416,1:55,UR-EME,1:50 PM,1:53 PM,4:05 PM,Landed 3:48 PM
04 Jan 2021,KBP,MUC,PS415,2:18,UR-EME,7:40 AM,7:58 AM,10:15 AM,Landed 10:16 AM
03 Jan 2021,MUC,KBP,PS416,2:01,UR-EME,1:45 PM,1:48 PM,4:05 PM,Landed 3:49 PM
03 Jan 2021,KBP,MUC,PS415,2:14,UR-EME,7:40 AM,7:43 AM,10:15 AM,Landed 9:57 AM
03 Jan 2021,ODS,KBP,PS56,0:43,UR-EME,5:00 AM,5:02 AM,6:00 AM,Landed 5:44 AM
02 Jan 2021,KBP,ODS,PS55,0:45,UR-EME,6:25 PM,6:39 PM,7:25 PM,Landed 7:24 PM
02 Jan 2021,LGW,KBP,PS112,2:52,UR-EME,12:20 PM,12:44 PM,3:40 PM,Landed 3:36 PM
02 Jan 2021,KBP,LGW,PS111,3:10,UR-EME,7:50 AM,8:01 AM,11:25 AM,Landed 11:12 AM
01 Jan 2021,AMS,KBP,PS102,2:31,UR-EME,12:10 PM,12:20 PM,3:00 PM,Landed 2:51 PM
01 Jan 2021,KBP,AMS,PS101,2:37,UR-EME,8:00 AM,8:12 AM,11:05 AM,Landed 10:49 AM
30 Dec 2020,MXP,KBP,PS312,2:14,UR-EME,1:40 PM,1:54 PM,4:25 PM,Landed 4:07 PM
30 Dec 2020,KBP,MXP,PS311,2:50,UR-EME,8:40 AM,8:46 AM,11:30 AM,Landed 11:36 AM
29 Dec 2020,CDG,KBP,PS128,2:36,UR-EME,12:20 PM,12:54 PM,3:35 PM,Landed 3:30 PM
29 Dec 2020,KBP,CDG,PS127,3:12,UR-EME,7:45 AM,8:10 AM,11:10 AM,Landed 11:22 AM
