Date of flight,Origin,Destination,Flight number,Flight_times,Model,STD,ATD,STA,ATA
08 Feb 2021,ODS,KBP,PS56,0:44,UR-EMF,5:00 AM,11:47 AM,6:00 AM,Landed 12:31 PM
07 Feb 2021,KBP,ODS,PS55,0:46,UR-EMF,5:30 PM,5:39 PM,6:30 PM,Landed 6:25 PM
07 Feb 2021,ODS,KBP,PS56,0:48,UR-EMF,5:00 AM,5:25 AM,6:00 AM,Landed 6:13 AM
06 Feb 2021,KBP,ODS,PS55,0:50,UR-EMF,6:25 PM,6:42 PM,7:25 PM,Landed 7:32 PM
06 Feb 2021,ODS,KBP,PS56,0:57,UR-EMF,5:00 AM,5:31 AM,6:00 AM,Landed 6:28 AM
05 Feb 2021,KBP,ODS,PS55,0:46,UR-EMF,6:25 PM,6:35 PM,7:25 PM,Landed 7:21 PM
05 Feb 2021,LGW,KBP,PS112,2:40,UR-EMF,12:20 PM,12:37 PM,3:40 PM,Landed 3:18 PM
05 Feb 2021,KBP,LGW,PS111,3:21,UR-EMF,7:50 AM,8:03 AM,11:25 AM,Landed 11:24 AM
05 Feb 2021,ODS,KBP,PS56,0:52,UR-EMF,5:00 AM,5:07 AM,6:00 AM,Landed 5:59 AM
04 Feb 2021,KBP,ODS,PS55,0:51,UR-EMF,6:25 PM,6:42 PM,7:25 PM,Landed 7:33 PM
04 Feb 2021,ODS,KBP,PS56,0:52,UR-EMF,5:00 AM,5:06 AM,6:00 AM,Landed 5:59 AM
03 Feb 2021,KBP,ODS,PS55,0:46,UR-EMF,6:25 PM,8:12 PM,7:25 PM,Landed 8:58 PM
03 Feb 2021,ODS,KBP,PS56,0:50,UR-EMF,5:00 AM,4:58 AM,6:00 AM,Landed 5:48 AM
02 Feb 2021,KBP,ODS,PS55,0:45,UR-EMF,6:25 PM,6:36 PM,7:25 PM,Landed 7:21 PM
02 Feb 2021,ODS,KBP,PS56,0:46,UR-EMF,5:00 AM,5:05 AM,6:00 AM,Landed 5:51 AM
01 Feb 2021,KBP,ODS,PS55,0:53,UR-EMF,6:25 PM,6:48 PM,7:25 PM,Landed 7:41 PM
01 Feb 2021,IST,KBP,PS714,1:38,UR-EMF,1:30 PM,2:23 PM,3:30 PM,Landed 4:01 PM
01 Feb 2021,KBP,IST,PS713,1:54,UR-EMF,9:30 AM,10:31 AM,11:30 AM,Landed 12:25 PM
31 Jan 2021,AMS,KBP,PS102,2:16,UR-EMF,12:10 PM,12:40 PM,3:00 PM,Landed 2:55 PM
31 Jan 2021,KBP,AMS,PS101,2:52,UR-EMF,8:00 AM,8:19 AM,11:05 AM,Landed 11:12 AM
31 Jan 2021,ODS,KBP,PS56,0:48,UR-EMF,5:00 AM,5:35 AM,6:00 AM,Landed 6:23 AM
30 Jan 2021,KBP,ODS,PS55,0:53,UR-EMF,6:25 PM,3:49 AM,7:25 PM,Landed 4:42 AM
30 Jan 2021,ODS,KBP,PS56,0:48,UR-EMF,5:00 AM,5:27 AM,6:00 AM,Landed 6:15 AM
