Date of flight,Origin,Destination,Flight number,Flight_times,Model,STD,ATD,STA,ATA
15 Oct 2018,MSQ,KBP,PS892,0:49,UR-GBD,12:15 PM,12:26 PM,1:20 PM,Landed 1:15 PM
15 Oct 2018,KBP,MSQ,PS889,0:38,UR-GBD,7:15 AM,7:28 AM,8:20 AM,Landed 8:06 AM
15 Oct 2018,ARN,KBP,PS174,2:01,UR-GBD,2:50 AM,3:20 AM,4:55 AM,Landed 5:21 AM
14 Oct 2018,KBP,ARN,PS173,1:51,UR-GBD,5:30 PM,5:48 PM,7:50 PM,Landed 7:39 PM
14 Oct 2018,IST,KBP,PS714,1:33,UR-GBD,12:40 PM,1:20 PM,2:40 PM,Landed 2:53 PM
14 Oct 2018,KBP,IST,PS713,1:40,UR-GBD,9:40 AM,10:12 AM,11:40 AM,Landed 11:53 AM
14 Oct 2018,ODS,KBP,PS60,0:48,UR-GBD,7:45 AM,7:59 AM,8:45 AM,Landed 8:47 AM
14 Oct 2018,KBP,ODS,PS59,0:46,UR-GBD,5:50 AM,6:13 AM,6:50 AM,Landed 6:59 AM
14 Oct 2018,RIX,KBP,PS188,1:21,UR-GBD,3:00 AM,3:09 AM,4:35 AM,Landed 4:30 AM
13 Oct 2018,KBP,RIX,PS187,1:19,UR-GBD,5:45 PM,6:03 PM,7:20 PM,Landed 7:23 PM
13 Oct 2018,MSQ,KBP,PS892,0:52,UR-GBD,1:00 PM,1:23 PM,2:05 PM,Landed 2:15 PM
13 Oct 2018,KBP,MSQ,PS889,0:45,UR-GBD,7:15 AM,7:54 AM,8:20 AM,Landed 8:39 AM
13 Oct 2018,KRK,KBP,PS926,1:15,UR-GBD,3:30 AM,3:55 AM,5:05 AM,Landed 5:10 AM
12 Oct 2018,KBP,KRK,PS925,1:12,UR-GBD,5:45 PM,6:14 PM,7:20 PM,Landed 7:26 PM
12 Oct 2018,MSQ,KBP,PS892,0:44,UR-GBD,12:15 PM,12:20 PM,1:20 PM,Landed 1:04 PM
12 Oct 2018,KBP,MSQ,PS889,0:46,UR-GBD,7:15 AM,7:44 AM,8:20 AM,Landed 8:30 AM
12 Oct 2018,ARN,KBP,PS174,2:07,UR-GBD,2:50 AM,3:06 AM,4:55 AM,Landed 5:13 AM
11 Oct 2018,KBP,ARN,PS173,1:55,UR-GBD,5:30 PM,5:46 PM,7:50 PM,Landed 7:41 PM
11 Oct 2018,ARN,KBP,PS172,2:00,UR-GBD,11:45 AM,12:08 PM,2:00 PM,Landed 2:09 PM
11 Oct 2018,KBP,ARN,PS171,2:00,UR-GBD,6:30 AM,6:40 AM,9:00 AM,Landed 8:40 AM
11 Oct 2018,RIX,KBP,PS188,1:18,UR-GBD,3:00 AM,3:12 AM,4:35 AM,Landed 4:30 AM
10 Oct 2018,KBP,RIX,PS187,1:17,UR-GBD,5:45 PM,8:31 PM,7:20 PM,Landed 9:48 PM
10 Oct 2018,HRK,KBP,PS26,0:43,UR-GBD,2:00 PM,2:09 PM,3:00 PM,Landed 2:52 PM
10 Oct 2018,KBP,HRK,PS25,0:41,UR-GBD,7:25 AM,7:49 AM,8:25 AM,Landed 8:30 AM
10 Oct 2018,MSQ,KBP,PS894,0:49,UR-GBD,4:00 AM,4:14 AM,5:05 AM,Landed 5:03 AM
09 Oct 2018,KBP,MSQ,PS893,0:44,UR-GBD,4:40 PM,5:06 PM,5:45 PM,Landed 5:49 PM
09 Oct 2018,ARN,KBP,PS172,1:51,UR-GBD,11:45 AM,12:03 PM,1:50 PM,Landed 1:54 PM
09 Oct 2018,KBP,ARN,PS171,2:08,UR-GBD,6:30 AM,6:55 AM,9:00 AM,Landed 9:02 AM
08 Oct 2018,HRK,KBP,PS26,0:48,UR-GBD,2:00 PM,2:30 PM,3:00 PM,Landed 3:17 PM
08 Oct 2018,KBP,HRK,PS25,0:38,UR-GBD,7:25 AM,7:49 AM,8:25 AM,Landed 8:27 AM
08 Oct 2018,RIX,KBP,PS188,1:16,UR-GBD,3:00 AM,3:15 AM,4:35 AM,Landed 4:31 AM
07 Oct 2018,KBP,RIX,PS172,1:24,UR-GBD,6:18 PM,6:17 PM,â€”,Landed 7:41 PM
07 Oct 2018,ARN,KBP,PS172,1:50,UR-GBD,2:25 PM,3:14 PM,4:30 PM,Landed 5:04 PM
07 Oct 2018,KBP,ARN,PS171,2:04,UR-GBD,11:20 AM,12:01 PM,1:35 PM,Landed 2:05 PM
07 Oct 2018,HRK,KBP,PS26,0:43,UR-GBD,9:25 AM,9:38 AM,10:25 AM,Landed 10:22 AM
07 Oct 2018,KBP,HRK,PS25,0:42,UR-GBD,7:25 AM,7:50 AM,8:25 AM,Landed 8:32 AM
