Date of flight,Origin,Destination,Flight number,Flight_times,Model,STD,ATD,STA,ATA
17 Oct 2020,DEL,KBP,PS3122,6:52,UR-GEA,2:00 AM,2:07 AM,9:45 AM,Landed 9:00 AM
16 Oct 2020,KBP,DEL,PS3121,6:29,UR-GEA,4:00 PM,4:09 PM,11:00 PM,Landed 10:38 PM
10 Oct 2020,DEL,KBP,PS3122,7:08,UR-GEA,1:30 AM,1:39 AM,9:15 AM,Landed 8:47 AM
09 Oct 2020,KBP,DEL,PS3121,-,UR-GEA,10:34 PM,â€”,â€”,Landed 10:37 PM
09 Oct 2020,KBP,DEL,PS3121,-,UR-GEA,8:17 PM,â€”,â€”,Landed 10:31 PM
09 Oct 2020,KBP,DEL,PS3121,6:36,UR-GEA,3:30 PM,3:47 PM,10:30 PM,Landed 10:24 PM
09 Oct 2020,DEL,KBP,PS1392,6:47,UR-GEA,1:30 AM,2:05 AM,9:15 AM,Landed 8:52 AM
08 Oct 2020,KBP,DEL,PS1391,7:06,UR-GEA,3:30 PM,3:40 PM,11:10 PM,Landed 10:46 PM
30 Sep 2020,COK,KBP,PS3128,8:56,UR-GEA,1:00 PM,4:07 PM,9:25 PM,Landed 1:02 AM
26 Sep 2020,DEL,KBP,PS1290,7:21,UR-GEA,6:00 AM,9:48 AM,1:45 PM,Landed 5:09 PM
25 Sep 2020,TSN,DEL,PS1290,9:45,UR-GEA,9:55 PM,9:55 PM,5:00 AM,Landed 7:39 AM
30 Aug 2020,YYZ,KBP,PS242,8:42,UR-GEA,5:50 AM,6:19 AM,3:30 PM,Landed 3:01 PM
29 Aug 2020,KBP,YYZ,PS241,9:56,UR-GEA,7:30 AM,8:40 AM,5:50 PM,Landed 6:36 PM
09 Aug 2020,YYZ,KBP,PS2902,8:56,UR-GEA,5:10 PM,5:16 PM,2:07 AM,Landed 2:12 AM
09 Aug 2020,KBP,YYZ,PS2901,9:57,UR-GEA,1:47 PM,3:46 AM,â€”,Landed 1:43 PM
07 Aug 2020,YYZ,KBP,PS2902,8:49,UR-GEA,5:10 PM,5:39 PM,2:29 AM,Landed 2:28 AM
07 Aug 2020,KBP,YYZ,PS2901,-,UR-GEA,5:12 AM,5:16 AM,2:52 PM,Unknown
26 Jul 2020,YYZ,KBP,PS1242,8:54,UR-GEA,5:50 AM,6:07 AM,3:30 PM,Landed 3:01 PM
25 Jul 2020,KBP,YYZ,PS1241,9:33,UR-GEA,7:30 AM,7:54 AM,5:50 PM,Landed 5:28 PM
19 Jul 2020,YYZ,KBP,PS1242,9:16,UR-GEA,5:50 AM,6:06 AM,3:30 PM,Landed 3:22 PM
18 Jul 2020,KBP,YYZ,PS1241,9:35,UR-GEA,7:30 AM,7:39 AM,5:50 PM,Landed 5:14 PM
21 Jun 2020,BKK,KBP,PS1272,10:27,UR-GEA,2:25 AM,2:58 AM,1:30 PM,Landed 1:25 PM
20 Jun 2020,KBP,BKK,PS1271,9:58,UR-GEA,2:25 PM,2:28 PM,12:20 AM,Landed 12:26 AM
13 Jun 2020,YYZ,KBP,PS1242,8:42,UR-GEA,11:30 PM,1:04 AM,9:40 AM,Landed 9:46 AM
13 Jun 2020,KBP,YYZ,PS1241,9:49,UR-GEA,12:00 PM,12:59 PM,10:00 PM,Landed 10:48 PM
09 Jun 2020,MIA,KBP,PS1278,10:52,UR-GEA,4:30 AM,6:17 AM,4:40 PM,Landed 5:09 PM
