Date of flight,Origin,Destination,Flight number,Flight_times,Model,STD,ATD,STA,ATA
31 May 2020,LCA,IEV,PS2918,2:31,UR-GED,9:28 PM,6:55 PM,â€”,Landed 9:26 PM
28 May 2020,JFK,KBP,PS2612,8:55,UR-GED,11:45 PM,10:35 PM,8:35 AM,Landed 7:31 AM
28 May 2020,KBP,JFK,PS2611,9:52,UR-GED,6:43 PM,8:47 AM,6:09 PM,Landed 6:38 PM
27 May 2020,BUD,IEV,PS2644,1:18,UR-GED,11:15 PM,9:54 PM,â€”,Landed 11:12 PM
27 May 2020,KBP,BUD,PS2643,1:15,UR-GED,6:54 PM,5:34 PM,â€”,Landed 6:49 PM
25 May 2020,YYZ,KBP,PS2904,9:04,UR-GED,4:30 PM,4:07 PM,1:06 AM,Landed 1:11 AM
25 May 2020,KBP,YYZ,PS2903,9:40,UR-GED,12:17 PM,2:37 AM,â€”,Landed 12:17 PM
23 May 2020,CHR,KBP,PS2632,2:50,UR-GED,7:36 AM,4:44 AM,â€”,Landed 7:33 AM
23 May 2020,KBP,CHR,PS2631,3:08,UR-GED,12:27 AM,9:17 PM,â€”,Landed 12:25 AM
20 May 2020,YYZ,KBP,PS2902,9:33,UR-GED,7:20 PM,5:55 PM,3:28 AM,Landed 3:28 AM
20 May 2020,KBP,YYZ,PS2901,9:48,UR-GED,5:10 AM,5:37 AM,3:25 PM,Landed 3:25 PM
15 May 2020,JFK,KBP,PS1132,8:32,UR-GED,2:15 PM,4:48 PM,11:50 PM,Landed 1:20 AM
15 May 2020,KBP,JFK,PS1131,9:58,UR-GED,9:45 AM,11:47 PM,9:23 AM,Landed 9:45 AM
14 May 2020,YYZ,KBP,PS2902,9:09,UR-GED,5:00 AM,4:51 AM,2:24 PM,Landed 2:00 PM
14 May 2020,KBP,YYZ,PS2901,9:29,UR-GED,1:35 AM,4:02 PM,1:43 AM,Landed 1:31 AM
13 May 2020,KBP,YYZ,PS2901,9:40,UR-GED,8:11 PM,3:45 PM,â€”,Landed 1:25 AM
11 May 2020,WAW,IEV,PS2638,1:07,UR-GED,5:57 PM,4:47 PM,â€”,Landed 5:55 PM
11 May 2020,KBP,WAW,PS2637,1:11,UR-GED,12:17 PM,11:04 AM,â€”,Landed 12:14 PM
09 May 2020,YYZ,KBP,PS2902,9:01,UR-GED,2:10 PM,1:04 PM,12:20 AM,Landed 10:05 PM
09 May 2020,KBP,YYZ,PS2901,9:44,UR-GED,12:10 AM,12:45 AM,10:29 AM,Landed 10:29 AM
27 Apr 2020,KBP,BLQ,PS2613,2:15,UR-GED,8:12 PM,5:53 PM,â€”,Landed 8:08 PM
25 Apr 2020,KBP,LBG,PS2627,2:52,UR-GED,6:08 PM,3:13 PM,â€”,Landed 6:05 PM
23 Apr 2020,JFK,KBP,PS2612,8:40,UR-GED,5:45 PM,8:27 PM,5:03 AM,Landed 5:07 AM
23 Apr 2020,KBP,JFK,PS2611,9:51,UR-GED,6:39 AM,6:39 AM,4:33 PM,Landed 4:30 PM
17 Mar 2020,YYZ,KBP,PS242,8:57,UR-GED,3:15 AM,3:45 AM,12:55 PM,Landed 12:42 PM
16 Mar 2020,KBP,YYZ,PS241,10:30,UR-GED,9:20 AM,10:25 AM,8:00 PM,Landed 8:55 PM
16 Mar 2020,TLV,KBP,PS778,2:48,UR-GED,3:30 AM,3:43 AM,6:40 AM,Landed 6:32 AM
15 Mar 2020,KBP,TLV,PS777,2:44,UR-GED,5:30 PM,6:10 PM,8:40 PM,Landed 8:55 PM
15 Mar 2020,SSH,KBP,PS5202,-,UR-GED,9:30 AM,â€”,1:40 PM,Landed 2:55 PM
15 Mar 2020,KBP,SSH,PS5201,3:35,UR-GED,2:10 AM,4:25 AM,6:00 AM,Landed 8:00 AM
14 Mar 2020,DEL,KBP,PS392,7:17,UR-GED,6:00 PM,6:24 PM,2:10 AM,Landed 1:41 AM
13 Mar 2020,KBP,DEL,PS391,6:19,UR-GED,7:25 PM,7:55 PM,2:20 AM,Landed 2:14 AM
11 Mar 2020,DEL,KBP,PS392,7:23,UR-GED,6:00 PM,6:00 PM,2:10 AM,Landed 1:22 AM
10 Mar 2020,KBP,DEL,PS391,6:32,UR-GED,7:25 PM,7:38 PM,2:20 AM,Landed 2:10 AM
10 Mar 2020,YYZ,KBP,PS242,8:33,UR-GED,3:15 AM,3:23 AM,12:55 PM,Landed 11:56 AM
09 Mar 2020,KBP,YYZ,PS241,9:53,UR-GED,9:20 AM,9:39 AM,8:00 PM,Landed 7:33 PM
08 Mar 2020,BKK,KBP,PS272,10:29,UR-GED,3:40 PM,3:41 PM,3:00 AM,Landed 2:10 AM
