Date of flight,Origin,Destination,Flight number,Flight_times,Model,STD,ATD,STA,ATA
07 Oct 2019,KBP,PEK,PS287,8:49,UR-GOA,7:50 AM,8:04 AM,5:10 PM,Landed 4:54 PM
06 Oct 2019,PEK,KBP,PS288,9:52,UR-GOA,6:40 PM,6:58 PM,4:45 AM,Landed 4:50 AM
06 Oct 2019,KBP,PEK,PS287,8:49,UR-GOA,7:50 AM,8:11 AM,5:10 PM,Landed 5:00 PM
05 Oct 2019,PEK,KBP,PS288,9:39,UR-GOA,6:40 PM,6:58 PM,4:45 AM,Landed 4:37 AM
05 Oct 2019,KBP,PEK,PS287,8:48,UR-GOA,7:50 AM,7:58 AM,5:10 PM,Landed 4:46 PM
04 Oct 2019,PEK,KBP,PS288,9:54,UR-GOA,6:40 PM,7:12 PM,4:45 AM,Landed 5:06 AM
04 Oct 2019,KBP,PEK,PS287,8:48,UR-GOA,7:50 AM,8:18 AM,5:10 PM,Landed 5:06 PM
03 Oct 2019,JFK,KBP,PS232,7:59,UR-GOA,7:00 PM,8:00 PM,3:55 AM,Landed 3:58 AM
03 Oct 2019,KBP,JFK,PS231,9:02,UR-GOA,6:45 AM,7:36 AM,4:00 PM,Landed 4:38 PM
02 Oct 2019,JFK,KBP,PS232,8:00,UR-GOA,7:00 PM,7:59 PM,3:55 AM,Landed 3:59 AM
02 Oct 2019,KBP,JFK,PS231,9:08,UR-GOA,6:45 AM,7:47 AM,4:01 PM,Landed 4:56 PM
30 Sep 2019,PEK,KBP,PS288,10:02,UR-GOA,6:40 PM,6:38 PM,4:45 AM,Landed 4:40 AM
30 Sep 2019,KBP,PEK,PS287,8:47,UR-GOA,7:50 AM,7:56 AM,5:10 PM,Landed 4:44 PM
29 Sep 2019,PEK,KBP,PS288,10:18,UR-GOA,6:40 PM,6:52 PM,4:45 AM,Landed 5:10 AM
29 Sep 2019,KBP,PEK,PS287,8:47,UR-GOA,7:50 AM,8:05 AM,5:10 PM,Landed 4:53 PM
28 Sep 2019,JFK,KBP,PS232,8:08,UR-GOA,7:00 PM,8:01 PM,3:55 AM,Landed 4:09 AM
28 Sep 2019,KBP,JFK,PS231,8:59,UR-GOA,6:45 AM,7:23 AM,4:55 PM,Landed 4:22 PM
27 Sep 2019,TLV,KBP,PS776,2:50,UR-GOA,11:35 AM,12:53 PM,2:45 PM,Landed 3:43 PM
27 Sep 2019,KBP,TLV,PS775,2:44,UR-GOA,6:55 AM,7:32 AM,10:05 AM,Landed 10:16 AM
26 Sep 2019,JFK,KBP,PS232,8:07,UR-GOA,7:00 PM,7:49 PM,3:55 AM,Landed 3:56 AM
26 Sep 2019,KBP,JFK,PS231,9:32,UR-GOA,6:45 AM,7:07 AM,3:46 PM,Landed 4:39 PM
25 Sep 2019,JFK,KBP,PS232,8:08,UR-GOA,7:00 PM,7:27 PM,3:55 AM,Landed 3:34 AM
25 Sep 2019,KBP,JFK,PS231,9:30,UR-GOA,6:45 AM,7:31 AM,3:52 PM,Landed 5:01 PM
24 Sep 2019,PEK,KBP,PS288,10:10,UR-GOA,6:40 PM,7:00 PM,4:45 AM,Landed 5:10 AM
24 Sep 2019,KBP,PEK,PS287,8:47,UR-GOA,7:50 AM,8:12 AM,5:10 PM,Landed 4:59 PM
23 Sep 2019,PEK,KBP,PS288,9:54,UR-GOA,6:40 PM,6:46 PM,4:45 AM,Landed 4:40 AM
23 Sep 2019,KBP,PEK,PS287,8:47,UR-GOA,7:50 AM,8:00 AM,5:10 PM,Landed 4:47 PM
22 Sep 2019,PEK,KBP,PS288,10:01,UR-GOA,6:40 PM,7:03 PM,4:45 AM,Landed 5:03 AM
22 Sep 2019,KBP,PEK,PS287,8:47,UR-GOA,7:50 AM,8:03 AM,5:10 PM,Landed 4:50 PM
21 Sep 2019,PEK,KBP,PS288,10:15,UR-GOA,6:40 PM,7:07 PM,4:45 AM,Landed 5:22 AM
21 Sep 2019,KBP,PEK,PS287,8:47,UR-GOA,7:50 AM,8:18 AM,5:10 PM,Landed 5:05 PM
20 Sep 2019,PEK,KBP,PS288,10:15,UR-GOA,6:40 PM,7:00 PM,4:45 AM,Landed 5:15 AM
20 Sep 2019,KBP,PEK,PS287,8:47,UR-GOA,7:50 AM,8:18 AM,5:10 PM,Landed 5:05 PM
19 Sep 2019,KBP,PEK,PS287,8:47,UR-GOA,7:50 AM,7:50 AM,5:10 PM,Landed 4:37 PM
18 Sep 2019,PEK,KBP,PS288,10:06,UR-GOA,6:40 PM,7:05 PM,4:45 AM,Landed 5:11 AM
