Date of flight,Origin,Destination,Flight number,Flight_times,Model,STD,ATD,STA,ATA
12 Jul 2019,UDJ,IEV,M9293,-,UR-MSX,4:00 AM,â€”,6:00 AM,Landed 5:51 AM
10 Jul 2019,IEV,UDJ,M9294,1:47,UR-MSX,3:30 PM,3:38 PM,5:30 PM,Landed 5:25 PM
10 Jul 2019,UDJ,IEV,M9293,1:38,UR-MSX,4:00 AM,4:01 AM,6:00 AM,Landed 5:39 AM
08 Jul 2019,IEV,UDJ,M9294,1:52,UR-MSX,3:30 PM,3:32 PM,5:30 PM,Landed 5:24 PM
08 Jul 2019,UDJ,IEV,M9293,1:33,UR-MSX,4:00 AM,3:59 AM,6:00 AM,Landed 5:32 AM
05 Jul 2019,IEV,UDJ,M9294,1:52,UR-MSX,3:30 PM,3:32 PM,5:30 PM,Landed 5:24 PM
05 Jul 2019,UDJ,IEV,M9293,1:31,UR-MSX,4:00 AM,3:59 AM,6:00 AM,Landed 5:30 AM
03 Jul 2019,IEV,UDJ,M9294,1:53,UR-MSX,3:30 PM,3:36 PM,5:30 PM,Landed 5:29 PM
03 Jul 2019,UDJ,IEV,M9293,1:29,UR-MSX,4:00 AM,4:06 AM,6:00 AM,Landed 5:36 AM
01 Jul 2019,IEV,UDJ,M9294,1:45,UR-MSX,3:30 PM,3:37 PM,5:30 PM,Landed 5:21 PM
01 Jul 2019,UDJ,IEV,M9293,1:37,UR-MSX,4:00 AM,4:00 AM,6:00 AM,Landed 5:38 AM
28 Jun 2019,IEV,UDJ,M9294,1:41,UR-MSX,3:30 PM,3:45 PM,5:30 PM,Landed 5:26 PM
28 Jun 2019,UDJ,IEV,M9293,1:38,UR-MSX,4:00 AM,4:11 AM,6:00 AM,Landed 5:49 AM
26 Jun 2019,IEV,UDJ,M9294,1:46,UR-MSX,3:30 PM,3:37 PM,5:30 PM,Landed 5:23 PM
26 Jun 2019,UDJ,IEV,M9293,1:37,UR-MSX,4:00 AM,4:03 AM,6:00 AM,Landed 5:40 AM
24 Jun 2019,IEV,UDJ,M9294,1:36,UR-MSX,3:30 PM,3:40 PM,5:30 PM,Landed 5:15 PM
24 Jun 2019,UDJ,IEV,M9293,1:37,UR-MSX,4:00 AM,3:59 AM,6:00 AM,Landed 5:36 AM
21 Jun 2019,IEV,UDJ,M9294,1:40,UR-MSX,3:30 PM,3:30 PM,5:30 PM,Landed 5:10 PM
21 Jun 2019,UDJ,IEV,M9293,1:36,UR-MSX,4:00 AM,4:01 AM,6:00 AM,Landed 5:37 AM
19 Jun 2019,IEV,UDJ,M9294,1:50,UR-MSX,3:30 PM,3:39 PM,5:30 PM,Landed 5:28 PM
19 Jun 2019,UDJ,IEV,M9293,1:34,UR-MSX,4:00 AM,4:04 AM,6:00 AM,Landed 5:38 AM
17 Jun 2019,IEV,UDJ,M9294,1:42,UR-MSX,3:30 PM,3:31 PM,5:30 PM,Landed 5:13 PM
17 Jun 2019,UDJ,IEV,M9293,1:36,UR-MSX,4:00 AM,4:03 AM,6:00 AM,Landed 5:40 AM
14 Jun 2019,IEV,UDJ,M9294,1:41,UR-MSX,3:30 PM,3:36 PM,5:30 PM,Landed 5:17 PM
14 Jun 2019,UDJ,IEV,M9293,1:22,UR-MSX,4:00 AM,4:23 AM,6:00 AM,Landed 5:44 AM
12 Jun 2019,IEV,UDJ,M9294,1:41,UR-MSX,3:30 PM,3:31 PM,5:30 PM,Landed 5:12 PM
12 Jun 2019,UDJ,IEV,M9293,1:39,UR-MSX,4:00 AM,4:02 AM,6:00 AM,Landed 5:41 AM
10 Jun 2019,IEV,UDJ,M9294,1:31,UR-MSX,3:30 PM,3:31 PM,5:30 PM,Landed 5:02 PM
10 Jun 2019,UDJ,IEV,M9293,1:39,UR-MSX,4:00 AM,4:05 AM,6:00 AM,Landed 5:44 AM
07 Jun 2019,IEV,UDJ,M9294,1:43,UR-MSX,3:30 PM,3:36 PM,5:30 PM,Landed 5:19 PM
07 Jun 2019,UDJ,IEV,M9293,1:39,UR-MSX,4:00 AM,4:03 AM,6:00 AM,Landed 5:42 AM
05 Jun 2019,IEV,UDJ,M9294,1:39,UR-MSX,3:30 PM,3:39 PM,5:30 PM,Landed 5:18 PM
05 Jun 2019,UDJ,IEV,M9293,1:37,UR-MSX,4:00 AM,4:03 AM,6:00 AM,Landed 5:39 AM
03 Jun 2019,IEV,UDJ,M9294,1:31,UR-MSX,3:30 PM,3:30 PM,5:30 PM,Landed 5:01 PM
03 Jun 2019,UDJ,IEV,M9293,1:38,UR-MSX,4:00 AM,4:01 AM,6:00 AM,Landed 5:39 AM
02 Jun 2019,OZH,UDJ,M96215,2:23,UR-MSX,6:00 AM,6:12 AM,8:30 AM,Landed 8:34 AM
27 May 2019,MSQ,OZH,M9318,2:00,UR-MSX,12:00 PM														,12:00 PM														,2:15 PM,Landed 2:00 PM
27 May 2019,OZH,MSQ,M9317,2:03,UR-MSX,3:45 AM,3:45 AM,6:00 AM,Landed 5:48 AM
07 May 2019,IEV,OZH,M9202,1:17,UR-MSX,5:00 PM,4:58 PM,6:15 PM,Landed 6:15 PM
07 May 2019,LWO,IEV,M9264,1:15,UR-MSX,2:50 PM,2:52 PM,4:10 PM,Landed 4:06 PM
07 May 2019,IEV,LWO,M9263,1:18,UR-MSX,7:00 AM,7:18 AM,8:15 AM,Landed 8:36 AM
07 May 2019,OZH,IEV,M9201,-,UR-MSX,4:20 AM,â€”,5:50 AM,Landed 5:53 AM
06 May 2019,IEV,OZH,M9202,1:17,UR-MSX,5:00 PM,5:05 PM,6:15 PM,Landed 6:22 PM
06 May 2019,LWO,IEV,M9264,1:09,UR-MSX,2:50 PM,2:57 PM,4:10 PM,Landed 4:06 PM
06 May 2019,IEV,LWO,M9263,1:15,UR-MSX,7:00 AM,7:00 AM,8:15 AM,Landed 8:14 AM
06 May 2019,OZH,IEV,M9201,-,UR-MSX,4:20 AM,â€”,5:50 AM,Landed 5:31 AM
05 May 2019,IEV,OZH,M9204,1:21,UR-MSX,5:30 PM,5:37 PM,6:45 PM,Landed 6:58 PM
05 May 2019,LWO,IEV,M9266,1:12,UR-MSX,3:00 PM,3:04 PM,4:20 PM,Landed 4:17 PM
04 May 2019,IEV,LWO,M9265,1:21,UR-MSX,8:00 AM,7:55 AM,9:20 AM,Landed 9:16 AM
04 May 2019,OZH,IEV,M9203,-,UR-MSX,5:30 AM,â€”,6:50 AM,Landed 6:47 AM
26 Apr 2019,IEV,OZH,M9202,1:18,UR-MSX,5:00 PM,5:02 PM,6:15 PM,Landed 6:20 PM
26 Apr 2019,LWO,IEV,M9264,1:09,UR-MSX,2:50 PM,2:51 PM,4:10 PM,Landed 4:00 PM
