Date of flight,Origin,Destination,Flight number,Flight_times,Model,STD,ATD,STA,ATA
25 Feb 2020,KBP,TBS,PS517,2:23,UR-PSF,6:30 PM,6:36 PM,9:15 PM,Landed 8:59 PM
25 Feb 2020,TLV,KBP,PS776,3:06,UR-PSF,1:15 PM,1:25 PM,4:30 PM,Landed 4:31 PM
25 Feb 2020,KBP,TLV,PS775,2:35,UR-PSF,7:55 AM,8:05 AM,11:05 AM,Landed 10:40 AM
25 Feb 2020,TBS,KBP,PS518,3:08,UR-PSF,2:45 AM,2:51 AM,5:50 AM,Landed 5:59 AM
24 Feb 2020,KBP,TBS,PS517,2:17,UR-PSF,6:30 PM,6:38 PM,9:15 PM,Landed 8:55 PM
24 Feb 2020,BCN,KBP,PS992,3:08,UR-PSF,12:30 PM,1:13 PM,4:00 PM,Landed 4:22 PM
24 Feb 2020,KBP,BCN,PS991,3:28,UR-PSF,7:50 AM,8:34 AM,11:35 AM,Landed 12:01 PM
24 Feb 2020,GYD,KBP,PS602,3:24,UR-PSF,1:55 AM,2:05 AM,5:45 AM,Landed 5:28 AM
23 Feb 2020,KBP,GYD,PS601,2:45,UR-PSF,6:15 PM,6:37 PM,9:35 PM,Landed 9:22 PM
23 Feb 2020,MXP,KBP,PS312,2:10,UR-PSF,1:40 PM,2:02 PM,4:25 PM,Landed 4:12 PM
23 Feb 2020,KBP,MXP,PS311,2:44,UR-PSF,8:40 AM,8:55 AM,11:30 AM,Landed 11:39 AM
23 Feb 2020,ODS,KBP,PS56,0:53,UR-PSF,5:00 AM,4:55 AM,6:00 AM,Landed 5:48 AM
22 Feb 2020,KBP,ODS,PS55,0:45,UR-PSF,5:30 PM,5:41 PM,6:30 PM,Landed 6:26 PM
22 Feb 2020,TLV,KBP,PS776,2:52,UR-PSF,12:35 PM,12:47 PM,3:45 PM,Landed 3:40 PM
22 Feb 2020,KBP,TLV,PS775,2:45,UR-PSF,7:55 AM,8:04 AM,11:05 AM,Landed 10:49 AM
22 Feb 2020,CAI,KBP,PS398,2:59,UR-PSF,2:50 AM,3:02 AM,6:30 AM,Landed 6:01 AM
21 Feb 2020,KBP,CAI,PS397,2:50,UR-PSF,6:00 PM,6:03 PM,9:20 PM,Landed 8:53 PM
21 Feb 2020,TLV,KBP,PS776,2:56,UR-PSF,1:15 PM,1:28 PM,4:30 PM,Landed 4:24 PM
21 Feb 2020,KBP,TLV,PS775,2:43,UR-PSF,7:55 AM,8:18 AM,11:05 AM,Landed 11:01 AM
21 Feb 2020,IST,KBP,PS716,1:31,UR-PSF,3:55 AM,4:17 AM,6:00 AM,Landed 5:48 AM
20 Feb 2020,ODS,IST,PS719,1:06,UR-PSF,11:00 PM,11:03 PM,12:30 AM,Landed 12:09 AM
20 Feb 2020,IST,ODS,PS720,0:54,UR-PSF,8:30 PM,8:46 PM,10:05 PM,Landed 9:40 PM
20 Feb 2020,KBP,IST,PS715,1:36,UR-PSF,5:30 PM,5:40 PM,7:30 PM,Landed 7:16 PM
20 Feb 2020,CDG,KBP,PS128,2:39,UR-PSF,12:20 PM,12:46 PM,3:35 PM,Landed 3:25 PM
20 Feb 2020,KBP,CDG,PS127,3:00,UR-PSF,7:45 AM,8:04 AM,11:10 AM,Landed 11:04 AM
20 Feb 2020,EVN,KBP,PS612,2:40,UR-PSF,2:40 AM,2:44 AM,5:50 AM,Landed 5:24 AM
19 Feb 2020,KBP,EVN,PS611,2:32,UR-PSF,6:10 PM,6:31 PM,8:55 PM,Landed 9:03 PM
19 Feb 2020,PRG,KBP,PS808,1:40,UR-PSF,2:30 PM,2:48 PM,4:35 PM,Landed 4:27 PM
19 Feb 2020,KBP,PRG,PS807,1:46,UR-PSF,11:40 AM,12:03 PM,1:50 PM,Landed 1:49 PM
19 Feb 2020,HRK,KBP,PS26,0:43,UR-PSF,9:15 AM,9:36 AM,10:15 AM,Landed 10:19 AM
19 Feb 2020,KBP,HRK,PS25,0:42,UR-PSF,7:25 AM,8:16 AM,8:25 AM,Landed 8:58 AM
18 Feb 2020,AMS,KBP,PS102,2:10,UR-PSF,12:10 PM,12:30 PM,3:00 PM,Landed 2:40 PM
18 Feb 2020,KBP,AMS,PS101,2:50,UR-PSF,8:00 AM,8:09 AM,11:05 AM,Landed 10:59 AM
18 Feb 2020,EVN,KBP,PS612,2:33,UR-PSF,2:40 AM,2:46 AM,5:50 AM,Landed 5:19 AM
17 Feb 2020,KBP,EVN,PS611,2:29,UR-PSF,6:10 PM,6:19 PM,8:55 PM,Landed 8:48 PM
17 Feb 2020,TXL,KBP,PS424,1:34,UR-PSF,2:20 PM,2:48 PM,4:30 PM,Landed 4:22 PM
17 Feb 2020,KBP,TXL,PS423,2:08,UR-PSF,7:25 AM,7:31 AM,9:35 AM,Landed 9:38 AM
17 Feb 2020,ODS,KBP,PS56,0:51,UR-PSF,5:00 AM,5:04 AM,6:00 AM,Landed 5:56 AM
16 Feb 2020,TLV,ODS,PS788,2:22,UR-PSF,11:20 PM,11:40 PM,2:20 AM,Landed 2:02 AM
16 Feb 2020,ODS,TLV,PS787,2:07,UR-PSF,7:30 PM,7:50 PM,10:20 PM,Landed 9:57 PM
16 Feb 2020,KBP,ODS,PS55,0:42,UR-PSF,5:30 PM,5:46 PM,6:30 PM,Landed 6:28 PM
16 Feb 2020,MUC,KBP,PS416,1:56,UR-PSF,1:45 PM,1:58 PM,4:05 PM,Landed 3:54 PM
16 Feb 2020,KBP,MUC,PS415,2:06,UR-PSF,7:40 AM,7:50 AM,10:15 AM,Landed 9:56 AM
16 Feb 2020,HRK,KBP,PS24,0:46,UR-PSF,5:05 AM,5:09 AM,6:05 AM,Landed 5:55 AM
15 Feb 2020,KBP,HRK,PS23,0:41,UR-PSF,5:40 PM,5:57 PM,6:40 PM,Landed 6:37 PM
15 Feb 2020,DUS,KBP,PS412,2:12,UR-PSF,1:15 PM,1:37 PM,4:00 PM,Landed 3:49 PM
15 Feb 2020,KBP,DUS,PS411,2:38,UR-PSF,8:30 AM,8:38 AM,11:25 AM,Landed 11:16 AM
15 Feb 2020,TLV,KBP,PS778,2:51,UR-PSF,3:30 AM,3:40 AM,6:40 AM,Landed 6:31 AM
14 Feb 2020,KBP,TLV,PS777,2:53,UR-PSF,5:30 PM,5:28 PM,8:40 PM,Landed 8:20 PM
14 Feb 2020,CDG,KBP,PS128,2:40,UR-PSF,12:20 PM,12:41 PM,3:35 PM,Landed 3:21 PM
14 Feb 2020,KBP,CDG,PS127,2:59,UR-PSF,7:45 AM,7:57 AM,11:10 AM,Landed 10:56 AM
14 Feb 2020,ODS,KBP,PS56,0:56,UR-PSF,5:00 AM,5:16 AM,6:00 AM,Landed 6:12 AM
13 Feb 2020,TLV,ODS,PS788,2:33,UR-PSF,11:20 PM,11:30 PM,2:20 AM,Landed 2:03 AM
13 Feb 2020,ODS,TLV,PS787,2:05,UR-PSF,7:30 PM,7:41 PM,10:20 PM,Landed 9:46 PM
13 Feb 2020,KBP,ODS,PS55,0:47,UR-PSF,5:30 PM,5:51 PM,6:30 PM,Landed 6:39 PM
13 Feb 2020,CDG,KBP,PS128,2:28,UR-PSF,12:20 PM,1:03 PM,3:35 PM,Landed 3:31 PM
13 Feb 2020,KBP,CDG,PS127,3:22,UR-PSF,7:45 AM,7:59 AM,11:10 AM,Landed 11:21 AM
13 Feb 2020,ODS,KBP,PS56,0:47,UR-PSF,5:00 AM,5:04 AM,6:00 AM,Landed 5:51 AM
12 Feb 2020,TLV,ODS,PS788,2:29,UR-PSF,11:20 PM,11:26 PM,2:20 AM,Landed 1:55 AM
12 Feb 2020,ODS,TLV,PS787,2:04,UR-PSF,7:30 PM,7:46 PM,10:20 PM,Landed 9:51 PM
12 Feb 2020,KBP,ODS,PS55,0:49,UR-PSF,5:30 PM,5:46 PM,6:30 PM,Landed 6:35 PM
12 Feb 2020,LGW,KBP,PS112,2:41,UR-PSF,12:20 PM,1:02 PM,3:40 PM,Landed 3:43 PM
12 Feb 2020,KBP,LGW,PS111,3:14,UR-PSF,7:50 AM,8:12 AM,11:25 AM,Landed 11:26 AM
12 Feb 2020,OZH,KBP,PS86,0:50,UR-PSF,4:35 AM,5:10 AM,5:45 AM,Landed 6:00 AM
11 Feb 2020,KBP,OZH,PS85,0:45,UR-PSF,6:20 PM,7:11 PM,7:25 PM,Landed 7:56 PM
11 Feb 2020,CDG,KBP,PS128,2:20,UR-PSF,12:20 PM,1:01 PM,3:35 PM,Landed 3:21 PM
11 Feb 2020,KBP,CDG,PS127,3:18,UR-PSF,7:45 AM,7:58 AM,11:10 AM,Landed 11:16 AM
10 Feb 2020,MUC,KBP,PS416,1:46,UR-PSF,1:50 PM,7:56 PM,4:05 PM,Landed 9:42 PM
10 Feb 2020,KBP,MUC,PS415,2:23,UR-PSF,7:40 AM,7:52 AM,10:15 AM,Landed 10:15 AM
10 Feb 2020,ODS,KBP,PS56,0:54,UR-PSF,5:00 AM,5:11 AM,6:00 AM,Landed 6:05 AM
09 Feb 2020,TLV,ODS,PS788,2:38,UR-PSF,11:20 PM,11:34 PM,2:20 AM,Landed 2:11 AM
09 Feb 2020,ODS,TLV,PS787,1:59,UR-PSF,7:30 PM,7:51 PM,10:20 PM,Landed 9:50 PM
09 Feb 2020,KBP,ODS,PS55,0:41,UR-PSF,5:30 PM,5:59 PM,6:30 PM,Landed 6:40 PM
09 Feb 2020,DUS,KBP,PS412,2:16,UR-PSF,1:15 PM,1:33 PM,4:00 PM,Landed 3:49 PM
