Date of flight,Origin,Destination,Flight number,Flight_times,Model,STD,ATD,STA,ATA
24 Oct 2020,KBP,DXB,PS373,4:41,UR-PSI,4:50 PM,5:04 PM,10:00 PM,Landed 9:45 PM
24 Oct 2020,CDG,KBP,PS128,2:35,UR-PSI,12:00 PM,12:20 PM,3:05 PM,Landed 2:55 PM
24 Oct 2020,KBP,CDG,PS127,3:01,UR-PSI,6:55 AM,6:55 AM,10:20 AM,Landed 9:56 AM
23 Oct 2020,DXB,KBP,PS374,5:07,UR-PSI,11:20 PM,11:33 PM,5:10 AM,Landed 4:40 AM
23 Oct 2020,KBP,DXB,PS373,4:37,UR-PSI,4:50 PM,5:08 PM,10:00 PM,Landed 9:46 PM
23 Oct 2020,AMS,KBP,PS102,2:08,UR-PSI,11:15 AM,11:45 AM,2:05 PM,Landed 1:53 PM
23 Oct 2020,KBP,AMS,PS101,2:58,UR-PSI,6:50 AM,7:22 AM,9:55 AM,Landed 10:20 AM
22 Oct 2020,DXB,KBP,PS374,5:12,UR-PSI,10:45 PM,11:11 PM,4:40 AM,Landed 4:23 AM
22 Oct 2020,KBP,DXB,PS373,4:37,UR-PSI,4:35 PM,5:04 PM,9:45 PM,Landed 9:41 PM
21 Oct 2020,DXB,KBP,PS374,5:11,UR-PSI,11:20 PM,11:44 PM,5:10 AM,Landed 4:55 AM
21 Oct 2020,KBP,DXB,PS373,4:45,UR-PSI,4:50 PM,5:15 PM,10:00 PM,Landed 10:00 PM
21 Oct 2020,AMS,KBP,PS102,2:08,UR-PSI,11:15 AM,11:23 AM,2:05 PM,Landed 1:32 PM
21 Oct 2020,KBP,AMS,PS101,2:56,UR-PSI,6:50 AM,7:05 AM,9:55 AM,Landed 10:01 AM
20 Oct 2020,DXB,KBP,PS374,5:09,UR-PSI,11:20 PM,11:37 PM,5:10 AM,Landed 4:46 AM
20 Oct 2020,KBP,DXB,PS373,4:36,UR-PSI,4:50 PM,5:08 PM,10:00 PM,Landed 9:44 PM
19 Oct 2020,DXB,KBP,PS374,5:00,UR-PSI,11:20 PM,11:37 PM,5:10 AM,Landed 4:37 AM
19 Oct 2020,KBP,DXB,PS373,4:42,UR-PSI,4:50 PM,5:03 PM,10:00 PM,Landed 9:45 PM
19 Oct 2020,AMS,KBP,PS102,2:20,UR-PSI,11:15 AM,12:13 PM,2:05 PM,Landed 2:34 PM
19 Oct 2020,KBP,AMS,PS101,2:43,UR-PSI,6:50 AM,7:44 AM,9:55 AM,Landed 10:27 AM
18 Oct 2020,DXB,KBP,PS374,4:54,UR-PSI,11:20 PM,11:36 PM,5:10 AM,Landed 4:30 AM
18 Oct 2020,KBP,DXB,PS373,4:47,UR-PSI,4:50 PM,5:04 PM,10:00 PM,Landed 9:52 PM
17 Oct 2020,DXB,KBP,PS374,4:46,UR-PSI,11:20 PM,2:17 AM,5:10 AM,Landed 7:03 AM
18 Oct 2020,ODS,DXB,PS373,4:24,UR-PSI,12:53 AM,8:29 PM,â€”,Landed 12:53 AM
17 Oct 2020,KBP,DXB,PS373,1:48,UR-PSI,4:50 PM,5:13 PM,10:00 PM,Landed 7:02 PM
17 Oct 2020,AMS,KBP,PS102,2:32,UR-PSI,11:15 AM,11:30 AM,2:05 PM,Landed 2:03 PM
17 Oct 2020,KBP,AMS,PS101,2:26,UR-PSI,6:50 AM,7:13 AM,9:55 AM,Landed 9:38 AM
16 Oct 2020,DXB,KBP,PS374,4:44,UR-PSI,11:20 PM,11:50 PM,5:10 AM,Landed 4:34 AM
16 Oct 2020,KBP,DXB,PS373,4:55,UR-PSI,4:50 PM,5:15 PM,10:00 PM,Landed 10:10 PM
16 Oct 2020,AMS,KBP,PS102,2:27,UR-PSI,11:15 AM,11:33 AM,2:05 PM,Landed 2:00 PM
16 Oct 2020,KBP,AMS,PS101,2:30,UR-PSI,6:50 AM,7:09 AM,9:55 AM,Landed 9:40 AM
12 Oct 2020,AMS,KBP,PS102,2:21,UR-PSI,11:15 AM,11:40 AM,2:05 PM,Landed 2:01 PM
12 Oct 2020,KBP,AMS,PS101,2:36,UR-PSI,6:50 AM,7:24 AM,9:55 AM,Landed 9:59 AM
