Date of flight,Origin,Destination,Flight number,Flight_times,Model,STD,ATD,STA,ATA
25 Nov 2020,DXB,KBP,PS374,5:28,UR-PSJ,12:05 AM,12:24 AM,6:05 AM,Landed 5:52 AM
24 Nov 2020,KBP,DXB,PS373,4:23,UR-PSJ,5:25 PM,5:31 PM,10:35 PM,Landed 9:53 PM
24 Nov 2020,DXB,KBP,PS374,-,UR-PSJ,5:53 AM,â€”,â€”,Landed 5:53 AM
24 Nov 2020,DXB,KBP,PS374,5:30,UR-PSJ,12:05 AM,12:21 AM,6:05 AM,Landed 5:52 AM
23 Nov 2020,KBP,DXB,PS373,4:26,UR-PSJ,5:25 PM,6:07 PM,10:35 PM,Landed 10:33 PM
20 Nov 2020,DXB,KBP,PS374,5:30,UR-PSJ,12:05 AM,12:58 AM,6:05 AM,Landed 6:28 AM
19 Nov 2020,KBP,DXB,PS373,4:35,UR-PSJ,5:25 PM,6:33 PM,10:35 PM,Landed 11:08 PM
19 Nov 2020,DXB,KBP,PS374,5:31,UR-PSJ,12:05 AM,12:27 AM,6:05 AM,Landed 5:58 AM
18 Nov 2020,KBP,DXB,PS373,4:32,UR-PSJ,5:25 PM,6:05 PM,10:35 PM,Landed 10:37 PM
18 Nov 2020,DXB,KBP,PS374,5:33,UR-PSJ,12:05 AM,12:21 AM,6:05 AM,Landed 5:54 AM
17 Nov 2020,KBP,DXB,PS373,4:26,UR-PSJ,5:25 PM,5:58 PM,10:35 PM,Landed 10:24 PM
17 Nov 2020,DXB,KBP,PS374,-,UR-PSJ,6:05 AM,â€”,â€”,Landed 6:05 AM
17 Nov 2020,DXB,KBP,PS374,5:29,UR-PSJ,12:05 AM,12:30 AM,6:05 AM,Landed 6:00 AM
16 Nov 2020,KBP,DXB,PS373,4:30,UR-PSJ,5:25 PM,5:45 PM,10:35 PM,Landed 10:16 PM
16 Nov 2020,DXB,KBP,PS374,5:20,UR-PSJ,12:05 AM,12:27 AM,6:05 AM,Landed 5:48 AM
15 Nov 2020,KBP,DXB,PS373,4:33,UR-PSJ,5:25 PM,5:35 PM,10:35 PM,Landed 10:08 PM
15 Nov 2020,DXB,KBP,PS374,5:22,UR-PSJ,12:05 AM,1:12 AM,6:05 AM,Landed 6:33 AM
14 Nov 2020,KBP,DXB,PS373,4:39,UR-PSJ,5:25 PM,6:16 PM,10:35 PM,Landed 10:55 PM
13 Nov 2020,DXB,KBP,PS374,5:26,UR-PSJ,12:05 AM,12:19 AM,6:05 AM,Landed 5:45 AM
12 Nov 2020,KBP,DXB,PS373,4:25,UR-PSJ,5:25 PM,6:04 PM,10:35 PM,Landed 10:29 PM
12 Nov 2020,DXB,KBP,PS374,5:21,UR-PSJ,12:05 AM,12:18 AM,6:05 AM,Landed 5:39 AM
11 Nov 2020,KBP,DXB,PS373,4:35,UR-PSJ,5:25 PM,5:39 PM,10:35 PM,Landed 10:14 PM
09 Nov 2020,DXB,KBP,PS374,5:03,UR-PSJ,12:05 AM,12:42 AM,6:05 AM,Landed 5:45 AM
08 Nov 2020,KBP,DXB,PS373,4:47,UR-PSJ,5:25 PM,5:30 PM,10:35 PM,Landed 10:17 PM
08 Nov 2020,DXB,KBP,PS374,4:59,UR-PSJ,12:05 AM,12:56 AM,6:05 AM,Landed 5:55 AM
07 Nov 2020,KBP,DXB,PS373,4:36,UR-PSJ,5:25 PM,5:54 PM,10:35 PM,Landed 10:30 PM
07 Nov 2020,DXB,KBP,PS374,5:13,UR-PSJ,12:05 AM,12:22 AM,6:05 AM,Landed 5:35 AM
06 Nov 2020,KBP,DXB,PS373,4:35,UR-PSJ,5:25 PM,5:50 PM,10:35 PM,Landed 10:24 PM
04 Nov 2020,DXB,KBP,PS374,5:11,UR-PSJ,12:05 AM,12:50 AM,6:05 AM,Landed 6:00 AM
03 Nov 2020,KBP,DXB,PS373,4:42,UR-PSJ,5:25 PM,5:58 PM,10:35 PM,Landed 10:40 PM
03 Nov 2020,DXB,KBP,PS374,5:12,UR-PSJ,12:05 AM,12:18 AM,6:05 AM,Landed 5:29 AM
02 Nov 2020,KBP,DXB,PS373,4:39,UR-PSJ,5:25 PM,5:44 PM,10:35 PM,Landed 10:23 PM
31 Oct 2020,DXB,KBP,PS374,5:07,UR-PSJ,12:05 AM,12:24 AM,6:05 AM,Landed 5:31 AM
30 Oct 2020,KBP,DXB,PS373,4:47,UR-PSJ,5:25 PM,5:36 PM,10:35 PM,Landed 10:24 PM
30 Oct 2020,DXB,KBP,PS374,5:07,UR-PSJ,12:05 AM,12:26 AM,6:05 AM,Landed 5:33 AM
29 Oct 2020,KBP,DXB,PS373,4:42,UR-PSJ,5:25 PM,5:58 PM,10:35 PM,Landed 10:40 PM
29 Oct 2020,DXB,KBP,PS374,4:58,UR-PSJ,12:05 AM,12:26 AM,6:05 AM,Landed 5:24 AM
28 Oct 2020,KBP,DXB,PS373,4:39,UR-PSJ,5:25 PM,5:30 PM,10:35 PM,Landed 10:09 PM
23 Oct 2020,CDG,KBP,PS128,2:24,UR-PSJ,12:00 PM,12:21 PM,3:05 PM,Landed 2:45 PM
23 Oct 2020,KBP,CDG,PS127,3:16,UR-PSJ,6:55 AM,7:00 AM,10:20 AM,Landed 10:16 AM
18 Oct 2020,AMS,KBP,PS102,2:23,UR-PSJ,11:15 AM,11:29 AM,2:05 PM,Landed 1:52 PM
18 Oct 2020,KBP,AMS,PS101,2:30,UR-PSJ,6:50 AM,7:33 AM,9:55 AM,Landed 10:03 AM
16 Oct 2020,CDG,KBP,PS128,2:42,UR-PSJ,12:00 PM,12:34 PM,3:05 PM,Landed 3:16 PM
16 Oct 2020,KBP,CDG,PS127,2:57,UR-PSJ,6:55 AM,7:00 AM,10:20 AM,Landed 9:57 AM
09 Oct 2020,DXB,KBP,PS374,4:50,UR-PSJ,11:20 PM,12:17 AM,5:10 AM,Landed 5:07 AM
09 Oct 2020,KBP,DXB,PS373,4:52,UR-PSJ,4:50 PM,5:10 PM,10:00 PM,Landed 10:03 PM
08 Oct 2020,DXB,KBP,PS374,5:05,UR-PSJ,10:45 PM,11:44 PM,4:40 AM,Landed 4:49 AM
08 Oct 2020,KBP,DXB,PS373,4:58,UR-PSJ,4:35 PM,5:01 PM,9:45 PM,Landed 10:00 PM
07 Oct 2020,DXB,KBP,PS374,4:56,UR-PSJ,11:20 PM,12:04 AM,5:10 AM,Landed 4:59 AM
07 Oct 2020,KBP,DXB,PS373,4:51,UR-PSJ,4:50 PM,5:23 PM,10:00 PM,Landed 10:14 PM
03 Oct 2020,SSH,KBP,PS6202,3:55,UR-PSJ,2:20 PM,2:22 PM,6:10 PM,Landed 6:17 PM
03 Oct 2020,KBP,SSH,PS6201,3:24,UR-PSJ,9:20 AM,9:34 AM,1:10 PM,Landed 12:58 PM
27 Sep 2020,ODS,KBP,PS58,0:45,UR-PSJ,2:10 PM,2:15 PM,3:10 PM,Landed 3:00 PM
26 Sep 2020,KBP,ODS,PS57,0:42,UR-PSJ,7:35 AM,7:33 AM,8:35 AM,Landed 8:15 AM
