Date of flight,Origin,Destination,Flight number,Flight_times,Model,STD,ATD,STA,ATA
02 Mar 2021,SSH,ASR,PS5007,2:28,UR-PSK,â€”,4:11 PM,â€”,Landed 6:39 PM
02 Mar 2021,HRK,SSH,PS5247,3:36,UR-PSK,11:00 AM,11:11 AM,3:05 PM,Landed 2:47 PM
02 Mar 2021,ASR,HRK,PS5442,2:16,UR-PSK,7:15 AM,7:21 AM,9:40 AM,Landed 9:36 AM
02 Mar 2021,KBP,ASR,PS5411,-,UR-PSK,â€”,â€”,â€”,Landed 5:58 AM
02 Mar 2021,KBP,ASR,PS5411,1:56,UR-PSK,3:50 AM,3:59 AM,6:05 AM,Landed 5:54 AM
30 Jan 2021,SSH,KBP,PS5204,4:05,UR-PSK,4:35 PM,5:08 PM,8:50 PM,Landed 9:13 PM
30 Jan 2021,ODS,SSH,PS5231,3:03,UR-PSK,12:00 PM,12:07 PM,3:25 PM,Landed 3:09 PM
30 Jan 2021,SSH,ODS,PS5232,3:19,UR-PSK,6:55 AM,7:06 AM,10:40 AM,Landed 10:25 AM
30 Jan 2021,KBP,SSH,PS5203,3:31,UR-PSK,1:50 AM,2:03 AM,5:45 AM,Landed 5:34 AM
29 Jan 2021,SSH,KBP,PS5202,4:17,UR-PSK,5:40 PM,5:59 PM,9:55 PM,Landed 10:16 PM
29 Jan 2021,LWO,SSH,PS5261,3:13,UR-PSK,12:35 PM,1:26 PM,4:30 PM,Landed 4:38 PM
29 Jan 2021,SSH,LWO,PS5262,4:08,UR-PSK,6:55 AM,7:49 AM,11:15 AM,Landed 11:57 AM
29 Jan 2021,KBP,SSH,PS5201,3:13,UR-PSK,1:50 AM,3:12 AM,5:45 AM,Landed 6:24 AM
28 Jan 2021,SSH,KBP,PS5206,-,UR-PSK,3:26 PM,â€”,â€”,Unknown
28 Jan 2021,SSH,KBP,PS5206,6:18,UR-PSK,9:10 AM,9:10 AM,1:25 PM,Landed 3:27 PM
28 Jan 2021,KBP,SSH,PS5205,3:39,UR-PSK,4:05 AM,4:35 AM,8:00 AM,Landed 8:14 AM
27 Jan 2021,SSH,KBP,PS5204,3:29,UR-PSK,4:40 PM,5:31 PM,8:55 PM,Landed 9:00 PM
27 Jan 2021,ODS,SSH,PS5231,3:17,UR-PSK,12:05 PM,12:43 PM,3:30 PM,Landed 4:00 PM
27 Jan 2021,SSH,ODS,PS5232,3:04,UR-PSK,7:00 AM,7:12 AM,10:45 AM,Landed 10:15 AM
27 Jan 2021,KBP,SSH,PS5203,3:59,UR-PSK,1:55 AM,1:56 AM,5:50 AM,Landed 5:54 AM
25 Jan 2021,SSH,KBP,PS5208,3:47,UR-PSK,10:05 AM,10:05 AM,2:20 PM,Landed 1:51 PM
25 Jan 2021,KBP,SSH,PS5207,3:44,UR-PSK,5:00 AM,5:03 AM,8:55 AM,Landed 8:48 AM
24 Jan 2021,AAN,KBP,PS6386,5:22,UR-PSK,7:20 PM,1:58 PM,â€”,Landed 7:19 PM
24 Jan 2021,HRI,AAN,PS6386,4:42,UR-PSK,8:15 AM,8:18 AM,1:25 PM,Landed 1:00 PM
24 Jan 2021,AAN,HRI,PS6385,4:15,UR-PSK,2:10 AM,1:45 AM,6:45 AM,Landed 6:00 AM
23 Jan 2021,KBP,AAN,PS6385,4:41,UR-PSK,8:00 PM,8:12 PM,1:10 AM,Landed 12:53 AM
23 Jan 2021,HRG,KBP,PS5102,-,UR-PSK,2:55 PM,â€”,â€”,Unknown
23 Jan 2021,HRG,KBP,PS5102,3:56,UR-PSK,11:00 AM,11:00 AM,3:00 PM,Landed 2:55 PM
23 Jan 2021,KBP,HRG,PS5101,3:28,UR-PSK,6:00 AM,6:16 AM,9:50 AM,Landed 9:45 AM
20 Jan 2021,SSH,KBP,PS5204,4:11,UR-PSK,4:40 PM,4:48 PM,8:55 PM,Landed 8:59 PM
20 Jan 2021,ODS,SSH,PS5231,2:47,UR-PSK,12:05 PM,12:34 PM,3:30 PM,Landed 3:21 PM
20 Jan 2021,SSH,ODS,PS5232,3:50,UR-PSK,7:00 AM,7:17 AM,10:45 AM,Landed 11:07 AM
20 Jan 2021,KBP,SSH,PS5203,3:14,UR-PSK,1:55 AM,2:30 AM,5:50 AM,Landed 5:44 AM
18 Jan 2021,SSH,KBP,PS5208,3:59,UR-PSK,10:05 AM,10:14 AM,2:20 PM,Landed 2:13 PM
18 Jan 2021,KBP,SSH,PS5207,3:26,UR-PSK,5:00 AM,5:20 AM,8:55 AM,Landed 8:46 AM
17 Jan 2021,SSH,KBP,PS5206,3:50,UR-PSK,11:05 AM,11:21 AM,3:20 PM,Landed 3:11 PM
17 Jan 2021,KBP,SSH,PS5205,3:43,UR-PSK,6:00 AM,6:24 AM,9:55 AM,Landed 10:07 AM
16 Jan 2021,SSH,KBP,PS5204,3:50,UR-PSK,4:35 PM,4:38 PM,8:50 PM,Landed 8:28 PM
16 Jan 2021,ODS,SSH,PS5231,3:12,UR-PSK,12:00 PM,11:59 AM,3:25 PM,Landed 3:12 PM
16 Jan 2021,SSH,ODS,PS5232,3:13,UR-PSK,6:55 AM,7:13 AM,10:40 AM,Landed 10:27 AM
16 Jan 2021,KBP,SSH,PS5203,3:37,UR-PSK,1:50 AM,2:06 AM,5:45 AM,Landed 5:43 AM
15 Jan 2021,SSH,KBP,PS5202,3:55,UR-PSK,5:40 PM,6:02 PM,9:55 PM,Landed 9:56 PM
15 Jan 2021,LWO,SSH,PS5261,3:24,UR-PSK,12:35 PM,1:12 PM,4:30 PM,Landed 4:36 PM
15 Jan 2021,SSH,LWO,PS5262,3:58,UR-PSK,6:55 AM,7:45 AM,11:15 AM,Landed 11:43 AM
15 Jan 2021,KBP,SSH,PS5201,3:27,UR-PSK,1:50 AM,2:48 AM,5:45 AM,Landed 6:15 AM
14 Jan 2021,SSH,KBP,PS5206,3:56,UR-PSK,9:05 AM,8:59 AM,1:20 PM,Landed 12:56 PM
14 Jan 2021,KBP,SSH,PS5205,3:30,UR-PSK,4:00 AM,4:05 AM,7:55 AM,Landed 7:35 AM
13 Jan 2021,SSH,KBP,PS5204,3:50,UR-PSK,5:55 PM,6:22 PM,10:10 PM,Landed 10:12 PM
13 Jan 2021,HRK,SSH,PS5247,3:44,UR-PSK,12:40 PM,1:12 PM,4:45 PM,Landed 4:56 PM
13 Jan 2021,SSH,HRK,PS5248,3:40,UR-PSK,7:00 AM,7:19 AM,11:20 AM,Landed 10:59 AM
13 Jan 2021,KBP,SSH,PS5203,3:47,UR-PSK,1:55 AM,1:57 AM,5:50 AM,Landed 5:43 AM
11 Jan 2021,SSH,KBP,PS5208,3:57,UR-PSK,10:05 AM,10:22 AM,2:20 PM,Landed 2:18 PM
11 Jan 2021,KBP,SSH,PS5207,3:34,UR-PSK,5:00 AM,5:14 AM,8:55 AM,Landed 8:49 AM
10 Jan 2021,SSH,KBP,PS5206,3:56,UR-PSK,4:40 PM,5:07 PM,8:55 PM,Landed 9:03 PM
10 Jan 2021,ODS,SSH,PS5231,2:50,UR-PSK,12:05 PM,12:36 PM,3:30 PM,Landed 3:26 PM
10 Jan 2021,SSH,ODS,PS5232,3:31,UR-PSK,7:00 AM,7:19 AM,10:45 AM,Landed 10:51 AM
10 Jan 2021,KBP,SSH,PS5205,3:19,UR-PSK,1:55 AM,2:06 AM,5:50 AM,Landed 5:25 AM
09 Jan 2021,HRG,KBP,PS5102,3:59,UR-PSK,5:35 PM,5:47 PM,9:35 PM,Landed 9:46 PM
09 Jan 2021,KBP,HRG,PS5101,3:29,UR-PSK,12:30 PM,12:54 PM,4:25 PM,Landed 4:24 PM
09 Jan 2021,SSH,KBP,PS5206,3:55,UR-PSK,7:05 AM,7:28 AM,11:20 AM,Landed 11:23 AM
09 Jan 2021,KBP,SSH,PS5205,3:30,UR-PSK,2:00 AM,2:01 AM,5:55 AM,Landed 5:30 AM
07 Jan 2021,SSH,KBP,PS5206,3:53,UR-PSK,9:05 AM,4:02 PM,1:20 PM,Landed 7:55 PM
07 Jan 2021,KBP,SSH,PS5205,3:38,UR-PSK,4:00 AM,10:45 AM,7:55 AM,Landed 2:23 PM
06 Jan 2021,SSH,KBP,PS5204,3:53,UR-PSK,5:55 PM,5:16 AM,10:10 PM,Landed 9:08 AM
07 Jan 2021,KBP,SSH,PS5247,3:24,UR-PSK,3:42 AM,12:14 AM,â€”,Landed 3:38 AM
06 Jan 2021,SSH,HRK,PS5248,-,UR-PSK,7:00 AM,7:24 AM,11:20 AM,Diverted to KBP
06 Jan 2021,KBP,SSH,PS5203,3:31,UR-PSK,1:55 AM,2:15 AM,5:50 AM,Landed 5:46 AM
04 Jan 2021,SSH,KBP,PS5208,3:52,UR-PSK,10:05 AM,10:33 AM,2:20 PM,Landed 2:25 PM
04 Jan 2021,KBP,SSH,PS5207,3:37,UR-PSK,5:00 AM,5:18 AM,8:55 AM,Landed 8:55 AM
03 Jan 2021,SSH,KBP,PS5206,3:53,UR-PSK,4:40 PM,5:10 PM,8:55 PM,Landed 9:03 PM
03 Jan 2021,ODS,SSH,PS5231,3:03,UR-PSK,12:05 PM,12:28 PM,3:30 PM,Landed 3:31 PM
03 Jan 2021,SSH,ODS,PS5232,3:35,UR-PSK,7:00 AM,7:21 AM,10:45 AM,Landed 10:56 AM
03 Jan 2021,KBP,SSH,PS5205,3:33,UR-PSK,1:55 AM,2:13 AM,5:50 AM,Landed 5:46 AM
02 Jan 2021,SSH,KBP,PS5204,3:56,UR-PSK,4:35 PM,4:51 PM,8:50 PM,Landed 8:47 PM
02 Jan 2021,ODS,SSH,PS5231,3:01,UR-PSK,12:00 PM,12:07 PM,3:25 PM,Landed 3:08 PM
02 Jan 2021,SSH,ODS,PS5232,3:13,UR-PSK,6:55 AM,7:05 AM,10:40 AM,Landed 10:19 AM
02 Jan 2021,KBP,SSH,PS5203,3:31,UR-PSK,1:50 AM,2:01 AM,5:45 AM,Landed 5:32 AM
31 Dec 2020,SSH,KBP,PS5206,3:47,UR-PSK,9:05 AM,8:59 AM,1:20 PM,Landed 12:45 PM
31 Dec 2020,KBP,SSH,PS5205,3:43,UR-PSK,4:00 AM,4:04 AM,7:55 AM,Landed 7:48 AM
30 Dec 2020,SSH,KBP,PS5204,3:48,UR-PSK,5:55 PM,6:07 PM,10:10 PM,Landed 9:55 PM
30 Dec 2020,HRK,SSH,PS5247,3:47,UR-PSK,12:40 PM,12:57 PM,4:45 PM,Landed 4:44 PM
30 Dec 2020,SSH,HRK,PS5248,3:42,UR-PSK,7:00 AM,7:06 AM,11:20 AM,Landed 10:48 AM
30 Dec 2020,KBP,SSH,PS5203,3:47,UR-PSK,1:55 AM,2:07 AM,5:50 AM,Landed 5:54 AM
29 Dec 2020,ASR,KBP,PS5412,1:54,UR-PSK,2:00 PM,3:32 PM,4:20 PM,Landed 5:26 PM
29 Dec 2020,HRK,ASR,PS5441,2:11,UR-PSK,10:40 AM,12:03 PM,1:00 PM,Landed 2:14 PM
29 Dec 2020,ASR,HRK,PS5442,2:12,UR-PSK,6:55 AM,8:20 AM,9:20 AM,Landed 10:32 AM
29 Dec 2020,KBP,ASR,PS5411,1:56,UR-PSK,3:40 AM,3:43 AM,5:55 AM,Landed 5:39 AM
28 Dec 2020,SSH,KBP,PS5204,3:50,UR-PSK,5:30 PM,5:45 PM,9:45 PM,Landed 9:36 PM
28 Dec 2020,LWO,SSH,PS5261,3:39,UR-PSK,12:25 PM,12:31 PM,4:20 PM,Landed 4:10 PM
28 Dec 2020,SSH,LWO,PS5262,3:37,UR-PSK,7:00 AM,7:10 AM,11:05 AM,Landed 10:47 AM
28 Dec 2020,KBP,SSH,PS5203,3:42,UR-PSK,2:00 AM,2:05 AM,5:50 AM,Landed 5:47 AM
27 Dec 2020,SSH,KBP,PS5206,3:52,UR-PSK,4:40 PM,4:48 PM,8:55 PM,Landed 8:40 PM
27 Dec 2020,ODS,SSH,PS5231,3:08,UR-PSK,12:05 PM,12:40 PM,3:30 PM,Landed 3:48 PM
