Date of flight,Origin,Destination,Flight number,Flight_times,Model,STD,ATD,STA,ATA
27 Feb 2021,SSH,ODS,PS5232,3:19,UR-PSL,7:00 AM,7:00 AM,10:40 AM,Landed 10:19 AM
27 Feb 2021,KBP,SSH,PS5203,3:31,UR-PSL,1:55 AM,2:03 AM,5:50 AM,Landed 5:34 AM
26 Feb 2021,SSH,KBP,PS5204,3:48,UR-PSL,3:45 PM,4:13 PM,8:00 PM,Landed 8:01 PM
26 Feb 2021,HRK,SSH,PS5247,3:27,UR-PSL,11:00 AM,11:09 AM,2:45 PM,Landed 2:36 PM
26 Feb 2021,SSH,HRK,PS5248,4:01,UR-PSL,5:20 AM,5:19 AM,9:40 AM,Landed 9:20 AM
26 Feb 2021,KBP,SSH,PS5203,3:25,UR-PSL,12:25 AM,12:34 AM,4:20 AM,Landed 3:59 AM
25 Feb 2021,SSH,KBP,PS5206,3:53,UR-PSL,2:20 PM,4:39 PM,6:35 PM,Landed 8:32 PM
25 Feb 2021,OZH,SSH,PS5271,3:12,UR-PSL,9:20 AM,11:00 AM,1:10 PM,Landed 2:12 PM
25 Feb 2021,SSH,OZH,PS5272,3:53,UR-PSL,3:55 AM,5:23 AM,8:00 AM,Landed 9:15 AM
24 Feb 2021,KBP,SSH,PS5205,3:17,UR-PSL,11:00 PM,12:24 AM,2:50 AM,Landed 3:41 AM
24 Feb 2021,SSH,KBP,PS5204,4:07,UR-PSL,4:15 PM,4:16 PM,8:30 PM,Landed 8:23 PM
24 Feb 2021,ODS,SSH,PS5231,2:52,UR-PSL,11:40 AM,11:51 AM,3:05 PM,Landed 2:43 PM
24 Feb 2021,SSH,ODS,PS5232,3:37,UR-PSL,6:35 AM,6:40 AM,10:20 AM,Landed 10:17 AM
24 Feb 2021,KBP,SSH,PS5203,3:21,UR-PSL,1:30 AM,1:36 AM,5:25 AM,Landed 4:57 AM
23 Feb 2021,ASR,KBP,PS5412,2:04,UR-PSL,2:20 PM,2:54 PM,4:40 PM,Landed 4:59 PM
