Date of flight,Origin,Destination,Flight number,Flight_times,Model,STD,ATD,STA,ATA
06 Feb 2021,SSH,KBP,PS5208,4:06,UR-PSO,10:05 AM,9:56 AM,2:20 PM,Landed 2:02 PM
06 Feb 2021,KBP,SSH,PS5207,3:19,UR-PSO,5:00 AM,4:58 AM,8:55 AM,Landed 8:17 AM
01 Feb 2021,MXP,KBP,PS312,2:15,UR-PSO,1:40 PM,2:03 PM,4:25 PM,Landed 4:18 PM
01 Feb 2021,KBP,MXP,PS311,2:30,UR-PSO,8:40 AM,9:30 AM,11:30 AM,Landed 12:00 PM
17 Jan 2021,AMS,KBP,PS102,2:28,UR-PSO,12:10 PM,1:09 PM,3:00 PM,Landed 3:38 PM
17 Jan 2021,KBP,AMS,PS101,2:21,UR-PSO,8:00 AM,9:19 AM,11:05 AM,Landed 11:40 AM
16 Jan 2021,SSH,KBP,PS5206,4:01,UR-PSO,11:05 AM,11:23 AM,3:20 PM,Landed 3:24 PM
16 Jan 2021,KBP,SSH,PS5205,3:36,UR-PSO,6:00 AM,6:30 AM,9:55 AM,Landed 10:06 AM
09 Jan 2021,RMF,KBP,PS2262,4:16,UR-PSO,12:45 PM,12:41 PM,5:05 PM,Landed 4:57 PM
09 Jan 2021,KBP,RMF,PS2261,3:42,UR-PSO,7:05 AM,7:34 AM,11:15 AM,Landed 11:16 AM
06 Jan 2021,AYT,KBP,PS5322,2:04,UR-PSO,11:35 AM,12:16 PM,2:10 PM,Landed 2:20 PM
06 Jan 2021,KBP,AYT,PS5321,2:12,UR-PSO,8:00 AM,8:09 AM,10:35 AM,Landed 10:21 AM
05 Jan 2021,AMS,KBP,PS102,2:32,UR-PSO,12:10 PM,12:37 PM,3:00 PM,Landed 3:08 PM
05 Jan 2021,KBP,AMS,PS101,2:27,UR-PSO,8:00 AM,8:30 AM,11:05 AM,Landed 10:57 AM
04 Jan 2021,AMS,KBP,PS102,2:35,UR-PSO,12:10 PM,12:25 PM,3:00 PM,Landed 3:00 PM
04 Jan 2021,KBP,AMS,PS101,2:32,UR-PSO,8:00 AM,8:38 AM,11:05 AM,Landed 11:10 AM
03 Jan 2021,CDG,KBP,PS128,2:41,UR-PSO,12:20 PM,12:38 PM,3:35 PM,Landed 3:19 PM
03 Jan 2021,KBP,CDG,PS127,2:57,UR-PSO,7:45 AM,8:01 AM,11:10 AM,Landed 10:58 AM
02 Jan 2021,ERZ,KBP,PS5422,2:49,UR-PSO,7:25 AM,7:40 AM,10:05 AM,Landed 10:28 AM
02 Jan 2021,KBP,ERZ,PS5421,1:52,UR-PSO,4:00 AM,4:35 AM,6:25 AM,Landed 6:28 AM
30 Dec 2020,ERZ,KBP,PS5422,3:05,UR-PSO,5:25 AM,5:25 AM,8:05 AM,Landed 8:30 AM
30 Dec 2020,KBP,ERZ,PS5421,2:17,UR-PSO,2:00 AM,2:15 AM,4:25 AM,Landed 4:33 AM
28 Dec 2020,SSH,KBP,PS5208,3:51,UR-PSO,11:05 AM,11:01 AM,3:20 PM,Landed 2:53 PM
28 Dec 2020,KBP,SSH,PS5207,3:48,UR-PSO,6:00 AM,6:03 AM,9:55 AM,Landed 9:51 AM
27 Dec 2020,CDG,KBP,PS128,2:47,UR-PSO,12:20 PM,2:01 PM,3:35 PM,Landed 4:48 PM
27 Dec 2020,KBP,CDG,PS127,4:04,UR-PSO,7:45 AM,7:55 AM,11:10 AM,Landed 11:58 AM
26 Dec 2020,AYT,KBP,PS5322,2:05,UR-PSO,11:35 AM,11:37 AM,2:10 PM,Landed 1:42 PM
26 Dec 2020,KBP,AYT,PS5321,2:18,UR-PSO,8:00 AM,8:03 AM,10:35 AM,Landed 10:21 AM
26 Dec 2020,ODS,KBP,PS56,0:46,UR-PSO,5:00 AM,5:08 AM,6:00 AM,Landed 5:54 AM
25 Dec 2020,KBP,ODS,PS55,0:48,UR-PSO,6:25 PM,6:44 PM,7:25 PM,Landed 7:32 PM
25 Dec 2020,CDG,KBP,PS128,2:42,UR-PSO,12:20 PM,12:56 PM,3:35 PM,Landed 3:38 PM
25 Dec 2020,KBP,CDG,PS127,2:58,UR-PSO,7:45 AM,7:54 AM,11:10 AM,Landed 10:53 AM
24 Dec 2020,LHR,KBP,PS118,2:45,UR-PSO,12:20 PM,1:13 PM,3:40 PM,Landed 3:58 PM
24 Dec 2020,KBP,LHR,PS117,3:14,UR-PSO,7:50 AM,8:12 AM,11:25 AM,Landed 11:26 AM
23 Dec 2020,CDG,KBP,PS128,2:32,UR-PSO,12:20 PM,1:30 PM,3:35 PM,Landed 4:02 PM
23 Dec 2020,KBP,CDG,PS127,3:10,UR-PSO,7:45 AM,8:09 AM,11:10 AM,Landed 11:18 AM
19 Dec 2020,AYT,KBP,PS5322,2:09,UR-PSO,11:35 AM,11:55 AM,2:10 PM,Landed 2:04 PM
19 Dec 2020,KBP,AYT,PS5321,2:03,UR-PSO,8:00 AM,8:27 AM,10:35 AM,Landed 10:30 AM
19 Dec 2020,ODS,KBP,PS56,0:49,UR-PSO,5:00 AM,5:09 AM,6:00 AM,Landed 5:58 AM
18 Dec 2020,KBP,ODS,PS55,0:42,UR-PSO,6:25 PM,6:42 PM,7:25 PM,Landed 7:24 PM
18 Dec 2020,TLV,KBP,PS778,2:45,UR-PSO,3:30 AM,3:55 AM,6:40 AM,Landed 6:40 AM
17 Dec 2020,KBP,TLV,PS777,2:45,UR-PSO,6:00 PM,6:22 PM,9:10 PM,Landed 9:07 PM
17 Dec 2020,TLV,KBP,PS778,2:56,UR-PSO,3:30 AM,4:10 AM,6:40 AM,Landed 7:06 AM
16 Dec 2020,KBP,TLV,PS777,2:40,UR-PSO,6:00 PM,6:42 PM,9:10 PM,Landed 9:22 PM
16 Dec 2020,TLV,KBP,PS778,2:59,UR-PSO,3:30 AM,3:48 AM,6:40 AM,Landed 6:48 AM
15 Dec 2020,KBP,TLV,PS777,2:46,UR-PSO,6:00 PM,6:34 PM,9:10 PM,Landed 9:20 PM
15 Dec 2020,IST,KBP,PS714,1:34,UR-PSO,1:30 PM,1:51 PM,3:30 PM,Landed 3:25 PM
15 Dec 2020,KBP,IST,PS713,1:29,UR-PSO,9:30 AM,9:50 AM,11:30 AM,Landed 11:19 AM
14 Dec 2020,LGW,KBP,PS112,2:45,UR-PSO,12:20 PM,12:41 PM,3:40 PM,Landed 3:26 PM
14 Dec 2020,KBP,LGW,PS111,3:08,UR-PSO,7:50 AM,8:22 AM,11:25 AM,Landed 11:30 AM
14 Dec 2020,ODS,KBP,PS56,0:44,UR-PSO,5:00 AM,5:11 AM,6:00 AM,Landed 5:55 AM
13 Dec 2020,TLV,ODS,PS788,2:04,UR-PSO,11:20 PM,11:41 PM,2:20 AM,Landed 1:46 AM
13 Dec 2020,ODS,TLV,PS787,2:19,UR-PSO,7:30 PM,8:33 PM,10:20 PM,Landed 10:53 PM
13 Dec 2020,KBP,ODS,PS55,0:48,UR-PSO,5:30 PM,6:08 PM,6:30 PM,Landed 6:56 PM
09 Dec 2020,CDG,KBP,PS128,2:51,UR-PSO,12:20 PM,1:25 PM,3:35 PM,Landed 4:15 PM
09 Dec 2020,KBP,CDG,PS127,2:40,UR-PSO,7:45 AM,8:15 AM,11:10 AM,Landed 10:55 AM
07 Dec 2020,SSH,KBP,PS6202,3:55,UR-PSO,10:30 AM,10:37 AM,2:30 PM,Landed 2:32 PM
07 Dec 2020,KBP,SSH,PS6201,3:28,UR-PSO,5:30 AM,5:50 AM,9:20 AM,Landed 9:18 AM
05 Dec 2020,HRG,KBP,PS5102,3:55,UR-PSO,1:25 PM,1:42 PM,5:20 PM,Landed 5:37 PM
05 Dec 2020,KBP,HRG,PS5101,3:22,UR-PSO,8:20 AM,8:50 AM,12:15 PM,Landed 12:12 PM
28 Nov 2020,AYT,KBP,PS5322,2:01,UR-PSO,8:35 AM,8:58 AM,11:10 AM,Landed 10:59 AM
28 Nov 2020,KBP,AYT,PS5321,2:12,UR-PSO,5:00 AM,5:24 AM,7:35 AM,Landed 7:36 AM
27 Nov 2020,CDG,KBP,PS128,2:34,UR-PSO,12:20 PM,1:09 PM,3:35 PM,Landed 3:43 PM
27 Nov 2020,KBP,CDG,PS127,2:59,UR-PSO,7:45 AM,8:16 AM,11:10 AM,Landed 11:15 AM
21 Nov 2020,HRG,KBP,PS5102,3:34,UR-PSO,7:05 AM,8:12 AM,11:00 AM,Landed 11:45 AM
21 Nov 2020,KBP,HRG,PS5101,3:27,UR-PSO,2:00 AM,3:25 AM,5:55 AM,Landed 6:51 AM
14 Nov 2020,IST,KBP,PS714,1:37,UR-PSO,1:30 PM,1:46 PM,3:30 PM,Landed 3:23 PM
14 Nov 2020,KBP,IST,PS713,1:40,UR-PSO,9:30 AM,10:18 AM,11:30 AM,Landed 11:58 AM
11 Nov 2020,AYT,KBP,PS5322,2:05,UR-PSO,8:35 AM,8:32 AM,11:10 AM,Landed 10:36 AM
11 Nov 2020,KBP,AYT,PS5321,2:02,UR-PSO,5:00 AM,5:05 AM,7:35 AM,Landed 7:07 AM
07 Nov 2020,HRG,KBP,PS5102,3:57,UR-PSO,5:25 PM,5:25 PM,9:20 PM,Landed 9:22 PM
07 Nov 2020,LWO,HRG,PS5161,3:38,UR-PSO,12:10 PM,12:30 PM,4:10 PM,Landed 4:08 PM
07 Nov 2020,HRG,LWO,PS5162,3:48,UR-PSO,7:05 AM,7:05 AM,11:00 AM,Landed 10:52 AM
07 Nov 2020,KBP,HRG,PS5101,3:25,UR-PSO,2:00 AM,2:07 AM,5:55 AM,Landed 5:32 AM
04 Nov 2020,SSH,KBP,PS5204,4:08,UR-PSO,4:10 PM,4:57 PM,8:00 PM,Landed 9:05 PM
04 Nov 2020,OZH,SSH,PS5271,2:54,UR-PSO,11:35 AM,12:22 PM,3:00 PM,Landed 3:16 PM
04 Nov 2020,SSH,OZH,PS5272,4:02,UR-PSO,7:00 AM,6:47 AM,10:25 AM,Landed 10:49 AM
04 Nov 2020,KBP,SSH,PS5203,3:04,UR-PSO,2:00 AM,2:09 AM,5:50 AM,Landed 5:13 AM
03 Nov 2020,IST,KBP,PS714,1:47,UR-PSO,1:30 PM,1:45 PM,3:30 PM,Landed 3:32 PM
03 Nov 2020,KBP,IST,PS713,1:30,UR-PSO,9:30 AM,9:39 AM,11:30 AM,Landed 11:09 AM
02 Nov 2020,AYT,KBP,PS6212,2:21,UR-PSO,3:45 PM,3:44 PM,6:20 PM,Landed 6:06 PM
02 Nov 2020,KBP,AYT,PS6211,2:06,UR-PSO,2:07 PM,12:01 PM,â€”,Landed 2:07 PM
01 Nov 2020,AYT,KBP,PS6212,2:08,UR-PSO,4:05 PM,4:10 PM,6:40 PM,Landed 6:19 PM
01 Nov 2020,KBP,AYT,PS6211,2:00,UR-PSO,12:30 PM,12:37 PM,3:05 PM,Landed 2:36 PM
31 Oct 2020,HRG,KBP,PS5102,3:31,UR-PSO,9:02 PM,5:30 PM,â€”,Landed 9:02 PM
31 Oct 2020,LWO,HRG,PS5161,3:21,UR-PSO,12:10 PM,12:34 PM,4:10 PM,Landed 3:55 PM
31 Oct 2020,HRG,LWO,PS5162,3:41,UR-PSO,7:05 AM,7:26 AM,11:00 AM,Landed 11:07 AM
31 Oct 2020,KBP,HRG,PS5101,3:37,UR-PSO,2:00 AM,2:16 AM,5:55 AM,Landed 5:53 AM
30 Oct 2020,CDG,KBP,PS128,2:36,UR-PSO,12:20 PM,1:09 PM,3:35 PM,Landed 3:45 PM
30 Oct 2020,KBP,CDG,PS127,2:54,UR-PSO,7:45 AM,8:06 AM,11:10 AM,Landed 11:00 AM
29 Oct 2020,AYT,KBP,PS7018,2:06,UR-PSO,2:00 PM,1:59 PM,4:30 PM,Landed 4:05 PM
29 Oct 2020,KBP,AYT,PS7017,2:18,UR-PSO,10:30 AM,10:24 AM,1:00 PM,Landed 12:43 PM
28 Oct 2020,HRG,KBP,PS5104,3:30,UR-PSO,10:05 AM,10:26 AM,2:00 PM,Landed 1:56 PM
28 Oct 2020,KBP,HRG,PS5103,3:38,UR-PSO,5:00 AM,4:59 AM,8:55 AM,Landed 8:37 AM
27 Oct 2020,AYT,KBP,PS6212,2:01,UR-PSO,3:45 PM,3:52 PM,6:20 PM,Landed 5:53 PM
27 Oct 2020,KBP,AYT,PS6211,2:11,UR-PSO,12:00 PM,12:12 PM,2:35 PM,Landed 2:23 PM
27 Oct 2020,ODS,KBP,PS56,0:51,UR-PSO,5:00 AM,5:06 AM,6:00 AM,Landed 5:56 AM
26 Oct 2020,KBP,ODS,PS55,0:45,UR-PSO,6:25 PM,6:24 PM,7:25 PM,Landed 7:09 PM
25 Oct 2020,HRG,KBP,PS6216,3:31,UR-PSO,6:05 PM,10:00 PM,11:00 PM,Landed 1:30 AM
25 Oct 2020,KBP,HRG,PS6215,3:29,UR-PSO,1:00 PM,1:09 PM,4:55 PM,Landed 4:38 PM
24 Oct 2020,RMF,KBP,PS7162,4:12,UR-PSO,12:10 PM,12:20 PM,4:30 PM,Landed 4:32 PM
24 Oct 2020,KBP,RMF,PS7161,3:50,UR-PSO,7:00 AM,7:10 AM,11:10 AM,Landed 11:01 AM
23 Oct 2020,AYT,KBP,PS6212,2:12,UR-PSO,1:35 PM,1:32 PM,4:10 PM,Landed 3:43 PM
23 Oct 2020,KBP,AYT,PS6211,2:02,UR-PSO,10:00 AM,10:11 AM,12:35 PM,Landed 12:13 PM
21 Oct 2020,AYT,KBP,PS7018,2:24,UR-PSO,10:30 AM,10:22 AM,1:00 PM,Landed 12:46 PM
21 Oct 2020,KBP,AYT,PS7017,2:02,UR-PSO,7:00 AM,7:07 AM,9:30 AM,Landed 9:09 AM
