Date of flight,Origin,Destination,Flight number,Flight_times,Model,STD,ATD,STA,ATA
11 Feb 2021,AAN,HRI,PS6385,4:16,UR-PSQ,2:10 AM,2:18 AM,6:45 AM,Landed 6:34 AM
10 Feb 2021,KBP,AAN,PS6385,4:52,UR-PSQ,8:00 PM,8:21 PM,1:10 AM,Landed 1:12 AM
09 Feb 2021,SSH,KBP,PS5206,3:44,UR-PSQ,5:20 PM,5:36 PM,9:35 PM,Landed 9:20 PM
09 Feb 2021,LWO,SSH,PS5261,3:36,UR-PSQ,12:15 PM,12:22 PM,4:10 PM,Landed 3:58 PM
09 Feb 2021,SSH,LWO,PS5262,3:56,UR-PSQ,6:35 AM,6:59 AM,10:55 AM,Landed 10:54 AM
09 Feb 2021,KBP,SSH,PS5205,3:29,UR-PSQ,1:30 AM,1:58 AM,5:25 AM,Landed 5:28 AM
08 Feb 2021,SSH,KBP,PS6202,3:35,UR-PSQ,10:35 AM,10:59 AM,2:50 PM,Landed 2:34 PM
08 Feb 2021,KBP,SSH,PS6201,3:41,UR-PSQ,5:30 AM,5:41 AM,9:25 AM,Landed 9:22 AM
07 Feb 2021,DXB,KBP,PS374,5:27,UR-PSQ,12:05 AM,12:26 AM,6:05 AM,Landed 5:53 AM
06 Feb 2021,KBP,DXB,PS373,4:38,UR-PSQ,5:25 PM,5:28 PM,10:35 PM,Landed 10:05 PM
06 Feb 2021,HRG,KBP,PS5102,3:56,UR-PSQ,11:05 AM,11:10 AM,3:05 PM,Landed 3:06 PM
06 Feb 2021,KBP,HRG,PS5101,3:17,UR-PSQ,6:00 AM,6:12 AM,9:55 AM,Landed 9:29 AM
05 Feb 2021,DXB,KBP,PS374,5:28,UR-PSQ,12:05 AM,12:26 AM,6:05 AM,Landed 5:54 AM
04 Feb 2021,KBP,DXB,PS373,4:43,UR-PSQ,5:25 PM,5:37 PM,10:35 PM,Landed 10:20 PM
04 Feb 2021,IST,KBP,PS714,1:41,UR-PSQ,1:30 PM,1:48 PM,3:30 PM,Landed 3:28 PM
04 Feb 2021,KBP,IST,PS713,1:33,UR-PSQ,9:30 AM,9:39 AM,11:30 AM,Landed 11:12 AM
03 Feb 2021,HRG,KBP,PS5102,3:41,UR-PSQ,11:05 AM,11:36 AM,3:05 PM,Landed 3:17 PM
03 Feb 2021,KBP,HRG,PS5101,3:27,UR-PSQ,6:00 AM,6:27 AM,9:55 AM,Landed 9:54 AM
30 Jan 2021,RMF,KBP,PS2262,-,UR-PSQ,4:48 PM,â€”,â€”,Unknown
30 Jan 2021,RMF,KBP,PS2262,4:04,UR-PSQ,12:45 PM,12:45 PM,5:05 PM,Landed 4:49 PM
30 Jan 2021,KBP,RMF,PS2261,3:51,UR-PSQ,7:05 AM,7:12 AM,11:15 AM,Landed 11:03 AM
29 Jan 2021,ASR,KBP,PS5412,2:12,UR-PSQ,2:15 PM,1:58 PM,4:45 PM,Landed 4:10 PM
29 Jan 2021,SSH,ASR,PS5003,2:35,UR-PSQ,12:54 PM,10:19 AM,â€”,Landed 12:53 PM
29 Jan 2021,KBP,SSH,PS5207,3:22,UR-PSQ,5:20 AM,5:56 AM,9:15 AM,Landed 9:17 AM
27 Jan 2021,CDG,KBP,PS128,2:45,UR-PSQ,12:20 PM,12:48 PM,3:35 PM,Landed 3:32 PM
27 Jan 2021,KBP,CDG,PS127,2:55,UR-PSQ,7:45 AM,7:54 AM,11:10 AM,Landed 10:50 AM
26 Jan 2021,TLV,KBP,PS782,2:55,UR-PSQ,1:49 AM,10:54 PM,â€”,Landed 1:49 AM
25 Jan 2021,KBP,TLV,PS777,2:46,UR-PSQ,6:00 PM,6:44 PM,9:10 PM,Landed 9:30 PM
25 Jan 2021,HRG,KBP,PS5104,4:01,UR-PSQ,11:00 AM,11:00 AM,3:00 PM,Landed 3:00 PM
25 Jan 2021,KBP,HRG,PS5103,3:41,UR-PSQ,6:00 AM,6:15 AM,9:50 AM,Landed 9:56 AM
24 Jan 2021,HRG,KBP,PS5102,3:40,UR-PSQ,9:05 AM,9:23 AM,1:05 PM,Landed 1:03 PM
24 Jan 2021,KBP,HRG,PS5101,3:42,UR-PSQ,4:00 AM,4:18 AM,7:55 AM,Landed 8:00 AM
23 Jan 2021,SSH,KBP,PS5208,-,UR-PSQ,9:07 PM,â€”,â€”,Unknown
23 Jan 2021,SSH,KBP,PS5208,3:52,UR-PSQ,5:10 PM,5:15 PM,9:25 PM,Landed 9:07 PM
23 Jan 2021,KBP,SSH,PS5207,3:36,UR-PSQ,12:05 PM,12:22 PM,4:00 PM,Landed 3:58 PM
23 Jan 2021,ERZ,KBP,PS5422,2:33,UR-PSQ,7:25 AM,7:25 AM,10:05 AM,Landed 9:57 AM
23 Jan 2021,KBP,ERZ,PS5421,2:04,UR-PSQ,4:00 AM,4:13 AM,6:25 AM,Landed 6:17 AM
22 Jan 2021,SSH,KBP,PS5206,3:55,UR-PSQ,9:10 AM,9:17 AM,1:25 PM,Landed 1:12 PM
22 Jan 2021,KBP,SSH,PS5205,3:33,UR-PSQ,4:05 AM,4:19 AM,8:00 AM,Landed 7:51 AM
20 Jan 2021,SSH,KBP,PS6202,4:24,UR-PSQ,12:05 PM,12:08 PM,4:20 PM,Landed 4:32 PM
20 Jan 2021,KBP,SSH,PS6201,3:14,UR-PSQ,7:00 AM,7:37 AM,10:55 AM,Landed 10:51 AM
17 Jan 2021,DXB,KBP,PS374,5:31,UR-PSQ,12:05 AM,12:42 AM,6:05 AM,Landed 6:13 AM
16 Jan 2021,KBP,DXB,PS373,-,UR-PSQ,5:25 PM,5:23 PM,10:35 PM,Unknown
16 Jan 2021,KBP,DXB,PS373,-,UR-PSQ,5:25 PM,5:23 PM,10:35 PM,Unknown
16 Jan 2021,ERZ,KBP,PS5422,3:03,UR-PSQ,5:25 AM,5:50 AM,8:05 AM,Landed 8:52 AM
16 Jan 2021,KBP,ERZ,PS5421,2:28,UR-PSQ,2:00 AM,2:42 AM,4:25 AM,Landed 5:11 AM
09 Jan 2021,RMF,KBP,PS2264,4:14,UR-PSQ,11:40 AM,11:40 AM,4:00 PM,Landed 3:54 PM
09 Jan 2021,KBP,RMF,PS2263,3:40,UR-PSQ,6:00 AM,6:02 AM,10:10 AM,Landed 9:43 AM
09 Jan 2021,KBP,RMF,PS2263,-,UR-PSQ,6:00 AM,6:02 AM,10:10 AM,Unknown
07 Jan 2021,SSH,KBP,PS6202,4:03,UR-PSQ,4:05 PM,4:18 PM,8:20 PM,Landed 8:21 PM
07 Jan 2021,KBP,SSH,PS6201,3:46,UR-PSQ,11:00 AM,11:08 AM,2:55 PM,Landed 2:54 PM
06 Jan 2021,ERZ,KBP,PS5422,3:11,UR-PSQ,7:25 AM,7:25 AM,10:05 AM,Landed 10:36 AM
06 Jan 2021,KBP,ERZ,PS5421,1:50,UR-PSQ,4:00 AM,4:33 AM,6:25 AM,Landed 6:23 AM
30 Dec 2020,SSH,KBP,PS5206,3:55,UR-PSQ,11:05 AM,11:16 AM,3:20 PM,Landed 3:11 PM
30 Dec 2020,KBP,SSH,PS5205,3:46,UR-PSQ,6:00 AM,6:17 AM,9:55 AM,Landed 10:03 AM
29 Dec 2020,DXB,KBP,PS374,-,UR-PSQ,5:59 AM,â€”,â€”,Landed 5:59 AM
29 Dec 2020,DXB,KBP,PS374,5:29,UR-PSQ,12:05 AM,12:24 AM,6:05 AM,Landed 5:54 AM
28 Dec 2020,KBP,DXB,PS373,4:46,UR-PSQ,5:25 PM,5:32 PM,10:35 PM,Landed 10:18 PM
28 Dec 2020,AMS,KBP,PS102,2:38,UR-PSQ,12:10 PM,12:23 PM,3:00 PM,Landed 3:02 PM
28 Dec 2020,KBP,AMS,PS101,2:41,UR-PSQ,8:00 AM,8:09 AM,11:05 AM,Landed 10:50 AM
26 Dec 2020,RMF,KBP,PS2264,4:06,UR-PSQ,11:40 AM,11:40 AM,4:00 PM,Landed 3:46 PM
26 Dec 2020,KBP,RMF,PS2263,4:07,UR-PSQ,6:00 AM,6:10 AM,10:10 AM,Landed 10:18 AM
23 Dec 2020,TLV,KBP,PS776,3:03,UR-PSQ,12:50 PM,12:52 PM,4:00 PM,Landed 3:55 PM
23 Dec 2020,ODS,TLV,PS787,2:14,UR-PSQ,7:55 AM,8:16 AM,10:55 AM,Landed 10:30 AM
22 Dec 2020,TLV,ODS,PS788,2:20,UR-PSQ,12:35 PM,12:29 PM,3:35 PM,Landed 2:49 PM
22 Dec 2020,KBP,TLV,PS775,2:49,UR-PSQ,7:45 AM,8:14 AM,10:55 AM,Landed 11:03 AM
21 Dec 2020,LGW,KBP,PS112,2:45,UR-PSQ,12:20 PM,12:56 PM,3:40 PM,Landed 3:42 PM
21 Dec 2020,KBP,LGW,PS111,3:09,UR-PSQ,7:50 AM,7:59 AM,11:25 AM,Landed 11:07 AM
20 Dec 2020,CDG,KBP,PS128,2:46,UR-PSQ,12:20 PM,1:32 PM,3:35 PM,Landed 4:18 PM
20 Dec 2020,KBP,CDG,PS127,3:00,UR-PSQ,7:45 AM,8:01 AM,11:10 AM,Landed 11:01 AM
19 Dec 2020,RMF,KBP,PS2262,-,UR-PSQ,5:21 PM,â€”,â€”,Unknown
19 Dec 2020,RMF,KBP,PS2262,4:37,UR-PSQ,12:45 PM,12:45 PM,5:05 PM,Landed 5:21 PM
19 Dec 2020,KBP,RMF,PS2261,3:47,UR-PSQ,7:05 AM,7:51 AM,11:15 AM,Landed 11:38 AM
13 Dec 2020,HRK,KBP,PS3002,0:51,UR-PSQ,5:21 AM,4:30 AM,â€”,Landed 5:21 AM
12 Dec 2020,TBS,HRK,PS3132,2:34,UR-PSQ,11:20 PM,12:20 AM,2:20 AM,Landed 2:55 AM
12 Dec 2020,DEL,TBS,PS3132,4:50,UR-PSQ,4:55 PM,6:37 PM,10:20 PM,Landed 11:27 PM
12 Dec 2020,KBP,DEL,PS3131,6:42,UR-PSQ,4:33 PM,9:51 AM,â€”,Landed 4:33 PM
01 Dec 2020,IST,KBP,PS714,1:26,UR-PSQ,1:30 PM,1:41 PM,3:30 PM,Landed 3:08 PM
01 Dec 2020,KBP,IST,PS713,1:37,UR-PSQ,9:30 AM,9:59 AM,11:30 AM,Landed 11:36 AM
29 Nov 2020,IST,KBP,PS714,1:28,UR-PSQ,1:30 PM,1:50 PM,3:30 PM,Landed 3:18 PM
29 Nov 2020,KBP,IST,PS713,1:40,UR-PSQ,9:30 AM,9:53 AM,11:30 AM,Landed 11:33 AM
27 Nov 2020,LGW,KBP,PS112,2:55,UR-PSQ,12:20 PM,12:50 PM,3:40 PM,Landed 3:45 PM
27 Nov 2020,KBP,LGW,PS111,3:05,UR-PSQ,7:50 AM,8:32 AM,11:25 AM,Landed 11:38 AM
26 Nov 2020,SSH,KBP,PS7656,3:53,UR-PSQ,4:00 PM,4:48 PM,8:00 PM,Landed 8:41 PM
26 Nov 2020,KBP,SSH,PS7655,3:25,UR-PSQ,11:00 AM,11:45 AM,3:00 PM,Landed 3:10 PM
18 Nov 2020,IST,KBP,PS714,1:36,UR-PSQ,1:30 PM,1:53 PM,3:30 PM,Landed 3:29 PM
18 Nov 2020,KBP,IST,PS713,1:29,UR-PSQ,9:30 AM,10:05 AM,11:30 AM,Landed 11:35 AM
15 Nov 2020,AYT,KBP,PS5322,2:14,UR-PSQ,3:35 PM,3:33 PM,6:10 PM,Landed 5:47 PM
15 Nov 2020,KBP,AYT,PS5321,2:05,UR-PSQ,12:00 PM,12:03 PM,2:35 PM,Landed 2:08 PM
14 Nov 2020,RMF,KBP,PS2262,4:02,UR-PSQ,1:40 PM,1:33 PM,6:00 PM,Landed 5:35 PM
14 Nov 2020,KBP,RMF,PS2261,3:35,UR-PSQ,8:00 AM,8:03 AM,12:10 PM,Landed 11:38 AM
11 Nov 2020,CDG,KBP,PS128,2:35,UR-PSQ,12:20 PM,12:38 PM,3:35 PM,Landed 3:13 PM
11 Nov 2020,KBP,CDG,PS127,2:58,UR-PSQ,7:45 AM,8:09 AM,11:10 AM,Landed 11:06 AM
08 Nov 2020,AYT,KBP,PS7018,2:03,UR-PSQ,2:15 PM,2:08 PM,4:50 PM,Landed 4:10 PM
08 Nov 2020,KBP,AYT,PS7017,2:11,UR-PSQ,10:30 AM,10:26 AM,1:05 PM,Landed 12:38 PM
07 Nov 2020,RMF,KBP,PS2262,4:11,UR-PSQ,1:20 PM,1:30 PM,5:40 PM,Landed 5:40 PM
07 Nov 2020,KBP,RMF,PS2261,3:42,UR-PSQ,8:00 AM,8:12 AM,12:10 PM,Landed 11:55 AM
04 Nov 2020,AYT,KBP,PS6212,2:21,UR-PSQ,3:45 PM,3:55 PM,6:20 PM,Landed 6:16 PM
04 Nov 2020,KBP,AYT,PS6211,2:00,UR-PSQ,12:00 PM,11:58 AM,2:35 PM,Landed 1:58 PM
02 Nov 2020,AYT,KBP,PS7018,2:13,UR-PSQ,2:05 PM,2:02 PM,4:40 PM,Landed 4:16 PM
02 Nov 2020,KBP,AYT,PS7017,1:54,UR-PSQ,10:30 AM,10:32 AM,1:05 PM,Landed 12:26 PM
31 Oct 2020,SSH,KBP,PS6202,3:44,UR-PSQ,2:00 PM,2:21 PM,5:50 PM,Landed 6:05 PM
31 Oct 2020,KBP,SSH,PS6201,3:28,UR-PSQ,9:00 AM,9:15 AM,12:50 PM,Landed 12:44 PM
30 Oct 2020,MXP,KBP,PS312,2:26,UR-PSQ,1:40 PM,1:54 PM,4:25 PM,Landed 4:20 PM
30 Oct 2020,KBP,MXP,PS311,2:25,UR-PSQ,8:40 AM,8:47 AM,11:30 AM,Landed 11:12 AM
29 Oct 2020,BUD,KBP,PS3106,1:18,UR-PSQ,10:00 AM,10:17 AM,11:50 AM,Landed 11:35 AM
26 Oct 2020,KBP,BUD,PS3105,1:25,UR-PSQ,3:00 PM,3:15 PM,4:50 PM,Landed 4:41 PM
