Date of flight,Origin,Destination,Flight number,Flight_times,Model,STD,ATD,STA,ATA
02 Mar 2021,KBP,LWO,7W163,1:21,UR-RWA,1:10 PM,1:16 PM,2:45 PM,Landed 2:37 PM
02 Mar 2021,LWO,KBP,7W162,1:14,UR-RWA,10:35 AM,10:29 AM,12:05 PM,Landed 11:44 AM
02 Mar 2021,KBP,LWO,7W161,1:16,UR-RWA,8:00 AM,7:58 AM,9:35 AM,Landed 9:14 AM
02 Mar 2021,LWO,KBP,7W166,1:13,UR-RWA,5:30 AM,5:04 AM,7:00 AM,Landed 6:17 AM
01 Mar 2021,KBP,LWO,7W165,1:09,UR-RWA,6:30 PM,6:42 PM,8:05 PM,Landed 7:51 PM
01 Mar 2021,ODS,KBP,7W124,1:09,UR-RWA,3:50 PM,3:43 PM,5:20 PM,Landed 4:52 PM
01 Mar 2021,KBP,ODS,7W123,1:08,UR-RWA,1:20 PM,1:24 PM,2:45 PM,Landed 2:31 PM
01 Mar 2021,HRK,KBP,7W142,0:55,UR-RWA,10:20 AM,10:24 AM,11:40 AM,Landed 11:18 AM
01 Mar 2021,KBP,HRK,7W141,1:02,UR-RWA,8:15 AM,8:17 AM,9:30 AM,Landed 9:19 AM
01 Mar 2021,OZH,KBP,7W186,1:02,UR-RWA,5:00 AM,5:05 AM,6:30 AM,Landed 6:07 AM
28 Feb 2021,KBP,OZH,7W185,1:01,UR-RWA,6:10 PM,6:22 PM,7:35 PM,Landed 7:23 PM
28 Feb 2021,LWO,KBP,7W162,1:12,UR-RWA,10:35 AM,10:27 AM,12:05 PM,Landed 11:39 AM
28 Feb 2021,KBP,LWO,7W161,1:11,UR-RWA,8:00 AM,8:05 AM,9:35 AM,Landed 9:16 AM
27 Feb 2021,LWO,KBP,7W164,1:18,UR-RWA,3:55 PM,3:40 PM,5:25 PM,Landed 4:57 PM
27 Feb 2021,KBP,LWO,7W163,1:22,UR-RWA,1:10 PM,1:19 PM,2:45 PM,Landed 2:40 PM
27 Feb 2021,DNK,KBP,7W102,1:11,UR-RWA,10:30 AM,10:37 AM,11:55 AM,Landed 11:49 AM
27 Feb 2021,KBP,DNK,7W101,1:00,UR-RWA,8:10 AM,8:15 AM,9:30 AM,Landed 9:15 AM
27 Feb 2021,DNK,KBP,7W106,1:05,UR-RWA,5:30 AM,5:30 AM,6:55 AM,Landed 6:35 AM
26 Feb 2021,KBP,DNK,7W105,0:55,UR-RWA,6:20 PM,7:29 PM,7:40 PM,Landed 8:23 PM
26 Feb 2021,SOF,KBP,7W756,2:26,UR-RWA,1:30 PM,1:35 PM,3:30 PM,Landed 4:01 PM
26 Feb 2021,KBP,SOF,7W755,2:28,UR-RWA,9:45 AM,9:53 AM,11:50 AM,Landed 12:22 PM
26 Feb 2021,OZH,KBP,7W186,1:18,UR-RWA,5:00 AM,5:00 AM,6:30 AM,Landed 6:19 AM
25 Feb 2021,KBP,OZH,7W185,1:01,UR-RWA,6:10 PM,6:09 PM,7:35 PM,Landed 7:09 PM
25 Feb 2021,IFO,KBP,7W114,1:13,UR-RWA,3:40 PM,3:45 PM,5:35 PM,Landed 4:57 PM
25 Feb 2021,KBP,IFO,7W113,1:26,UR-RWA,1:15 PM,1:26 PM,2:50 PM,Landed 2:51 PM
25 Feb 2021,DNK,KBP,7W102,1:07,UR-RWA,10:30 AM,10:34 AM,11:55 AM,Landed 11:40 AM
25 Feb 2021,KBP,DNK,7W101,0:58,UR-RWA,8:10 AM,8:22 AM,9:30 AM,Landed 9:20 AM
25 Feb 2021,LWO,KBP,7W166,1:15,UR-RWA,5:30 AM,5:08 AM,7:00 AM,Landed 6:22 AM
24 Feb 2021,KBP,LWO,7W165,1:16,UR-RWA,6:30 PM,6:46 PM,8:05 PM,Landed 8:02 PM
24 Feb 2021,IFO,KBP,7W114,1:18,UR-RWA,3:40 PM,3:36 PM,5:35 PM,Landed 4:55 PM
24 Feb 2021,KBP,IFO,7W113,1:16,UR-RWA,1:15 PM,1:32 PM,2:50 PM,Landed 2:47 PM
24 Feb 2021,ODS,KBP,7W122,1:22,UR-RWA,10:35 AM,10:40 AM,12:05 PM,Landed 12:02 PM
24 Feb 2021,KBP,ODS,7W121,0:55,UR-RWA,8:20 AM,8:27 AM,9:45 AM,Landed 9:23 AM
24 Feb 2021,OZH,KBP,7W186,1:17,UR-RWA,5:00 AM,5:13 AM,6:30 AM,Landed 6:30 AM
23 Feb 2021,KBP,OZH,7W185,1:03,UR-RWA,6:10 PM,6:28 PM,7:35 PM,Landed 7:31 PM
23 Feb 2021,IFO,KBP,7W114,1:19,UR-RWA,3:40 PM,3:47 PM,5:10 PM,Landed 5:07 PM
