Date of flight,Origin,Destination,Flight number,Flight_times,Model,STD,ATD,STA,ATA
12 Mar 2021,OZH,KBP,7W102,1:18,UR-RWB,â€”,10:36 AM,â€”,Landed 11:54 AM
12 Mar 2021,DNK,KBP,7W102,-,UR-RWB,10:30 AM,â€”,11:55 AM,Estimated departure 10:36 AM
12 Mar 2021,KBP,DNK,7W101,-,UR-RWB,8:10 AM,8:16 AM,9:30 AM,Diverted to OZH
12 Mar 2021,LWO,KBP,7W166,1:07,UR-RWB,5:30 AM,5:30 AM,7:00 AM,Landed 6:37 AM
11 Mar 2021,KBP,LWO,7W165,1:24,UR-RWB,6:30 PM,6:45 PM,8:05 PM,Landed 8:10 PM
11 Mar 2021,DNK,KBP,7W104,1:02,UR-RWB,3:45 PM,3:54 PM,5:10 PM,Landed 4:56 PM
11 Mar 2021,KBP,DNK,7W103,0:59,UR-RWB,1:25 PM,1:34 PM,2:45 PM,Landed 2:33 PM
11 Mar 2021,DNK,KBP,7W102,1:00,UR-RWB,10:30 AM,10:28 AM,11:55 AM,Landed 11:28 AM
11 Mar 2021,KBP,DNK,7W101,0:58,UR-RWB,8:10 AM,8:26 AM,9:30 AM,Landed 9:24 AM
11 Mar 2021,OZH,KBP,7W186,1:07,UR-RWB,5:00 AM,5:03 AM,6:30 AM,Landed 6:11 AM
10 Mar 2021,KBP,OZH,7W185,1:04,UR-RWB,6:10 PM,6:17 PM,7:35 PM,Landed 7:20 PM
10 Mar 2021,DNK,KBP,7W104,1:07,UR-RWB,4:10 PM,3:42 PM,5:35 PM,Landed 4:49 PM
10 Mar 2021,KBP,DNK,7W103,0:51,UR-RWB,1:25 PM,1:26 PM,2:45 PM,Landed 2:16 PM
10 Mar 2021,DNK,KBP,7W102,1:12,UR-RWB,10:30 AM,10:33 AM,11:55 AM,Landed 11:46 AM
10 Mar 2021,KBP,DNK,7W101,0:52,UR-RWB,8:10 AM,8:15 AM,9:30 AM,Landed 9:07 AM
10 Mar 2021,LWO,KBP,7W166,1:12,UR-RWB,5:00 AM,5:08 AM,6:30 AM,Landed 6:20 AM
09 Mar 2021,KBP,LWO,7W165,1:25,UR-RWB,6:30 PM,6:47 PM,8:05 PM,Landed 8:12 PM
09 Mar 2021,DNK,KBP,7W104,1:03,UR-RWB,3:45 PM,3:44 PM,5:10 PM,Landed 4:47 PM
09 Mar 2021,KBP,DNK,7W103,0:56,UR-RWB,1:25 PM,1:33 PM,2:45 PM,Landed 2:28 PM
09 Mar 2021,ODS,KBP,7W122,1:07,UR-RWB,10:35 AM,10:50 AM,12:05 PM,Landed 11:57 AM
09 Mar 2021,KBP,ODS,7W121,1:07,UR-RWB,8:20 AM,8:28 AM,9:45 AM,Landed 9:35 AM
