Date of flight,Origin,Destination,Flight number,Flight_times,Model,STD,ATD,STA,ATA
09 Mar 2021,KBP,SOF,7W755,2:20,UR-RWC,9:45 AM,9:45 AM,12:45 PM,Landed 12:05 PM
09 Mar 2021,OZH,KBP,7W186,1:10,UR-RWC,5:00 AM,5:02 AM,6:30 AM,Landed 6:13 AM
08 Mar 2021,KBP,OZH,7W185,1:01,UR-RWC,6:10 PM,6:16 PM,7:35 PM,Landed 7:17 PM
08 Mar 2021,IFO,KBP,7W114,1:12,UR-RWC,4:05 PM,3:35 PM,5:35 PM,Landed 4:47 PM
08 Mar 2021,KBP,IFO,7W113,1:28,UR-RWC,1:15 PM,1:14 PM,2:50 PM,Landed 2:42 PM
08 Mar 2021,IFO,KBP,7W112,1:02,UR-RWC,10:30 AM,10:25 AM,12:00 PM,Landed 11:27 AM
08 Mar 2021,KBP,IFO,7W111,1:27,UR-RWC,8:05 AM,8:04 AM,9:40 AM,Landed 9:31 AM
08 Mar 2021,HRK,KBP,7W146,1:09,UR-RWC,5:30 AM,5:04 AM,6:50 AM,Landed 6:13 AM
07 Mar 2021,KBP,HRK,7W145,0:55,UR-RWC,6:15 PM,6:25 PM,7:30 PM,Landed 7:19 PM
07 Mar 2021,IFO,KBP,7W114,1:04,UR-RWC,3:40 PM,3:38 PM,5:10 PM,Landed 4:42 PM
07 Mar 2021,KBP,IFO,7W113,1:21,UR-RWC,1:15 PM,1:20 PM,2:50 PM,Landed 2:41 PM
07 Mar 2021,ODS,KBP,7W122,1:20,UR-RWC,10:45 AM,10:36 AM,12:15 PM,Landed 11:55 AM
07 Mar 2021,KBP,ODS,7W121,1:02,UR-RWC,8:20 AM,8:28 AM,9:45 AM,Landed 9:31 AM
06 Mar 2021,IFO,KBP,7W114,1:16,UR-RWC,4:05 PM,3:40 PM,5:35 PM,Landed 4:55 PM
06 Mar 2021,KBP,IFO,7W113,1:15,UR-RWC,1:15 PM,1:20 PM,2:50 PM,Landed 2:35 PM
06 Mar 2021,LWO,KBP,7W162,1:14,UR-RWC,10:35 AM,10:28 AM,12:05 PM,Landed 11:42 AM
06 Mar 2021,KBP,LWO,7W161,1:14,UR-RWC,8:00 AM,8:07 AM,9:35 AM,Landed 9:21 AM
06 Mar 2021,HRK,KBP,7W146,1:16,UR-RWC,5:05 AM,5:06 AM,6:25 AM,Landed 6:22 AM
05 Mar 2021,LWO,IFO,7W113,-,UR-RWC,7:52 PM,7:57 PM,8:15 PM,Diverted to KBP
05 Mar 2021,KBP,HRK,7W145,0:51,UR-RWC,6:15 PM,10:05 PM,7:30 PM,Landed 10:56 PM
05 Mar 2021,IFO,KBP,7W114,-,UR-RWC,3:40 PM,â€”,5:10 PM,Unknown
05 Mar 2021,KBP,IFO,7W113,-,UR-RWC,1:15 PM,1:26 PM,2:50 PM,Diverted to LWO
05 Mar 2021,IFO,KBP,7W112,1:06,UR-RWC,10:30 AM,10:33 AM,12:00 PM,Landed 11:39 AM
05 Mar 2021,KBP,IFO,7W111,1:27,UR-RWC,8:05 AM,8:15 AM,9:40 AM,Landed 9:42 AM
05 Mar 2021,HRK,KBP,7W146,1:13,UR-RWC,5:30 AM,5:15 AM,6:50 AM,Landed 6:28 AM
04 Mar 2021,KBP,HRK,7W145,0:58,UR-RWC,6:15 PM,6:22 PM,7:30 PM,Landed 7:20 PM
04 Mar 2021,IFO,KBP,7W114,1:10,UR-RWC,4:05 PM,3:51 PM,5:35 PM,Landed 5:00 PM
04 Mar 2021,KBP,IFO,7W113,1:23,UR-RWC,1:15 PM,1:28 PM,2:50 PM,Landed 2:51 PM
04 Mar 2021,LWO,KBP,7W162,1:05,UR-RWC,10:25 AM,10:33 AM,11:55 AM,Landed 11:39 AM
04 Mar 2021,KBP,LWO,7W161,1:21,UR-RWC,8:00 AM,8:13 AM,9:35 AM,Landed 9:34 AM
04 Mar 2021,HRK,KBP,7W146,1:05,UR-RWC,5:30 AM,5:08 AM,6:50 AM,Landed 6:13 AM
03 Mar 2021,KBP,HRK,7W145,0:59,UR-RWC,6:15 PM,6:33 PM,7:30 PM,Landed 7:32 PM
03 Mar 2021,SOF,KBP,7W756,2:36,UR-RWC,1:30 PM,1:54 PM,4:30 PM,Landed 4:30 PM
03 Mar 2021,KBP,SOF,7W755,2:14,UR-RWC,9:45 AM,9:55 AM,12:45 PM,Landed 12:09 PM
03 Mar 2021,HRK,KBP,7W146,1:07,UR-RWC,5:30 AM,5:18 AM,6:50 AM,Landed 6:26 AM
02 Mar 2021,KBP,HRK,7W145,0:56,UR-RWC,6:15 PM,6:24 PM,7:30 PM,Landed 7:19 PM
