Date of flight,Origin,Destination,Flight number,Flight_times,Model,STD,ATD,STA,ATA
04 Mar 2021,LWO,KBP,7W164,1:06,UR-RWD,3:35 PM,3:38 PM,5:05 PM,Landed 4:44 PM
04 Mar 2021,KBP,LWO,7W163,1:22,UR-RWD,1:10 PM,1:15 PM,2:45 PM,Landed 2:38 PM
04 Mar 2021,ODS,KBP,7W122,1:15,UR-RWD,10:45 AM,11:03 AM,12:15 PM,Landed 12:19 PM
04 Mar 2021,KBP,ODS,7W121,1:02,UR-RWD,8:20 AM,8:33 AM,9:45 AM,Landed 9:35 AM
04 Mar 2021,LWO,KBP,7W166,1:10,UR-RWD,5:00 AM,5:07 AM,6:30 AM,Landed 6:18 AM
03 Mar 2021,KBP,LWO,7W165,1:21,UR-RWD,6:30 PM,6:44 PM,8:05 PM,Landed 8:05 PM
03 Mar 2021,IFO,KBP,7W114,1:14,UR-RWD,3:40 PM,3:29 PM,5:10 PM,Landed 4:43 PM
03 Mar 2021,KBP,IFO,7W113,1:18,UR-RWD,1:15 PM,1:18 PM,2:50 PM,Landed 2:36 PM
03 Mar 2021,HRK,KBP,7W142,1:02,UR-RWD,10:30 AM,10:20 AM,11:50 AM,Landed 11:22 AM
03 Mar 2021,KBP,HRK,7W141,0:52,UR-RWD,8:15 AM,8:25 AM,9:30 AM,Landed 9:17 AM
03 Mar 2021,LWO,KBP,7W166,1:13,UR-RWD,5:30 AM,5:16 AM,7:00 AM,Landed 6:28 AM
02 Mar 2021,KBP,LWO,7W165,1:18,UR-RWD,6:30 PM,6:37 PM,8:05 PM,Landed 7:55 PM
02 Mar 2021,SOF,KBP,7W756,2:38,UR-RWD,11:15 AM,1:49 PM,1:15 PM,Landed 4:27 PM
02 Mar 2021,KBP,SOF,7W755,2:12,UR-RWD,9:45 AM,9:54 AM,12:45 PM,Landed 12:06 PM
02 Mar 2021,HRK,KBP,7W146,1:04,UR-RWD,5:30 AM,5:02 AM,6:50 AM,Landed 6:06 AM
01 Mar 2021,KBP,HRK,7W145,1:04,UR-RWD,6:15 PM,6:31 PM,7:30 PM,Landed 7:34 PM
01 Mar 2021,SOF,KBP,7W756,2:50,UR-RWD,11:15 AM,1:37 PM,1:15 PM,Landed 4:27 PM
01 Mar 2021,KBP,SOF,7W755,2:14,UR-RWD,9:45 AM,9:56 AM,11:50 AM,Landed 12:11 PM
01 Mar 2021,HRK,KBP,7W146,0:55,UR-RWD,5:05 AM,5:15 AM,6:25 AM,Landed 6:10 AM
28 Feb 2021,KBP,HRK,7W145,1:00,UR-RWD,6:15 PM,6:27 PM,7:30 PM,Landed 7:27 PM
28 Feb 2021,IFO,KBP,7W112,1:10,UR-RWD,12:25 PM,12:21 PM,1:55 PM,Landed 1:31 PM
28 Feb 2021,KBP,IFO,7W111,1:11,UR-RWD,10:00 AM,9:59 AM,11:35 AM,Landed 11:10 AM
28 Feb 2021,HRK,KBP,7W146,0:59,UR-RWD,5:30 AM,5:02 AM,6:50 AM,Landed 6:01 AM
27 Feb 2021,KBP,HRK,7W145,1:00,UR-RWD,6:15 PM,6:19 PM,7:30 PM,Landed 7:19 PM
27 Feb 2021,IFO,KBP,7W112,1:11,UR-RWD,â€”,10:25 AM,â€”,Landed 11:36 AM
27 Feb 2021,KBP,IFO,7W111,1:19,UR-RWD,â€”,8:08 AM,â€”,Landed 9:27 AM
27 Feb 2021,HRK,KBP,7W146,1:11,UR-RWD,5:30 AM,5:06 AM,6:50 AM,Landed 6:17 AM
26 Feb 2021,KBP,HRK,7W145,0:55,UR-RWD,6:15 PM,6:27 PM,7:30 PM,Landed 7:21 PM
26 Feb 2021,LWO,KBP,7W164,1:06,UR-RWD,3:55 PM,3:43 PM,5:25 PM,Landed 4:48 PM
26 Feb 2021,KBP,LWO,7W163,1:27,UR-RWD,1:10 PM,1:22 PM,2:45 PM,Landed 2:50 PM
26 Feb 2021,IFO,KBP,7W112,1:05,UR-RWD,10:30 AM,10:27 AM,12:00 PM,Landed 11:32 AM
26 Feb 2021,KBP,IFO,7W111,1:20,UR-RWD,8:05 AM,8:16 AM,9:40 AM,Landed 9:35 AM
26 Feb 2021,HRK,KBP,7W146,1:06,UR-RWD,5:30 AM,5:03 AM,6:50 AM,Landed 6:10 AM
25 Feb 2021,KBP,HRK,7W145,1:00,UR-RWD,6:15 PM,7:03 PM,7:30 PM,Landed 8:02 PM
25 Feb 2021,LWO,KBP,7W164,1:08,UR-RWD,3:55 PM,4:57 PM,5:25 PM,Landed 6:05 PM
25 Feb 2021,KBP,LWO,7W163,1:20,UR-RWD,1:10 PM,2:56 PM,2:45 PM,Landed 4:15 PM
25 Feb 2021,ODS,KBP,7W122,1:16,UR-RWD,10:45 AM,10:33 AM,12:15 PM,Landed 11:50 AM
25 Feb 2021,KBP,ODS,7W121,0:56,UR-RWD,8:20 AM,8:31 AM,9:45 AM,Landed 9:27 AM
25 Feb 2021,DNK,KBP,7W106,1:10,UR-RWD,4:55 AM,5:03 AM,6:20 AM,Landed 6:13 AM
24 Feb 2021,KBP,DNK,7W105,0:52,UR-RWD,6:20 PM,6:31 PM,7:40 PM,Landed 7:23 PM
24 Feb 2021,SOF,KBP,7W756,2:54,UR-RWD,1:30 PM,1:29 PM,4:30 PM,Landed 4:23 PM
24 Feb 2021,KBP,SOF,7W755,2:07,UR-RWD,9:45 AM,9:52 AM,12:45 PM,Landed 11:58 AM
24 Feb 2021,HRK,KBP,7W146,1:10,UR-RWD,5:30 AM,5:25 AM,6:50 AM,Landed 6:35 AM
23 Feb 2021,KBP,HRK,7W145,0:54,UR-RWD,6:15 PM,6:32 PM,7:30 PM,Landed 7:26 PM
23 Feb 2021,SOF,KBP,7W756,2:34,UR-RWD,11:15 AM,1:27 PM,1:15 PM,Landed 4:00 PM
23 Feb 2021,KBP,SOF,7W755,2:13,UR-RWD,9:45 AM,9:50 AM,11:50 AM,Landed 12:03 PM
23 Feb 2021,HRK,KBP,7W146,1:07,UR-RWD,5:30 AM,5:08 AM,6:50 AM,Landed 6:15 AM
22 Feb 2021,KBP,HRK,7W145,0:54,UR-RWD,6:15 PM,6:24 PM,7:30 PM,Landed 7:18 PM
22 Feb 2021,IFO,KBP,7W114,1:12,UR-RWD,3:40 PM,3:44 PM,5:10 PM,Landed 4:56 PM
22 Feb 2021,KBP,IFO,7W113,1:16,UR-RWD,1:15 PM,1:17 PM,2:50 PM,Landed 2:32 PM
22 Feb 2021,IFO,KBP,7W112,1:14,UR-RWD,10:30 AM,10:31 AM,12:00 PM,Landed 11:45 AM
22 Feb 2021,KBP,IFO,7W111,1:16,UR-RWD,8:05 AM,8:16 AM,9:40 AM,Landed 9:32 AM
22 Feb 2021,DNK,KBP,7W106,1:04,UR-RWD,4:55 AM,4:58 AM,6:20 AM,Landed 6:02 AM
21 Feb 2021,KBP,DNK,7W105,0:58,UR-RWD,6:20 PM,6:29 PM,7:40 PM,Landed 7:27 PM
