Date of flight,Origin,Destination,Flight number,Flight_times,Model,STD,ATD,STA,ATA
30 Jan 2021,SSH,KBP,7W7658,3:53,UR-WRH,7:08 PM,3:15 PM,â€”,Landed 7:08 PM
30 Jan 2021,KBP,SSH,7W7657,3:32,UR-WRH,1:05 PM,10:10 AM,5:05 PM,Landed 1:42 PM
29 Jan 2021,AYT,KBP,7W7772,2:17,UR-WRH,1:42 PM,11:25 AM,â€”,Landed 1:42 PM
29 Jan 2021,KBP,DXB,7W7771,-,UR-WRH,10:19 AM,8:14 AM,â€”,Diverted to AYT
28 Jan 2021,SSH,KBP,7W7656,3:51,UR-WRH,4:00 PM,4:22 PM,8:15 PM,Landed 8:13 PM
28 Jan 2021,KBP,SSH,7W7655,3:32,UR-WRH,11:00 AM,11:33 AM,3:00 PM,Landed 3:04 PM
24 Jan 2021,SSH,KBP,7W7656,3:55,UR-WRH,6:30 PM,6:13 PM,10:45 PM,Landed 10:08 PM
24 Jan 2021,HRK,SSH,7W4655,3:50,UR-WRH,1:25 PM,12:59 PM,5:30 PM,Landed 4:49 PM
24 Jan 2021,SSH,HRK,7W4656,3:46,UR-WRH,7:40 AM,7:32 AM,12:05 PM,Landed 11:18 AM
24 Jan 2021,KBP,SSH,7W7655,3:41,UR-WRH,2:40 AM,2:30 AM,6:40 AM,Landed 6:12 AM
22 Jan 2021,HRG,KBP,7W7664,3:41,UR-WRH,6:40 PM,6:37 PM,10:50 PM,Landed 10:18 PM
22 Jan 2021,KBP,HRG,7W7663,3:33,UR-WRH,1:25 PM,1:37 PM,5:25 PM,Landed 5:10 PM
21 Jan 2021,SSH,KBP,7W7052,3:53,UR-WRH,5:45 PM,6:14 PM,10:05 PM,Landed 10:07 PM
21 Jan 2021,DNK,SSH,7W3051,3:24,UR-WRH,12:55 PM,1:31 PM,4:45 PM,Landed 4:55 PM
21 Jan 2021,SSH,DNK,7W3052,3:51,UR-WRH,7:30 AM,7:46 AM,11:35 AM,Landed 11:36 AM
21 Jan 2021,KBP,SSH,7W7051,3:26,UR-WRH,2:30 AM,3:00 AM,6:30 AM,Landed 6:26 AM
20 Jan 2021,HRG,KBP,7W7062,4:12,UR-WRH,9:15 AM,9:16 AM,1:25 PM,Landed 1:28 PM
20 Jan 2021,KBP,HRG,7W7061,3:11,UR-WRH,4:00 AM,4:23 AM,8:00 AM,Landed 7:34 AM
19 Jan 2021,HRG,KBP,7W7666,3:36,UR-WRH,6:45 AM,6:50 AM,10:55 AM,Landed 10:26 AM
19 Jan 2021,KBP,HRG,7W7665,3:31,UR-WRH,1:30 AM,1:45 AM,5:30 AM,Landed 5:16 AM
18 Jan 2021,SSH,KBP,7W7656,3:59,UR-WRH,10:30 AM,10:37 AM,2:45 PM,Landed 2:36 PM
18 Jan 2021,KBP,SSH,7W7655,3:29,UR-WRH,5:30 AM,5:46 AM,9:30 AM,Landed 9:15 AM
17 Jan 2021,SSH,KBP,7W7656,3:52,UR-WRH,6:30 PM,6:49 PM,10:45 PM,Landed 10:40 PM
17 Jan 2021,HRK,SSH,7W4655,3:52,UR-WRH,1:25 PM,1:39 PM,5:30 PM,Landed 5:31 PM
17 Jan 2021,SSH,HRK,7W4656,3:59,UR-WRH,7:40 AM,8:06 AM,12:05 PM,Landed 12:05 PM
17 Jan 2021,KBP,SSH,7W7655,3:43,UR-WRH,2:40 AM,3:04 AM,6:40 AM,Landed 6:47 AM
15 Jan 2021,HRG,KBP,7W7664,3:47,UR-WRH,7:14 PM,3:27 PM,â€”,Landed 7:14 PM
15 Jan 2021,KBP,HRG,7W7663,3:28,UR-WRH,1:25 PM,10:26 AM,5:25 PM,Landed 1:54 PM
12 Jan 2021,HRG,KBP,7W7666,3:54,UR-WRH,6:45 AM,6:41 AM,10:55 AM,Landed 10:35 AM
12 Jan 2021,KBP,HRG,7W7665,3:27,UR-WRH,1:30 AM,1:34 AM,5:30 AM,Landed 5:01 AM
11 Jan 2021,SSH,KBP,7W7656,4:01,UR-WRH,10:30 AM,11:01 AM,2:45 PM,Landed 3:03 PM
11 Jan 2021,KBP,SSH,7W7655,3:39,UR-WRH,5:30 AM,5:57 AM,9:30 AM,Landed 9:35 AM
10 Jan 2021,SSH,KBP,7W7656,4:01,UR-WRH,6:30 PM,6:27 PM,10:45 PM,Landed 10:28 PM
10 Jan 2021,HRK,SSH,7W4655,3:39,UR-WRH,1:25 PM,1:31 PM,5:30 PM,Landed 5:11 PM
10 Jan 2021,SSH,HRK,7W4656,4:08,UR-WRH,7:40 AM,7:59 AM,12:05 PM,Landed 12:07 PM
10 Jan 2021,KBP,SSH,7W7655,3:28,UR-WRH,2:40 AM,2:59 AM,6:40 AM,Landed 6:27 AM
09 Jan 2021,HRG,KBP,7W7062,3:45,UR-WRH,6:10 AM,7:53 AM,10:20 AM,Landed 11:38 AM
09 Jan 2021,KBP,HRG,7W7061,3:28,UR-WRH,12:55 AM,2:35 AM,4:55 AM,Landed 6:03 AM
08 Jan 2021,HRG,KBP,7W7664,3:45,UR-WRH,6:40 PM,6:34 PM,10:50 PM,Landed 10:20 PM
08 Jan 2021,KBP,HRG,7W7663,3:23,UR-WRH,1:25 PM,1:34 PM,5:25 PM,Landed 4:57 PM
07 Jan 2021,SSH,KBP,7W7052,4:03,UR-WRH,5:45 PM,6:42 PM,10:05 PM,Landed 10:45 PM
07 Jan 2021,DNK,SSH,7W3051,3:21,UR-WRH,12:55 PM,1:53 PM,4:45 PM,Landed 5:14 PM
07 Jan 2021,SSH,DNK,7W3052,3:48,UR-WRH,7:30 AM,8:06 AM,11:35 AM,Landed 11:54 AM
