Date of flight,Origin,Destination,Flight number,Flight_times,Model,STD,ATD,STA,ATA
13 Feb 2021,KBP,SSH,7W7657,3:30,UR-WRI,10:00 AM,10:42 AM,2:00 PM,Landed 2:12 PM
12 Feb 2021,DNK,KBP,7W104,0:44,UR-WRI,4:10 PM,11:36 PM,5:35 PM,Landed 12:20 AM
12 Feb 2021,KBP,DNK,7W105,0:45,UR-WRI,6:20 PM,9:15 PM,7:40 PM,Landed 10:01 PM
12 Feb 2021,HRG,KBP,7W7664,3:39,UR-WRI,9:40 AM,10:00 AM,1:50 PM,Landed 1:39 PM
12 Feb 2021,KBP,HRG,7W7663,3:37,UR-WRI,4:25 AM,4:55 AM,8:25 AM,Landed 8:32 AM
11 Feb 2021,SSH,KBP,7W7656,3:34,UR-WRI,4:00 PM,4:42 PM,8:15 PM,Landed 8:17 PM
11 Feb 2021,KBP,SSH,7W7655,3:49,UR-WRI,11:00 AM,11:34 AM,3:00 PM,Landed 3:23 PM
09 Feb 2021,SSH,KBP,7W7052,3:42,UR-WRI,5:20 PM,12:30 AM,9:35 PM,Landed 4:12 AM
09 Feb 2021,DNK,SSH,7W3051,3:41,UR-WRI,12:30 PM,7:36 PM,4:20 PM,Landed 11:17 PM
09 Feb 2021,SSH,DNK,7W3052,3:44,UR-WRI,7:05 AM,1:58 PM,11:10 AM,Landed 5:41 PM
09 Feb 2021,KBP,SSH,7W7051,3:35,UR-WRI,8:53 AM,9:06 AM,6:05 AM,Landed 12:41 PM
08 Feb 2021,AYT,KBP,7W7772,1:56,UR-WRI,4:00 PM,2:04 PM,â€”,Landed 4:00 PM
08 Feb 2021,KBP,AYT,7W7771,2:26,UR-WRI,12:49 PM,10:23 AM,â€”,Landed 12:49 PM
07 Feb 2021,HRG,KBP,7W7664,-,UR-WRI,12:09 PM,â€”,â€”,Unknown
07 Feb 2021,HRG,KBP,7W7664,3:54,UR-WRI,8:15 AM,8:15 AM,12:25 PM,Landed 12:09 PM
07 Feb 2021,KBP,HRG,7W7663,3:12,UR-WRI,3:00 AM,3:09 AM,7:00 AM,Landed 6:21 AM
06 Feb 2021,SSH,KBP,7W7658,4:01,UR-WRI,7:00 PM,2:58 PM,â€”,Landed 7:00 PM
06 Feb 2021,KBP,SSH,7W7657,3:18,UR-WRI,1:05 PM,10:05 AM,5:05 PM,Landed 1:23 PM
05 Feb 2021,HRG,KBP,7W7664,4:03,UR-WRI,1:45 PM,9:42 AM,â€”,Landed 1:45 PM
05 Feb 2021,KBP,HRG,7W7663,3:29,UR-WRI,8:12 AM,4:38 AM,â€”,Landed 8:07 AM
04 Feb 2021,SSH,KBP,7W7656,4:04,UR-WRI,4:00 PM,4:06 PM,8:15 PM,Landed 8:10 PM
04 Feb 2021,KBP,SSH,7W7655,3:22,UR-WRI,11:00 AM,11:22 AM,3:00 PM,Landed 2:44 PM
03 Feb 2021,HRG,KBP,7W7062,3:35,UR-WRI,9:15 AM,9:15 AM,1:25 PM,Landed 12:50 PM
03 Feb 2021,KBP,HRG,7W7061,3:37,UR-WRI,4:00 AM,4:06 AM,8:00 AM,Landed 7:43 AM
02 Feb 2021,HRG,KBP,7W7666,3:28,UR-WRI,6:45 AM,7:14 AM,10:55 AM,Landed 10:41 AM
02 Feb 2021,KBP,HRG,7W7665,3:43,UR-WRI,1:30 AM,1:58 AM,5:30 AM,Landed 5:40 AM
01 Feb 2021,SSH,KBP,7W7656,3:24,UR-WRI,10:30 AM,10:50 AM,2:45 PM,Landed 2:14 PM
01 Feb 2021,KBP,SSH,7W7655,3:50,UR-WRI,5:30 AM,5:50 AM,9:30 AM,Landed 9:39 AM
31 Jan 2021,SSH,KBP,7W7052,3:42,UR-WRI,5:10 PM,6:35 PM,9:25 PM,Landed 10:17 PM
31 Jan 2021,DNK,SSH,7W3051,3:38,UR-WRI,12:20 PM,1:26 PM,4:10 PM,Landed 5:04 PM
31 Jan 2021,SSH,DNK,7W3052,3:43,UR-WRI,6:55 AM,7:25 AM,11:00 AM,Landed 11:08 AM
31 Jan 2021,KBP,SSH,7W7051,3:33,UR-WRI,1:55 AM,2:23 AM,5:55 AM,Landed 5:56 AM
30 Jan 2021,HRG,KBP,7W7062,3:56,UR-WRI,7:40 AM,7:47 AM,11:50 AM,Landed 11:43 AM
30 Jan 2021,KBP,HRG,7W7061,3:27,UR-WRI,2:25 AM,2:35 AM,6:25 AM,Landed 6:03 AM
29 Jan 2021,HRG,KBP,7W7664,4:02,UR-WRI,6:40 PM,6:51 PM,10:50 PM,Landed 10:53 PM
29 Jan 2021,KBP,HRG,7W7663,3:15,UR-WRI,1:25 PM,1:56 PM,5:25 PM,Landed 5:11 PM
28 Jan 2021,SSH,KBP,7W7052,4:35,UR-WRI,5:45 PM,5:45 PM,10:05 PM,Landed 10:20 PM
28 Jan 2021,DNK,SSH,7W3051,3:28,UR-WRI,12:55 PM,1:27 PM,4:45 PM,Landed 4:55 PM
28 Jan 2021,SSH,DNK,7W3052,4:15,UR-WRI,7:30 AM,7:30 AM,11:35 AM,Landed 11:45 AM
28 Jan 2021,SSH,SSH,7W3051,-,UR-WRI,8:23 AM,â€”,â€”,Landed 8:31 AM
28 Jan 2021,KBP,SSH,7W7051,3:37,UR-WRI,2:30 AM,2:57 AM,6:30 AM,Landed 6:34 AM
27 Jan 2021,HRG,KBP,7W7062,3:18,UR-WRI,9:15 AM,9:17 AM,1:25 PM,Landed 12:35 PM
27 Jan 2021,KBP,HRG,7W7061,3:51,UR-WRI,4:00 AM,3:58 AM,8:00 AM,Landed 7:49 AM
26 Jan 2021,HRG,KBP,7W7666,3:32,UR-WRI,6:45 AM,7:34 AM,10:55 AM,Landed 11:07 AM
26 Jan 2021,KBP,HRG,7W7665,3:38,UR-WRI,1:30 AM,1:36 AM,5:30 AM,Landed 5:14 AM
25 Jan 2021,SSH,KBP,7W7656,3:50,UR-WRI,10:30 AM,10:45 AM,2:45 PM,Landed 2:34 PM
25 Jan 2021,KBP,SSH,7W7655,3:45,UR-WRI,5:30 AM,5:42 AM,9:30 AM,Landed 9:27 AM
24 Jan 2021,SSH,KBP,7W7052,3:56,UR-WRI,5:10 PM,5:49 PM,9:25 PM,Landed 9:45 PM
24 Jan 2021,DNK,SSH,7W3051,3:35,UR-WRI,12:20 PM,12:50 PM,4:10 PM,Landed 4:24 PM
24 Jan 2021,SSH,DNK,7W3052,3:30,UR-WRI,6:55 AM,7:21 AM,11:00 AM,Landed 10:51 AM
24 Jan 2021,KBP,SSH,7W7051,3:41,UR-WRI,1:55 AM,2:01 AM,5:55 AM,Landed 5:42 AM
23 Jan 2021,SSH,KBP,7W7658,3:47,UR-WRI,6:05 PM,6:16 PM,10:20 PM,Landed 10:03 PM
23 Jan 2021,KBP,SSH,7W7657,3:30,UR-WRI,1:05 PM,1:18 PM,5:05 PM,Landed 4:49 PM
23 Jan 2021,HRG,KBP,7W7062,-,UR-WRI,11:26 AM,â€”,â€”,Unknown
23 Jan 2021,HRG,KBP,7W7062,3:47,UR-WRI,7:40 AM,7:40 AM,11:50 AM,Landed 11:26 AM
23 Jan 2021,KBP,HRG,7W7061,3:26,UR-WRI,2:25 AM,2:56 AM,6:25 AM,Landed 6:21 AM
21 Jan 2021,SSH,KBP,7W7656,3:52,UR-WRI,4:00 PM,4:08 PM,8:15 PM,Landed 8:00 PM
21 Jan 2021,KBP,SSH,7W7655,3:30,UR-WRI,11:00 AM,11:10 AM,3:00 PM,Landed 2:41 PM
20 Jan 2021,DNK,KBP,7W1102,0:48,UR-WRI,9:03 PM,8:15 PM,â€”,Landed 9:03 PM
20 Jan 2021,DNK,DNK,7W1101,2:02,UR-WRI,6:54 PM,4:52 PM,â€”,Landed 6:54 PM
07 Dec 2020,KBP,DNK,7W105,0:42,UR-WRI,6:20 PM,6:33 PM,7:40 PM,Landed 7:14 PM
06 Dec 2020,SSH,KBP,7W7656,4:00,UR-WRI,6:30 PM,6:31 PM,10:45 PM,Landed 10:31 PM
06 Dec 2020,HRK,SSH,7W4655,3:28,UR-WRI,1:25 PM,1:33 PM,5:30 PM,Landed 5:01 PM
06 Dec 2020,SSH,HRK,7W4656,4:06,UR-WRI,7:40 AM,7:53 AM,12:05 PM,Landed 11:59 AM
06 Dec 2020,KBP,SSH,7W7655,3:17,UR-WRI,2:40 AM,3:12 AM,6:40 AM,Landed 6:29 AM
03 Dec 2020,SSH,KBP,7W7656,3:45,UR-WRI,4:30 PM,4:19 PM,8:45 PM,Landed 8:03 PM
03 Dec 2020,KBP,SSH,7W7655,3:34,UR-WRI,12:40 AM,11:25 AM,4:40 AM,Landed 2:59 PM
03 Dec 2020,HRG,KBP,7W7666,3:36,UR-WRI,6:15 AM,5:53 AM,10:25 AM,Landed 9:29 AM
03 Dec 2020,KBP,HRG,7W7665,3:31,UR-WRI,1:00 AM,12:43 AM,5:00 AM,Landed 4:13 AM
02 Dec 2020,HRG,KBP,7W7062,5:42,UR-WRI,7:30 AM,7:30 AM,11:40 AM,Landed 1:12 PM
02 Dec 2020,KBP,HRG,7W7061,3:31,UR-WRI,2:15 AM,4:35 AM,6:15 AM,Landed 8:06 AM
01 Dec 2020,HRG,KBP,7W7666,3:41,UR-WRI,6:45 AM,6:24 PM,10:55 AM,Landed 10:05 PM
01 Dec 2020,KBP,HRG,7W7665,3:24,UR-WRI,1:30 AM,1:20 PM,5:30 AM,Landed 4:44 PM
01 Dec 2020,TAS,KBP,7W7738,5:22,UR-WRI,4:10 AM,6:44 AM,10:10 AM,Landed 12:06 PM
30 Nov 2020,KBP,TAS,7W7737,4:44,UR-WRI,9:00 PM,11:18 PM,2:10 AM,Landed 4:02 AM
30 Nov 2020,SSH,KBP,7W7656,3:41,UR-WRI,2:25 PM,10:44 AM,â€”,Landed 2:25 PM
30 Nov 2020,KBP,SSH,7W7655,3:38,UR-WRI,9:23 AM,5:41 AM,â€”,Landed 9:19 AM
29 Nov 2020,SSH,KBP,7W7656,3:45,UR-WRI,6:30 PM,6:53 PM,10:45 PM,Landed 10:38 PM
29 Nov 2020,HRK,SSH,7W4655,3:53,UR-WRI,1:25 PM,1:27 PM,5:30 PM,Landed 5:20 PM
29 Nov 2020,SSH,HRK,7W4656,3:50,UR-WRI,7:40 AM,7:58 AM,12:05 PM,Landed 11:48 AM
29 Nov 2020,KBP,SSH,7W7655,3:32,UR-WRI,2:40 AM,2:53 AM,6:40 AM,Landed 6:25 AM
28 Nov 2020,HRG,KBP,7W7062,3:58,UR-WRI,5:50 PM,5:50 PM,9:55 PM,Landed 9:47 PM
28 Nov 2020,LWO,HRG,7W6061,3:18,UR-WRI,12:35 PM,12:42 PM,4:35 PM,Landed 4:00 PM
28 Nov 2020,HRG,LWO,7W6062,3:45,UR-WRI,7:05 AM,7:05 AM,11:15 AM,Landed 10:50 AM
28 Nov 2020,KBP,HRG,7W7061,3:26,UR-WRI,1:50 AM,1:56 AM,5:50 AM,Landed 5:22 AM
27 Nov 2020,HRG,KBP,7W7664,3:36,UR-WRI,6:40 PM,6:28 PM,10:50 PM,Landed 10:04 PM
27 Nov 2020,KBP,HRG,7W7663,3:21,UR-WRI,1:25 PM,1:35 PM,5:25 PM,Landed 4:56 PM
26 Nov 2020,SSH,KBP,7W7052,3:52,UR-WRI,5:45 PM,6:18 PM,10:05 PM,Landed 10:09 PM
26 Nov 2020,DNK,SSH,7W3051,3:18,UR-WRI,12:55 PM,1:33 PM,4:45 PM,Landed 4:51 PM
