Date of flight,Origin,Destination,Flight number,Flight_times,Model,STD,ATD,STA,ATA
18 Nov 2020,HRG,KBP,7W7062,3:49,UR-WRJ,6:15 PM,6:32 PM,10:25 PM,Landed 10:21 PM
18 Nov 2020,LWO,HRG,7W6061,3:24,UR-WRJ,1:00 PM,1:18 PM,5:00 PM,Landed 4:42 PM
18 Nov 2020,HRG,LWO,7W6062,3:53,UR-WRJ,7:30 AM,7:42 AM,11:40 AM,Landed 11:35 AM
18 Nov 2020,KBP,HRG,7W7061,3:28,UR-WRJ,2:15 AM,2:50 AM,6:15 AM,Landed 6:18 AM
15 Nov 2020,HRG,KBP,7W7664,3:46,UR-WRJ,6:05 PM,5:47 PM,10:15 PM,Landed 9:33 PM
15 Nov 2020,KBP,HRG,7W7663,3:18,UR-WRJ,12:50 PM,12:57 PM,4:50 PM,Landed 4:15 PM
14 Nov 2020,HRG,KBP,7W7664,3:43,UR-WRJ,6:30 PM,6:40 PM,10:40 PM,Landed 10:24 PM
14 Nov 2020,KBP,HRG,7W7663,3:30,UR-WRJ,1:15 PM,1:34 PM,5:15 PM,Landed 5:04 PM
12 Nov 2020,SSH,KBP,7W7656,3:55,UR-WRJ,4:30 PM,5:32 PM,8:45 PM,Landed 9:27 PM
12 Nov 2020,HRK,SSH,7W4655,3:38,UR-WRJ,11:25 AM,12:26 PM,3:30 PM,Landed 4:04 PM
12 Nov 2020,SSH,HRK,7W4656,4:05,UR-WRJ,5:40 AM,6:34 AM,10:05 AM,Landed 10:38 AM
12 Nov 2020,KBP,SSH,7W7655,3:20,UR-WRJ,12:40 AM,2:00 AM,4:40 AM,Landed 5:20 AM
11 Nov 2020,HRG,KBP,7W7062,3:42,UR-WRJ,10:05 PM,6:23 PM,â€”,Landed 10:05 PM
11 Nov 2020,LWO,HRG,7W6663,3:28,UR-WRJ,4:49 PM,1:17 PM,â€”,Landed 4:44 PM
11 Nov 2020,HRG,LWO,7W6664,3:47,UR-WRJ,11:24 AM,7:37 AM,â€”,Landed 11:24 AM
11 Nov 2020,KBP,HRG,7W7061,3:28,UR-WRJ,6:08 AM,2:35 AM,â€”,Landed 6:03 AM
08 Nov 2020,HRG,KBP,7W7664,3:41,UR-WRJ,9:37 PM,5:56 PM,â€”,Landed 9:37 PM
08 Nov 2020,KBP,HRG,7W7663,3:31,UR-WRJ,4:33 PM,12:58 PM,â€”,Landed 4:29 PM
07 Nov 2020,HRG,KBP,7W7062,-,UR-WRJ,9:42 PM,â€”,â€”,Landed 9:42 PM
07 Nov 2020,KBP,HRG,7W7061,3:23,UR-WRJ,1:59 AM,1:59 AM,â€”,Landed 5:22 AM
06 Nov 2020,HRG,KBP,7W7664,3:48,UR-WRJ,10:21 PM,6:33 PM,â€”,Landed 10:21 PM
