Date of flight,Origin,Destination,Flight number,Flight_times,Model,STD,ATD,STA,ATA
04 Feb 2021,SSH,DNK,7W3052,3:47,UR-WRW,7:30 AM,7:30 AM,11:35 AM,Landed 11:17 AM
04 Feb 2021,KBP,SSH,7W7051,3:23,UR-WRW,2:30 AM,2:33 AM,6:30 AM,Landed 5:56 AM
02 Feb 2021,SSH,KBP,7W7052,3:45,UR-WRW,5:20 PM,6:14 PM,9:35 PM,Landed 10:00 PM
02 Feb 2021,DNK,SSH,7W3051,3:36,UR-WRW,12:30 PM,1:11 PM,4:20 PM,Landed 4:46 PM
02 Feb 2021,SSH,DNK,7W3052,3:29,UR-WRW,7:05 AM,8:08 AM,11:10 AM,Landed 11:37 AM
02 Feb 2021,KBP,SSH,7W7051,3:46,UR-WRW,2:05 AM,3:04 AM,6:05 AM,Landed 6:50 AM
01 Feb 2021,HRK,KBP,7W146,0:48,UR-WRW,5:05 AM,5:30 AM,6:25 AM,Landed 6:18 AM
31 Jan 2021,KBP,HRK,7W145,0:41,UR-WRW,9:00 PM,9:52 PM,9:55 PM,Landed 10:33 PM
31 Jan 2021,HRG,KBP,7W7664,3:45,UR-WRW,8:15 AM,8:29 AM,12:25 PM,Landed 12:13 PM
31 Jan 2021,KBP,HRG,7W7663,3:34,UR-WRW,3:00 AM,3:38 AM,7:00 AM,Landed 7:12 AM
28 Jan 2021,DNK,KBP,7W1104,0:43,UR-WRW,2:22 PM,1:39 PM,â€”,Landed 2:22 PM
28 Jan 2021,LCJ,KBP,7W7738,-,UR-WRW,12:35 PM,10:52 AM,â€”,Diverted to DNK
28 Jan 2021,KBP,LCJ,7W7737,1:18,UR-WRW,9:24 AM,8:05 AM,â€”,Landed 9:24 AM
26 Jan 2021,SSH,KBP,7W7052,3:43,UR-WRW,5:20 PM,5:59 PM,9:35 PM,Landed 9:43 PM
26 Jan 2021,DNK,SSH,7W3051,3:43,UR-WRW,12:30 PM,12:55 PM,4:20 PM,Landed 4:38 PM
26 Jan 2021,SSH,DNK,7W3052,3:32,UR-WRW,7:05 AM,7:07 AM,11:10 AM,Landed 10:39 AM
26 Jan 2021,KBP,SSH,7W7051,3:42,UR-WRW,2:05 AM,2:10 AM,6:05 AM,Landed 5:52 AM
25 Jan 2021,DXB,KBP,7W7772,5:18,UR-WRW,5:36 PM,12:18 PM,â€”,Landed 5:36 PM
25 Jan 2021,KBP,DXB,7W7771,4:44,UR-WRW,10:50 AM,6:06 AM,â€”,Landed 10:50 AM
24 Jan 2021,LCJ,KBP,7W7738,1:19,UR-WRW,1:09 PM,11:51 AM,â€”,Landed 1:09 PM
24 Jan 2021,DNK,LCJ,7W7737,2:08,UR-WRW,10:35 AM,8:23 AM,â€”,Landed 10:31 AM
24 Jan 2021,KBP,DNK,7W1103,0:42,UR-WRW,6:40 AM,5:58 AM,â€”,Landed 6:40 AM
19 Jan 2021,SSH,KBP,7W7052,4:05,UR-WRW,5:20 PM,5:51 PM,9:35 PM,Landed 9:56 PM
19 Jan 2021,DNK,SSH,7W3051,3:42,UR-WRW,12:30 PM,12:48 PM,4:20 PM,Landed 4:30 PM
19 Jan 2021,SSH,DNK,7W3052,3:43,UR-WRW,7:05 AM,7:17 AM,11:10 AM,Landed 11:00 AM
19 Jan 2021,KBP,SSH,7W7051,3:31,UR-WRW,2:05 AM,2:25 AM,6:05 AM,Landed 5:56 AM
17 Jan 2021,SSH,KBP,7W7052,3:51,UR-WRW,5:10 PM,5:35 PM,9:25 PM,Landed 9:26 PM
17 Jan 2021,DNK,SSH,7W3051,3:33,UR-WRW,12:20 PM,12:30 PM,4:10 PM,Landed 4:04 PM
17 Jan 2021,SSH,DNK,7W3052,3:44,UR-WRW,6:55 AM,7:15 AM,11:00 AM,Landed 10:58 AM
17 Jan 2021,KBP,SSH,7W7051,3:33,UR-WRW,1:55 AM,2:04 AM,5:55 AM,Landed 5:37 AM
16 Jan 2021,SSH,KBP,7W7658,3:48,UR-WRW,4:30 PM,6:29 PM,8:45 PM,Landed 10:17 PM
16 Jan 2021,KBP,SSH,7W7657,3:40,UR-WRW,11:30 AM,1:19 PM,3:30 PM,Landed 4:59 PM
16 Jan 2021,HRG,KBP,7W7062,3:41,UR-WRW,6:10 AM,7:54 AM,10:20 AM,Landed 11:35 AM
16 Jan 2021,KBP,HRG,7W7061,3:39,UR-WRW,12:55 AM,2:48 AM,4:55 AM,Landed 6:28 AM
15 Jan 2021,DXB,KBP,7W7772,5:28,UR-WRW,5:58 PM,12:31 PM,â€”,Landed 5:58 PM
15 Jan 2021,KBP,DXB,7W7771,4:48,UR-WRW,11:13 AM,6:25 AM,â€”,Landed 11:13 AM
14 Jan 2021,SSH,KBP,7W7052,3:53,UR-WRW,5:45 PM,5:58 PM,10:05 PM,Landed 9:51 PM
14 Jan 2021,DNK,SSH,7W3051,3:26,UR-WRW,12:55 PM,1:06 PM,4:45 PM,Landed 4:32 PM
14 Jan 2021,SSH,DNK,7W3052,3:56,UR-WRW,7:30 AM,7:37 AM,11:35 AM,Landed 11:33 AM
14 Jan 2021,KBP,SSH,7W7051,3:36,UR-WRW,2:30 AM,2:34 AM,6:30 AM,Landed 6:10 AM
13 Jan 2021,DNK,KBP,7W106,0:50,UR-WRW,5:30 AM,11:53 AM,6:55 AM,Landed 12:43 PM
11 Jan 2021,KBP,DNK,7W101,0:41,UR-WRW,8:10 AM,8:15 AM,9:30 AM,Landed 8:56 AM
10 Jan 2021,SSH,KBP,7W7052,4:03,UR-WRW,4:25 PM,5:29 PM,8:40 PM,Landed 9:31 PM
10 Jan 2021,DNK,SSH,7W3051,3:17,UR-WRW,12:20 PM,12:38 PM,4:10 PM,Landed 3:55 PM
10 Jan 2021,SSH,DNK,7W3052,3:55,UR-WRW,6:55 AM,7:05 AM,11:00 AM,Landed 11:00 AM
10 Jan 2021,KBP,SSH,7W7051,3:23,UR-WRW,1:55 AM,2:11 AM,5:55 AM,Landed 5:34 AM
08 Jan 2021,HRK,KBP,7W146,0:45,UR-WRW,5:05 AM,5:11 AM,6:25 AM,Landed 5:56 AM
07 Jan 2021,KBP,HRK,7W145,0:42,UR-WRW,4:20 PM,3:38 PM,â€”,Landed 4:20 PM
