station,valid,lon,lat,elevation,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
DNKN,2018-03-01 00:00,8.5246,12.0476,481.00,75.20,39.20,27.26,300.00,4.00,0.00,29.94,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,73.70,DNKN 010000Z 30004KT CAVOK 24/04 Q1014 NOSIG
DNKN,2018-03-01 01:00,8.5246,12.0476,481.00,73.40,28.40,18.80,340.00,6.00,0.00,29.94,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,71.32,DNKN 010100Z 34006KT CAVOK 23/M02 Q1014 NOSIG
DNKN,2018-03-01 02:00,8.5246,12.0476,481.00,71.60,39.20,30.77,0.00,0.00,0.00,29.94,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,69.91,DNKN 010200Z 00000KT CAVOK 22/04 Q1014 NOSIG
DNKN,2018-03-01 03:00,8.5246,12.0476,481.00,69.80,35.60,28.39,30.00,3.00,0.00,29.94,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,69.80,DNKN 010300Z 03003KT CAVOK 21/02 Q1014 NOSIG
DNKN,2018-03-01 04:00,8.5246,12.0476,481.00,69.80,37.40,30.49,0.00,0.00,0.00,29.97,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,69.80,DNKN 010400Z 00000KT CAVOK 21/03 Q1015 NOSIG
DNKN,2018-03-01 05:00,8.5246,12.0476,481.00,66.20,37.40,34.51,0.00,0.00,0.00,29.97,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,66.20,DNKN 010500Z 00000KT CAVOK 19/03 Q1015 NOSIG
DNKN,2018-03-01 09:00,8.5246,12.0476,481.00,87.80,28.40,11.74,50.00,8.00,0.00,30.06,M,4.97,M,NSC,M,M,M,M,M,M,M,NSW,M,M,M,M,M,M,83.84,DNKN 010900Z 05008KT 8000 NSW NSC 31/M02 Q1018 NOSIG
DNKN,2018-03-01 12:00,8.5246,12.0476,481.00,93.20,30.20,10.67,80.00,13.00,0.00,30.00,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,88.09,DNKN 011200Z 08013KT CAVOK 34/M01 Q1016 NOSIG
DNKN,2018-03-01 13:00,8.5246,12.0476,481.00,95.00,28.40,9.38,60.00,10.00,0.00,29.97,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,89.27,DNKN 011300Z 06010KT CAVOK 35/M02 Q1015 NOSIG
DNKN,2018-03-01 14:00,8.5246,12.0476,481.00,96.80,39.20,13.66,330.00,5.00,0.00,29.94,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,92.23,DNKN 011400Z 33005KT CAVOK 36/04 Q1014 NOSIG
DNKN,2018-03-01 15:00,8.5246,12.0476,481.00,95.00,37.40,13.46,20.00,5.00,0.00,29.91,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,90.46,DNKN 011500Z 02005KT CAVOK 35/03 Q1013 NOSIG
DNKN,2018-03-01 17:00,8.5246,12.0476,481.00,91.40,33.80,13.05,M,2.00,0.00,29.91,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,87.13,DNKN 011700Z VRB02KT CAVOK 33/01 Q1013 NOSIG
DNKN,2018-03-01 18:00,8.5246,12.0476,481.00,87.80,35.60,15.70,300.00,3.00,0.00,29.94,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,84.12,DNKN 011800Z 30003KT CAVOK 31/02 Q1014 NOSIG
DNKN,2018-03-01 19:00,8.5246,12.0476,481.00,84.20,37.40,18.91,M,2.00,0.00,29.94,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,81.38,DNKN 011900Z VRB02KT CAVOK 29/03 Q1014 NOSIG
DNKN,2018-03-01 20:00,8.5246,12.0476,481.00,82.40,33.80,17.38,M,2.00,0.00,29.97,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,80.03,DNKN 012000Z VRB02KT CAVOK 28/01 Q1015 NOSIG
DNKN,2018-03-01 21:00,8.5246,12.0476,481.00,77.00,35.60,22.28,270.00,4.00,0.00,30.00,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,75.45,DNKN 012100Z 27004KT CAVOK 25/02 Q1016 NOSIG
DNKN,2018-03-01 22:00,8.5246,12.0476,481.00,73.40,39.20,28.96,290.00,5.00,0.00,30.00,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,71.80,DNKN 012200Z 29005KT CAVOK 23/04 Q1016 NOSIG
DNKN,2018-03-01 23:00,8.5246,12.0476,481.00,73.40,39.20,28.96,290.00,3.00,0.00,30.00,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,71.80,DNKN 012300Z 29003KT CAVOK 23/04 Q1016 NOSIG
DNKN,2018-03-02 00:00,8.5246,12.0476,481.00,69.80,37.40,30.49,0.00,0.00,0.00,29.97,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,69.80,DNKN 020000Z 00000KT CAVOK 21/03 Q1015 NOSIG
DNKN,2018-03-02 01:00,8.5246,12.0476,481.00,69.80,37.40,30.49,0.00,0.00,0.00,29.97,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,69.80,DNKN 020100Z 00000KT CAVOK 21/03 Q1015 N0SIG
DNKN,2018-03-02 02:00,8.5246,12.0476,481.00,68.00,35.60,30.20,0.00,0.00,0.00,29.94,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,68.00,DNKN 020200Z 00000KT CAVOK 20/02 Q1014 N0SIG
DNKN,2018-03-02 03:00,8.5246,12.0476,481.00,68.00,33.80,28.11,320.00,3.00,0.00,29.94,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,68.00,DNKN 020300Z 32003KT CAVOK 20/01 Q1014 N0SIG
DNKN,2018-03-02 04:00,8.5246,12.0476,481.00,66.20,35.60,32.14,0.00,0.00,0.00,29.94,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,66.20,DNKN 020400Z 00000KT CAVOK 19/02 Q1014 N0SIG
DNKN,2018-03-02 05:00,8.5246,12.0476,481.00,66.20,33.80,29.92,0.00,0.00,0.00,29.97,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,66.20,DNKN 020500Z 00000KT CAVOK 19/01 Q1015 N0SIG
DNKN,2018-03-02 06:00,8.5246,12.0476,481.00,66.20,35.60,32.14,290.00,3.00,0.00,29.97,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,66.20,DNKN 020600Z 29003KT CAVOK 19/02 Q1015 NOSIG
DNKN,2018-03-02 08:00,8.5246,12.0476,481.00,78.80,17.60,9.98,50.00,5.00,0.00,30.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,76.85,DNKN 020800Z 05005KT 26/M08 Q1016 NOSIG
DNKN,2018-03-02 09:00,8.5246,12.0476,481.00,84.20,23.00,10.53,50.00,11.00,0.00,30.03,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,80.88,DNKN 020900Z 05011KT CAVOK 29/M05 Q1017 NOSIG
DNKN,2018-03-02 10:00,8.5246,12.0476,481.00,89.60,26.60,10.30,60.00,8.00,0.00,30.03,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,85.02,DNKN 021000Z 06008KT CAVOK 32/M03 Q1017 NOSIG
DNKN,2018-03-02 16:00,8.5246,12.0476,481.00,96.80,21.20,6.57,20.00,7.00,0.00,29.91,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,90.11,DNKN 021600Z 02007KT CAVOK 36/M06 Q1013 N0SIG
DNKN,2018-03-02 17:00,8.5246,12.0476,481.00,84.20,37.40,18.91,60.00,8.00,0.00,29.91,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,81.38,DNKN 021700Z 06008KT CAVOK 29/03 Q1013 N0SIG
DNKN,2018-03-02 18:00,8.5246,12.0476,481.00,77.00,42.80,29.51,50.00,4.00,0.00,29.94,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,75.79,DNKN 021800Z 05004KT CAVOK 25/06 Q1014 N0SIG
DNKN,2018-03-02 19:00,8.5246,12.0476,481.00,77.00,42.80,29.51,0.00,0.00,0.00,29.94,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,75.79,DNKN 021900Z 00000KT CAVOK 25/06 Q1014 N0SIG
DNKN,2018-03-02 20:00,8.5246,12.0476,481.00,77.00,41.00,27.53,10.00,3.00,0.00,29.97,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,75.69,DNKN 022000Z 01003KT CAVOK 25/05 Q1015 N0SIG
DNKN,2018-03-02 21:00,8.5246,12.0476,481.00,77.00,41.00,27.53,0.00,0.00,0.00,29.97,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,75.69,DNKN 022100Z 00000KT CAVOK 25/05 Q1015 N0SIG
DNKN,2018-03-02 22:00,8.5246,12.0476,481.00,77.00,30.20,17.94,0.00,0.00,0.00,29.97,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,75.24,DNKN 022200Z 00000KT CAVOK 25/M01 Q1015 NOSIG
DNKN,2018-03-02 23:00,8.5246,12.0476,481.00,73.40,30.20,20.23,0.00,0.00,0.00,29.97,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,71.39,DNKN 022300Z 00000KT CAVOK 23/M01 Q1015 NOSIG
