station,valid,lon,lat,elevation,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
GMMH,2018-03-01 06:00,-15.9333,23.7167,11.00,64.40,62.60,93.88,240.00,11.00,0.00,29.94,M,3.73,M,SCT,M,M,M,300.00,M,M,M,M,M,M,M,M,M,M,64.40,GMMH 010600Z 24011KT 6000 SCT003 18/17 Q1014 NOSIG
GMMH,2018-03-01 07:00,-15.9333,23.7167,11.00,64.40,62.60,93.88,240.00,10.00,0.00,29.97,M,3.73,M,SCT,M,M,M,300.00,M,M,M,M,M,M,M,M,M,M,64.40,GMMH 010700Z 24010KT 6000 SCT003 18/17 Q1015 NOSIG
GMMH,2018-03-01 08:00,-15.9333,23.7167,11.00,64.40,62.60,93.88,230.00,11.00,0.00,29.97,M,3.11,M,SCT,M,M,M,300.00,M,M,M,M,M,M,M,M,M,M,64.40,GMMH 010800Z 23011KT 5000 SCT003 18/17 Q1015 NOSIG
GMMH,2018-03-01 08:17,-15.9333,23.7167,11.00,64.40,62.60,93.88,240.00,11.00,0.00,29.97,M,1.86,M,BKN,M,M,M,300.00,M,M,M,BR,M,M,M,M,M,M,64.40,GMMH 010817Z 24011KT 3000 BR BKN003 18/17 Q1015 NOSIG
GMMH,2018-03-01 09:00,-15.9333,23.7167,11.00,64.40,62.60,93.88,240.00,12.00,0.00,29.97,M,1.86,M,BKN,M,M,M,300.00,M,M,M,BR,M,M,M,M,M,M,64.40,GMMH 010900Z 24012KT 3000 BR BKN003 18/17 Q1015 NOSIG
GMMH,2018-03-01 10:00,-15.9333,23.7167,11.00,66.20,62.60,88.18,230.00,11.00,0.00,30.00,M,1.86,M,BKN,M,M,M,300.00,M,M,M,BR,M,M,M,M,M,M,66.20,GMMH 011000Z 23011KT 3000 BR BKN003 19/17 Q1016 NOSIG
GMMH,2018-03-01 11:00,-15.9333,23.7167,11.00,68.00,62.60,82.86,250.00,16.00,0.00,30.03,M,3.11,M,BKN,M,M,M,600.00,M,M,M,M,M,M,M,M,M,M,68.00,GMMH 011100Z 25016KT 5000 BKN006 20/17 Q1017 NOSIG
GMMH,2018-03-01 12:00,-15.9333,23.7167,11.00,68.00,62.60,82.86,250.00,14.00,0.00,30.03,M,3.11,M,SCT,M,M,M,800.00,M,M,M,M,M,M,M,M,M,M,68.00,GMMH 011200Z 25014KT 5000 SCT008 20/17 Q1017 NOSIG
GMMH,2018-03-01 13:00,-15.9333,23.7167,11.00,69.80,62.60,77.90,250.00,16.00,0.00,30.00,M,3.11,M,SCT,M,M,M,800.00,M,M,M,M,M,M,M,M,M,M,69.80,GMMH 011300Z 25016KT 5000 SCT008 21/17 Q1016 NOSIG
GMMH,2018-03-01 14:00,-15.9333,23.7167,11.00,69.80,60.80,73.09,260.00,15.00,0.00,30.00,M,4.97,M,SCT,M,M,M,2000.00,M,M,M,M,M,M,M,M,M,M,69.80,GMMH 011400Z 26015KT 8000 SCT020 21/16 Q1016 NOSIG
GMMH,2018-03-01 15:00,-15.9333,23.7167,11.00,69.80,62.60,77.90,260.00,14.00,0.00,29.97,M,4.97,M,SCT,M,M,M,2000.00,M,M,M,M,M,M,M,M,M,M,69.80,GMMH 011500Z 26014KT 8000 SCT020 21/17 Q1015 NOSIG
GMMH,2018-03-01 16:00,-15.9333,23.7167,11.00,69.80,62.60,77.90,250.00,14.00,0.00,29.97,M,4.97,M,SCT,M,M,M,2000.00,M,M,M,M,M,M,M,M,M,M,69.80,GMMH 011600Z 25014KT 8000 SCT020 21/17 Q1015 NOSIG
GMMH,2018-03-01 17:00,-15.9333,23.7167,11.00,68.00,62.60,82.86,260.00,12.00,0.00,29.97,M,4.97,M,SCT,M,M,M,2600.00,M,M,M,M,M,M,M,M,M,M,68.00,GMMH 011700Z 26012KT 8000 SCT026 20/17 Q1015 NOSIG
GMMH,2018-03-01 18:00,-15.9333,23.7167,11.00,68.00,62.60,82.86,260.00,10.00,0.00,29.97,M,4.97,M,SCT,M,M,M,2600.00,M,M,M,M,M,M,M,M,M,M,68.00,GMMH 011800Z 26010KT 8000 SCT026 20/17 Q1015 NOSIG
GMMH,2018-03-01 19:00,-15.9333,23.7167,11.00,66.20,62.60,88.18,250.00,8.00,0.00,29.97,M,4.97,M,SCT,M,M,M,2600.00,M,M,M,M,M,M,M,M,M,M,66.20,GMMH 011900Z 25008KT 8000 SCT026 19/17 Q1015 NOSIG
GMMH,2018-03-01 20:00,-15.9333,23.7167,11.00,66.20,62.60,88.18,250.00,8.00,0.00,29.97,M,4.97,M,SCT,M,M,M,2600.00,M,M,M,M,M,M,M,M,M,M,66.20,GMMH 012000Z 25008KT 8000 SCT026 19/17 Q1015 NOSIG
