station,valid,lon,lat,elevation,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
HEMA,2018-03-01 07:00,34.5837,25.5571,77.00,73.40,41.00,31.05,320.00,18.00,0.00,29.97,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,71.90,HEMA 010700Z 32018KT CAVOK 23/05 Q1015 NOSIG
HEMA,2018-03-01 08:00,34.5837,25.5571,77.00,75.20,42.80,31.34,330.00,20.00,0.00,29.97,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,73.89,HEMA 010800Z 33020KT CAVOK 24/06 Q1015 NOSIG
HEMA,2018-03-01 11:00,34.5837,25.5571,77.00,77.00,44.60,31.62,340.00,20.00,0.00,29.94,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,75.89,HEMA 011100Z 34020KT CAVOK 25/07 Q1014 NOSIG
HEMA,2018-03-01 13:00,34.5837,25.5571,77.00,78.80,46.40,31.90,340.00,18.00,0.00,29.88,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,78.80,HEMA 011300Z 34018KT CAVOK 26/08 Q1012 NOSIG
HEMA,2018-03-01 14:00,34.5837,25.5571,77.00,77.00,50.00,38.74,350.00,16.00,0.00,29.88,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,77.00,HEMA 011400Z 35016KT CAVOK 25/10 Q1012 NOSIG
HEMA,2018-03-01 15:00,34.5837,25.5571,77.00,77.00,50.00,38.74,340.00,16.00,0.00,29.91,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,77.00,HEMA 011500Z 34016KT CAVOK 25/10 Q1013 NOSIG
HEMA,2018-03-01 16:00,34.5837,25.5571,77.00,73.40,44.60,35.66,320.00,13.00,0.00,29.91,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,72.12,HEMA 011600Z 32013KT CAVOK 23/07 Q1013 NOSIG
HEMA,2018-03-01 17:00,34.5837,25.5571,77.00,69.80,46.40,43.13,330.00,3.00,0.00,29.91,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,69.80,HEMA 011700Z 33003KT CAVOK 21/08 Q1013 NOSIG
HEMA,2018-03-01 18:00,34.5837,25.5571,77.00,66.20,30.20,25.88,290.00,7.00,0.00,29.91,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,66.20,HEMA 011800Z 29007KT CAVOK 19/M01 Q1013 NOSIG
HEMA,2018-03-01 19:00,34.5837,25.5571,77.00,69.80,26.60,19.72,300.00,11.00,0.00,29.94,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,69.80,HEMA 011900Z 30011KT CAVOK 21/M03 Q1014 NOSIG
HEMA,2018-03-01 20:00,34.5837,25.5571,77.00,69.80,28.40,21.24,300.00,11.00,0.00,29.94,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,69.80,HEMA 012000Z 30011KT CAVOK 21/M02 Q1014 NOSIG
HEMA,2018-03-01 22:00,34.5837,25.5571,77.00,69.80,30.20,22.86,300.00,9.00,0.00,29.94,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,69.80,HEMA 012200Z 30009KT CAVOK 21/M01 Q1014 NOSIG
HEMA,2018-03-01 23:00,34.5837,25.5571,77.00,68.00,28.40,22.59,310.00,8.00,0.00,29.94,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,68.00,HEMA 012300Z 31008KT CAVOK 20/M02 Q1014 NOSIG
HEMA,2018-03-02 00:00,34.5837,25.5571,77.00,68.00,33.80,28.11,310.00,11.00,0.00,29.91,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,68.00,HEMA 020000Z 31011KT CAVOK 20/01 Q1013 NOSIG
HEMA,2018-03-02 01:00,34.5837,25.5571,77.00,68.00,33.80,28.11,310.00,10.00,0.00,29.91,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,68.00,HEMA 020100Z 31010KT CAVOK 20/01 Q1013 NOSIG
HEMA,2018-03-02 02:00,34.5837,25.5571,77.00,68.00,35.60,30.20,300.00,9.00,0.00,29.91,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,68.00,HEMA 020200Z 30009KT CAVOK 20/02 Q1013 NOSIG
HEMA,2018-03-02 03:00,34.5837,25.5571,77.00,68.00,35.60,30.20,300.00,11.00,0.00,29.94,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,68.00,HEMA 020300Z 30011KT CAVOK 20/02 Q1014 NOSIG
HEMA,2018-03-02 04:00,34.5837,25.5571,77.00,69.80,35.60,28.39,310.00,10.00,0.00,29.94,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,69.80,HEMA 020400Z 31010KT CAVOK 21/02 Q1014 NOSIG
HEMA,2018-03-02 05:00,34.5837,25.5571,77.00,69.80,37.40,30.49,300.00,10.00,0.00,29.94,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,69.80,HEMA 020500Z 30010KT CAVOK 21/03 Q1014 NOSIG
HEMA,2018-03-02 06:00,34.5837,25.5571,77.00,73.40,48.20,40.85,310.00,10.00,0.00,29.97,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,72.36,HEMA 020600Z 31010KT CAVOK 23/09 Q1015 NOSIG
HEMA,2018-03-02 07:00,34.5837,25.5571,77.00,77.00,44.60,31.62,320.00,11.00,0.00,29.97,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,75.89,HEMA 020700Z 32011KT CAVOK 25/07 Q1015 NOSIG
HEMA,2018-03-02 08:00,34.5837,25.5571,77.00,80.60,42.80,26.22,360.00,12.00,0.00,29.97,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,79.30,HEMA 020800Z 36012KT CAVOK 27/06 Q1015 NOSIG
HEMA,2018-03-02 09:00,34.5837,25.5571,77.00,78.80,42.80,27.81,10.00,12.00,0.00,29.97,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,77.69,HEMA 020900Z 01012KT CAVOK 26/06 Q1015 NOSIG
