station,valid,lon,lat,elevation,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
HESN,2018-03-01 04:00,32.8200,23.9644,194.00,53.60,28.40,37.67,50.00,2.00,0.00,29.97,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,53.60,HESN 010400Z 05002KT CAVOK 12/M02 Q1015 NOSIG
HESN,2018-03-01 06:00,32.8200,23.9644,194.00,60.80,28.40,29.06,20.00,5.00,0.00,30.00,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,60.80,HESN 010600Z 02005KT CAVOK 16/M02 Q1016 NOSIG
HESN,2018-03-01 07:00,32.8200,23.9644,194.00,64.40,30.20,27.55,20.00,7.00,0.00,30.03,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,64.40,HESN 010700Z 02007KT CAVOK 18/M01 Q1017 NOSIG
HESN,2018-03-01 08:00,32.8200,23.9644,194.00,69.80,28.40,21.24,20.00,9.00,0.00,30.03,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,69.80,HESN 010800Z 02009KT CAVOK 21/M02 Q1017 NOSIG
HESN,2018-03-01 09:00,32.8200,23.9644,194.00,73.40,28.40,18.80,20.00,8.00,0.00,30.00,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,71.32,HESN 010900Z 02008KT CAVOK 23/M02 Q1016 NOSIG
HESN,2018-03-01 10:00,32.8200,23.9644,194.00,77.00,28.40,16.67,40.00,9.00,0.00,29.97,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,75.18,HESN 011000Z 04009KT CAVOK 25/M02 Q1015 NOSIG
HESN,2018-03-01 11:00,32.8200,23.9644,194.00,77.00,28.40,16.67,40.00,9.00,0.00,29.97,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,75.18,HESN 011100Z 04009KT CAVOK 25/M02 Q1015 NOSIG
HESN,2018-03-01 12:00,32.8200,23.9644,194.00,80.60,23.00,11.83,360.00,8.00,0.00,29.91,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,78.80,HESN 011200Z 36008KT CAVOK 27/M05 Q1013 NOSIG
HESN,2018-03-01 13:00,32.8200,23.9644,194.00,82.40,26.60,12.97,360.00,8.00,0.00,29.91,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,79.92,HESN 011300Z 36008KT CAVOK 28/M03 Q1013 NOSIG
HESN,2018-03-01 14:00,32.8200,23.9644,194.00,82.40,26.60,12.97,360.00,9.00,0.00,29.91,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,79.92,HESN 011400Z 36009KT CAVOK 28/M03 Q1013 NOSIG
HESN,2018-03-01 15:00,32.8200,23.9644,194.00,82.40,24.80,12.03,10.00,8.00,0.00,29.91,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,79.79,HESN 011500Z 01008KT CAVOK 28/M04 Q1013 NOSIG
HESN,2018-03-01 16:00,32.8200,23.9644,194.00,80.60,21.20,10.97,360.00,5.00,0.00,29.91,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,78.68,HESN 011600Z 36005KT CAVOK 27/M06 Q1013 NOSIG
HESN,2018-03-01 17:00,32.8200,23.9644,194.00,78.80,21.20,11.64,350.00,6.00,0.00,29.91,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,76.93,HESN 011700Z 35006KT CAVOK 26/M06 Q1013 NOSIG
HESN,2018-03-01 18:00,32.8200,23.9644,194.00,75.20,24.80,15.25,330.00,5.00,0.00,29.94,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,73.14,HESN 011800Z 33005KT CAVOK 24/M04 Q1014 NOSIG
HESN,2018-03-01 19:00,32.8200,23.9644,194.00,73.40,28.40,18.80,330.00,7.00,0.00,29.94,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,71.32,HESN 011900Z 33007KT CAVOK 23/M02 Q1014 NOSIG
HESN,2018-03-01 20:00,32.8200,23.9644,194.00,71.60,28.40,19.98,340.00,5.00,0.00,29.94,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,69.40,HESN 012000Z 34005KT CAVOK 22/M02 Q1014 NOSIG
HESN,2018-03-01 22:00,32.8200,23.9644,194.00,68.00,28.40,22.59,20.00,6.00,0.00,29.97,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,68.00,HESN 012200Z 02006KT CAVOK 20/M02 Q1015 NOSIG
HESN,2018-03-01 23:00,32.8200,23.9644,194.00,68.00,28.40,22.59,360.00,5.00,0.00,29.94,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,68.00,HESN 012300Z 36005KT CAVOK 20/M02 Q1014 NOSIG
HESN,2018-03-02 00:00,32.8200,23.9644,194.00,66.20,28.40,24.04,330.00,6.00,0.00,29.94,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,66.20,HESN 020000Z 33006KT CAVOK 19/M02 Q1014 NOSIG
HESN,2018-03-02 01:00,32.8200,23.9644,194.00,66.20,30.20,25.88,350.00,5.00,0.00,29.94,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,66.20,HESN 020100Z 35005KT CAVOK 19/M01 Q1014 NOSIG
HESN,2018-03-02 02:00,32.8200,23.9644,194.00,64.40,30.20,27.55,350.00,5.00,0.00,29.94,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,64.40,HESN 020200Z 35005KT CAVOK 18/M01 Q1014 NOSIG
HESN,2018-03-02 03:00,32.8200,23.9644,194.00,62.60,32.00,31.56,20.00,6.00,0.00,29.94,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,62.60,HESN 020300Z 02006KT CAVOK 17/M00 Q1014 NOSIG
HESN,2018-03-02 04:00,32.8200,23.9644,194.00,60.80,32.00,33.64,10.00,5.00,0.00,29.97,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,60.80,HESN 020400Z 01005KT CAVOK 16/M00 Q1015 NOSIG
HESN,2018-03-02 05:00,32.8200,23.9644,194.00,62.60,33.80,33.93,30.00,5.00,0.00,29.97,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,62.60,HESN 020500Z 03005KT CAVOK 17/01 Q1015 NOSIG
HESN,2018-03-02 06:00,32.8200,23.9644,194.00,66.20,35.60,32.14,20.00,3.00,0.00,30.00,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,66.20,HESN 020600Z 02003KT CAVOK 19/02 Q1016 NOSIG
HESN,2018-03-02 07:00,32.8200,23.9644,194.00,71.60,33.80,24.86,20.00,5.00,0.00,30.00,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,69.63,HESN 020700Z 02005KT CAVOK 22/01 Q1016 NOSIG
HESN,2018-03-02 08:00,32.8200,23.9644,194.00,77.00,33.80,20.74,30.00,7.00,0.00,30.00,M,4.97,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,75.37,HESN 020800Z 03007KT 8000 NSC 25/01 Q1016 NOSIG
