station,valid,lon,lat,elevation,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
HSSK,2021-03-20 12:00,32.5530,15.5890,390.08,104.00,32.00,8.27,30.00,14.00,0.00,29.71,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,97.28,HSSK 201200Z 03014KT CAVOK 40/00 Q1006 NOSIG
HSSK,2021-03-21 07:30,32.5530,15.5890,390.08,95.00,33.80,11.67,30.00,17.00,0.00,29.77,M,1.24,M,M,M,M,M,M,M,M,M,BLSA,M,M,M,M,M,M,89.97,HSSK 210730Z 03017KT 2000M BLSA 35/01 Q1008 TEMPO 0800M DS
HSSK,2021-03-21 08:00,32.5530,15.5890,390.08,96.80,35.60,11.86,70.00,14.00,0.00,29.77,M,1.24,M,M,M,M,M,M,M,M,M,BLSA,M,M,M,M,M,M,91.72,HSSK 210800Z 07014KT 2000M BLSA 36/02 Q1008 TEMPO 0800M DS
HSSK,2021-03-21 08:30,32.5530,15.5890,390.08,98.60,32.00,9.72,60.00,15.00,0.00,29.77,M,0.62,M,M,M,M,M,M,M,M,M,BLSA,M,M,M,M,M,M,92.69,HSSK 210830Z 06015KT 1000M BLSA 37/00 Q1008 TEMPO 0800M DS
HSSK,2021-03-21 09:00,32.5530,15.5890,390.08,100.40,37.40,11.41,50.00,16.00,0.00,29.74,M,0.62,M,M,M,M,M,M,M,M,M,DS,M,M,M,M,M,M,95.08,HSSK 210900Z 05016KT 1000M DS 38/03 Q1007 NOSIG
HSSK,2021-03-21 09:30,32.5530,15.5890,390.08,102.20,24.80,6.49,70.00,10.00,0.00,29.74,M,0.62,M,M,M,M,M,M,M,M,M,DS,M,M,M,M,M,M,94.91,HSSK 210930Z 07010KT 1000M DS 39/M04 Q1007 NOSIG
HSSK,2021-03-21 10:30,32.5530,15.5890,390.08,102.20,24.80,6.49,90.00,12.00,0.00,29.74,M,3.73,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,94.91,HSSK 211030Z 09012KT 6000 39/M04 Q1007 NOSIG
HSSK,2021-03-21 11:00,32.5530,15.5890,390.08,105.80,28.40,6.77,30.00,16.00,0.00,29.68,M,3.73,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,98.33,HSSK 211100Z 03016KT 6000 41/M02 Q1005 NOSIG
HSSK,2021-03-21 12:00,32.5530,15.5890,390.08,107.60,28.40,6.42,80.00,11.00,0.00,29.65,M,4.97,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,99.86,HSSK 211200Z 08011KT 8000 42/M02 Q1004 NOSIG
HSSK,2021-03-21 12:30,32.5530,15.5890,390.08,107.60,28.40,6.42,70.00,11.00,0.00,29.62,M,3.73,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,99.86,HSSK 211230Z 07011KT 6000 42/M02 Q1003 NOSIG
HSSK,2021-03-21 13:00,32.5530,15.5890,390.08,107.60,24.80,5.53,70.00,13.00,0.00,29.62,M,3.73,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,99.43,HSSK 211300Z 07013KT 6000 42/M04 Q1003 NOSIG
HSSK,2021-03-21 13:20,32.5530,15.5890,390.08,107.60,24.80,5.53,100.00,15.00,0.00,29.62,M,1.86,M,M,M,M,M,M,M,M,M,BLSA,M,M,M,M,M,M,99.43,HSSK 211320Z 10015KT 3000 BLSA 42/M04 Q1003 NOSIG
HSSK,2021-03-21 13:30,32.5530,15.5890,390.08,107.60,26.60,5.96,70.00,14.00,0.00,29.62,M,1.86,M,M,M,M,M,M,M,M,M,BLSA,M,M,M,M,M,M,99.63,HSSK 211330Z 07014KT 3000 BLSA 42/M03 Q1003 NOSIG
HSSK,2021-03-21 14:00,32.5530,15.5890,390.08,107.60,23.00,5.13,60.00,8.00,0.00,29.62,M,1.86,M,M,M,M,M,M,M,M,M,BLSA,M,M,M,M,M,M,99.25,HSSK 211400Z 06008KT 3000 BLSA 42/M05 Q1003 NOSIG
HSSK,2021-03-21 14:30,32.5530,15.5890,390.08,107.60,26.60,5.96,50.00,10.00,0.00,29.62,M,2.49,M,M,M,M,M,M,M,M,M,HZ,M,M,M,M,M,M,99.63,HSSK 211430Z 05010KT 4000 HZ 42/M03 Q1003 NOSIG
HSSK,2021-03-21 15:00,32.5530,15.5890,390.08,105.80,23.00,5.41,60.00,10.00,0.00,29.62,M,2.49,M,M,M,M,M,M,M,M,M,HZ,M,M,M,M,M,M,97.75,HSSK 211500Z 06010KT 4000 HZ 41/M05 Q1003 NOSIG
