station,valid,lon,lat,elevation,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
UMBB,2018-03-01 02:00,23.6858,52.1167,143.00,6.80,3.20,84.80,60.00,5.83,0.00,30.24,M,2.86,M,OVC,M,M,M,2200.00,M,M,M,-SN BR,M,M,M,M,M,M,-4.62,UMBB 010200Z 06003MPS 4600 -SN BR OVC022 M14/M16 Q1024 NOSIG
UMBB,2018-03-01 03:00,23.6858,52.1167,143.00,6.80,3.20,84.80,60.00,5.83,0.00,30.24,M,3.11,M,OVC,M,M,M,1600.00,M,M,M,BR,M,M,M,M,M,M,-4.62,UMBB 010300Z 06003MPS 5000 BR OVC016 M14/M16 Q1024 NOSIG
UMBB,2018-03-01 04:00,23.6858,52.1167,143.00,-0.40,-2.20,91.85,30.00,3.89,0.00,30.21,M,3.73,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-10.21,UMBB 010400Z 03002MPS 6000 NSC M18/M19 Q1023 NOSIG
UMBB,2018-03-01 05:00,23.6858,52.1167,143.00,-0.40,-2.20,91.85,10.00,3.89,0.00,30.21,M,3.73,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-10.21,UMBB 010500Z 01002MPS 6000 NSC M18/M19 Q1023 NOSIG
UMBB,2018-03-01 05:30,23.6858,52.1167,143.00,-0.40,-2.20,91.85,0.00,0.00,0.00,30.21,M,3.73,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-0.40,UMBB 010530Z 00000MPS 6000 NSC M18/M19 Q1023 NOSIG
UMBB,2018-03-01 06:00,23.6858,52.1167,143.00,-0.40,-2.20,91.85,350.00,1.94,0.00,30.18,M,3.73,M,BKN,M,M,M,1300.00,M,M,M,M,M,M,M,M,M,M,-0.40,UMBB 010600Z 35001MPS 6000 BKN013 M18/M19 Q1022 R11/491018 NOSIG
UMBB,2018-03-01 06:30,23.6858,52.1167,143.00,-0.40,-2.20,91.85,290.00,1.94,0.00,30.18,M,3.73,M,BKN,M,M,M,1200.00,M,M,M,M,M,M,M,M,M,M,-0.40,UMBB 010630Z 29001MPS 6000 BKN012 M18/M19 Q1022 R11/491018 NOSIG
UMBB,2018-03-01 07:00,23.6858,52.1167,143.00,3.20,-0.40,84.56,320.00,1.94,0.00,30.18,M,3.73,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,3.20,UMBB 010700Z 32001MPS 6000 NSC M16/M18 Q1022 R11/491018 NOSIG
UMBB,2018-03-01 07:30,23.6858,52.1167,143.00,3.20,-0.40,84.56,350.00,5.83,0.00,30.15,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-8.94,UMBB 010730Z 35003MPS CAVOK M16/M18 Q1021 R11/491018 NOSIG
UMBB,2018-03-01 08:00,23.6858,52.1167,143.00,5.00,1.40,84.68,20.00,5.83,0.00,30.15,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-6.78,UMBB 010800Z 02003MPS CAVOK M15/M17 Q1021 R11/491018 NOSIG
UMBB,2018-03-01 08:30,23.6858,52.1167,143.00,5.00,1.40,84.68,340.00,3.89,0.00,30.15,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-3.91,UMBB 010830Z 34002MPS CAVOK M15/M17 Q1021 R11/491018 NOSIG
UMBB,2018-03-01 09:00,23.6858,52.1167,143.00,6.80,3.20,84.80,300.00,3.89,0.00,30.15,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-1.82,UMBB 010900Z 30002MPS CAVOK M14/M16 Q1021 R11/491018 NOSIG
UMBB,2018-03-01 09:30,23.6858,52.1167,143.00,6.80,3.20,84.80,310.00,5.83,0.00,30.15,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-4.62,UMBB 010930Z 31003MPS CAVOK M14/M16 Q1021 R11/491018 NOSIG
UMBB,2018-03-01 10:00,23.6858,52.1167,143.00,8.60,5.00,84.93,300.00,7.78,0.00,30.12,M,6.21,M,SCT,BKN,M,M,1300.00,10000.00,M,M,M,M,M,M,M,M,M,-4.50,UMBB 011000Z 30004MPS 9999 SCT013 BKN100 M13/M15 Q1020 R11/491018 NOSIG
UMBB,2018-03-01 10:30,23.6858,52.1167,143.00,8.60,5.00,84.93,320.00,7.78,0.00,30.12,M,6.21,M,SCT,BKN,M,M,1300.00,10000.00,M,M,M,M,M,M,M,M,M,-4.50,UMBB 011030Z 32004MPS 9999 SCT013 BKN100 M13/M15 Q1020 R11/491018 NOSIG
UMBB,2018-03-01 11:00,23.6858,52.1167,143.00,8.60,5.00,84.93,300.00,7.78,0.00,30.09,M,2.86,13.61,OVC,M,M,M,1600.00,M,M,M,-SN,M,M,M,M,M,M,-4.50,UMBB 011100Z 30004G07MPS 4600 -SN OVC016 M13/M15 Q1019 R11/491018 NOSIG
UMBB,2018-03-01 11:30,23.6858,52.1167,143.00,8.60,5.00,84.93,330.00,9.72,0.00,30.09,M,1.93,15.55,OVC,M,M,M,2700.00,M,M,M,-SN,M,M,M,M,M,M,-6.16,UMBB 011130Z 33005G08MPS 3100 -SN OVC027 M13/M15 Q1019 R29/491018 NOSIG
UMBB,2018-03-01 12:00,23.6858,52.1167,143.00,10.40,6.80,85.05,330.00,7.78,0.00,30.09,M,1.49,13.61,OVC,M,M,M,3100.00,M,M,M,-SN,M,M,M,M,M,M,-2.29,UMBB 011200Z 33004G07MPS 2400 -SN OVC031 M12/M14 Q1019 R29/491018 NOSIG
UMBB,2018-03-01 12:05,23.6858,52.1167,143.00,10.40,6.80,85.05,320.00,9.72,0.00,30.09,M,2.24,15.55,OVC,M,M,M,3100.00,M,M,M,-SN,M,M,M,M,M,M,-3.91,UMBB 011205Z 32005G08MPS 3600 -SN OVC031 M12/M14 Q1019 R29/491018 NOSIG
UMBB,2018-03-01 12:30,23.6858,52.1167,143.00,10.40,6.80,85.05,340.00,7.78,0.00,30.06,M,3.73,13.61,OVC,M,M,M,3600.00,M,M,M,-SN,M,M,M,M,M,M,-2.29,UMBB 011230Z 34004G07MPS 6000 -SN OVC036 M12/M14 Q1018 R29/491018 NOSIG
UMBB,2018-03-01 13:00,23.6858,52.1167,143.00,10.40,6.80,85.05,330.00,7.78,0.00,30.06,M,3.73,M,OVC,M,M,M,4000.00,M,M,M,-SN,M,M,M,M,M,M,-2.29,UMBB 011300Z 33004MPS 6000 -SN OVC040 M12/M14 Q1018 R29/491018 NOSIG
UMBB,2018-03-01 13:30,23.6858,52.1167,143.00,10.40,6.80,85.05,310.00,7.78,0.00,30.06,M,3.73,M,SCT,SCT,M,M,4000.00,10000.00,M,M,M,M,M,M,M,M,M,-2.29,UMBB 011330Z 31004MPS 6000 SCT040 SCT100 M12/M14 Q1018 R29/491018 NOSIG
UMBB,2018-03-02 02:00,23.6858,52.1167,143.00,1.40,-0.40,91.92,0.00,0.00,0.00,29.91,M,3.73,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,1.40,UMBB 020200Z 00000MPS 6000 NSC M17/M18 Q1013 NOSIG
UMBB,2018-03-02 03:00,23.6858,52.1167,143.00,1.40,-0.40,91.92,0.00,0.00,0.00,29.91,M,3.73,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,1.40,UMBB 020300Z 00000MPS 6000 NSC M17/M18 Q1013 NOSIG
UMBB,2018-03-02 04:00,23.6858,52.1167,143.00,-0.40,-2.20,91.85,0.00,0.00,0.00,29.91,M,3.73,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-0.40,UMBB 020400Z 00000MPS 6000 NSC M18/M19 Q1013 NOSIG
UMBB,2018-03-02 05:00,23.6858,52.1167,143.00,-5.80,-7.60,91.64,70.00,1.94,0.00,29.88,M,3.73,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-5.80,UMBB 020500Z 07001MPS 6000 NSC M21/M22 Q1012 NOSIG
UMBB,2018-03-02 05:30,23.6858,52.1167,143.00,-5.80,-7.60,91.64,0.00,0.00,0.00,29.88,M,3.73,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-5.80,UMBB 020530Z 00000MPS 6000 NSC M21/M22 Q1012 NOSIG
UMBB,2018-03-02 06:00,23.6858,52.1167,143.00,-4.00,-7.60,84.04,0.00,0.00,0.00,29.85,M,3.73,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-4.00,UMBB 020600Z 00000MPS 6000 NSC M20/M22 Q1011 R11/491018 NOSIG
