station,valid,lon,lat,elevation,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
VCRI,2018-03-01 00:10,81.1241,6.2845,49.08,73.40,73.40,100.00,50.00,3.00,0.00,29.80,M,6.21,M,SCT,M,M,M,8000.00,M,M,M,M,M,M,M,M,M,M,75.14,VCRI 010010Z 05003KT 9999 SCT080 23/23 Q1009 NOSIG
VCRI,2018-03-01 01:10,81.1241,6.2845,49.08,73.40,73.40,100.00,40.00,3.00,0.00,29.83,M,6.21,M,FEW,FEW,M,M,1800.00,2000.00,M,M,M,M,M,M,M,M,M,75.14,VCRI 010110Z 04003KT 9999 FEW018 FEW020CB 23/23 Q1010 NOSIG ESE
VCRI,2018-03-01 02:10,81.1241,6.2845,49.08,78.80,73.40,83.55,40.00,5.00,0.00,29.85,M,6.21,M,FEW,SCT,M,M,1800.00,8000.00,M,M,M,M,M,M,M,M,M,82.03,VCRI 010210Z 04005KT 9999 FEW018 SCT080 26/23 Q1011 NOSIG
VCRI,2018-03-01 04:10,81.1241,6.2845,49.08,86.00,75.20,70.27,60.00,11.00,0.00,29.85,M,6.21,M,FEW,SCT,M,M,1800.00,8000.00,M,M,M,M,M,M,M,M,M,95.19,VCRI 010410Z 06011KT 020V110 9999 FEW018 SCT080 30/24 Q1011 NOSIG
VCRI,2018-03-01 05:10,81.1241,6.2845,49.08,86.00,75.20,70.27,40.00,11.00,0.00,29.85,M,6.21,M,FEW,FEW,M,M,1800.00,8000.00,M,M,M,M,M,M,M,M,M,95.19,VCRI 010510Z 04011KT 9999 FEW018 FEW080 30/24 Q1011 NOSIG
VCRI,2018-03-01 06:10,81.1241,6.2845,49.08,87.80,75.20,66.35,50.00,9.00,0.00,29.83,M,6.21,M,FEW,FEW,M,M,1800.00,8000.00,M,M,M,M,M,M,M,M,M,97.76,VCRI 010610Z 05009KT 020V080 9999 FEW018 FEW080 31/24 Q1010 NOSIG
VCRI,2018-03-01 08:10,81.1241,6.2845,49.08,89.60,75.20,62.68,60.00,9.00,0.00,29.74,M,6.21,M,SCT,M,M,M,1700.00,M,M,M,M,M,M,M,M,M,M,100.23,VCRI 010810Z 06009KT 030V110 9999 SCT017 32/24 Q1007 NOSIG
VCRI,2018-03-01 09:10,81.1241,6.2845,49.08,89.60,73.40,59.01,70.00,10.00,0.00,29.74,M,6.21,M,FEW,SCT,M,M,1800.00,8000.00,M,M,M,M,M,M,M,M,M,98.20,VCRI 010910Z 07010KT 040V110 9999 FEW018 SCT080 32/23 Q1007 NOSIG
VCRI,2018-03-01 10:10,81.1241,6.2845,49.08,89.60,73.40,59.01,80.00,10.00,0.00,29.71,M,6.21,M,FEW,M,M,M,2000.00,M,M,M,M,M,M,M,M,M,M,98.20,VCRI 011010Z 08010KT 050V110 9999 FEW020CB 32/23 Q1006 NOSIG W
VCRI,2018-03-01 11:10,81.1241,6.2845,49.08,87.80,73.40,62.47,80.00,10.00,0.00,29.71,M,6.21,M,FEW,FEW,M,M,1800.00,2000.00,M,M,M,M,M,M,M,M,M,95.86,VCRI 011110Z 08010KT 040V110 9999 FEW018 FEW020CB 31/23 Q1006 NOSIG NW
VCRI,2018-03-01 13:10,81.1241,6.2845,49.08,82.40,71.60,69.90,70.00,4.00,0.00,29.77,M,6.21,M,FEW,FEW,M,M,1800.00,2000.00,M,M,M,M,M,M,M,M,M,87.18,VCRI 011310Z 07004KT 9999 FEW018 FEW020CB 28/22 Q1008 NOSIG NNE W
VCRI,2018-03-01 14:10,81.1241,6.2845,49.08,80.60,75.20,83.66,70.00,8.00,0.00,29.80,M,6.21,M,FEW,FEW,M,M,1800.00,2000.00,M,M,M,M,M,M,M,M,M,86.17,VCRI 011410Z 07008KT 9999 FEW018 FEW020CB 27/24 Q1009 NOSIG W
VCRI,2018-03-01 18:10,81.1241,6.2845,49.08,77.00,75.20,94.19,60.00,5.00,0.00,29.83,M,6.21,M,FEW,M,M,M,1800.00,M,M,M,M,M,M,M,M,M,M,78.83,VCRI 011810Z 06005KT 9999 FEW018 25/24 Q1010 NOSIG
VCRI,2018-03-02 01:10,81.1241,6.2845,49.08,75.20,73.40,94.14,60.00,3.00,0.00,29.80,M,6.21,M,FEW,M,M,M,8000.00,M,M,M,M,M,M,M,M,M,M,76.84,VCRI 020110Z 06003KT 9999 FEW080 24/23 Q1009 NOSIG
VCRI,2018-03-02 02:10,81.1241,6.2845,49.08,78.80,75.20,88.75,50.00,8.00,0.00,29.83,M,6.21,M,FEW,M,M,M,1800.00,M,M,M,M,M,M,M,M,M,M,82.38,VCRI 020210Z 05008KT 9999 FEW018 26/24 Q1010 NOSIG
VCRI,2018-03-02 03:10,81.1241,6.2845,49.08,82.40,75.20,78.90,50.00,13.00,0.00,29.85,M,6.21,M,FEW,M,M,M,1800.00,M,M,M,M,M,M,M,M,M,M,89.48,VCRI 020310Z 05013KT 9999 FEW018 28/24 Q1011 NOSIG
VCRI,2018-03-02 04:10,81.1241,6.2845,49.08,86.00,73.40,66.15,40.00,12.00,0.00,29.85,M,6.21,M,FEW,M,M,M,1800.00,M,M,M,M,M,M,M,M,M,M,93.45,VCRI 020410Z 04012KT 9999 FEW018 30/23 Q1011 NOSIG
VCRI,2018-03-02 05:10,81.1241,6.2845,49.08,87.80,75.20,66.35,50.00,13.00,0.00,29.85,M,6.21,M,FEW,M,M,M,1800.00,M,M,M,M,M,M,M,M,M,M,97.76,VCRI 020510Z 05013KT 020V080 9999 FEW018 31/24 Q1011 NOSIG
VCRI,2018-03-02 06:10,81.1241,6.2845,49.08,87.80,75.20,66.35,50.00,13.00,0.00,29.83,M,6.21,M,FEW,M,M,M,1800.00,M,M,M,M,M,M,M,M,M,M,97.76,VCRI 020610Z 05013KT 9999 FEW018 31/24 Q1010 NOSIG
VCRI,2018-03-02 07:10,81.1241,6.2845,49.08,89.60,75.20,62.68,60.00,12.00,0.00,29.80,M,6.21,M,SCT,M,M,M,1800.00,M,M,M,M,M,M,M,M,M,M,100.23,VCRI 020710Z 06012KT 030V110 9999 SCT018 32/24 Q1009 NOSIG NE
VCRI,2018-03-02 08:10,81.1241,6.2845,49.08,91.40,75.20,59.24,80.00,10.00,0.00,29.77,M,6.21,M,SCT,FEW,M,M,1800.00,1900.00,M,M,M,M,M,M,M,M,M,102.65,VCRI 020810Z 08010KT 040V140 9999 SCT018 FEW019TCB 33/24 Q1008 NOSIG NE
VCRI,2018-03-02 09:10,81.1241,6.2845,49.08,91.40,75.20,59.24,80.00,11.00,0.00,29.74,M,6.21,M,FEW,FEW,M,M,1800.00,1900.00,M,M,M,M,M,M,M,M,M,102.65,VCRI 020910Z 08011KT 050V120 9999 FEW018 FEW019TCB 33/24 Q1007 NOSIG NE
VCRI,2018-03-02 10:10,81.1241,6.2845,49.08,87.80,75.20,66.35,60.00,13.00,0.00,29.71,M,6.21,M,FEW,FEW,M,M,1800.00,1900.00,M,M,M,M,M,M,M,M,M,97.76,VCRI 021010Z 06013KT 9999 FEW018 FEW019CB 31/24 Q1006 NOSIG NE NW
VCRI,2018-03-02 11:10,81.1241,6.2845,49.08,87.80,73.40,62.47,60.00,11.00,0.00,29.71,M,6.21,M,FEW,FEW,M,M,1800.00,1900.00,M,M,M,M,M,M,M,M,M,95.86,VCRI 021110Z 06011KT 9999 FEW018 FEW019CB 31/23 Q1006 NOSIG NE NW
VCRI,2018-03-02 12:10,81.1241,6.2845,49.08,84.20,75.20,74.44,70.00,6.00,0.00,29.74,M,6.21,M,FEW,FEW,SCT,M,1800.00,1900.00,8000.00,M,M,M,M,M,M,M,M,92.45,VCRI 021210Z 07006KT 9999 FEW018 FEW019CB SCT080 29/24 Q1007 NOSIG W
VCRI,2018-03-02 13:10,81.1241,6.2845,49.08,82.40,75.20,78.90,90.00,3.00,0.00,29.77,M,6.21,M,FEW,FEW,SCT,M,1800.00,1900.00,8000.00,M,VCTS,M,M,M,M,M,M,89.48,VCRI 021310Z 09003KT 050V120 9999 VCTS FEW018 FEW019CB SCT080 28/24 Q1008 NOSIG W
VCRI,2018-03-02 14:10,81.1241,6.2845,49.08,82.40,77.00,83.77,70.00,4.00,0.00,29.80,M,6.21,M,FEW,FEW,SCT,M,1800.00,1900.00,8000.00,M,M,M,M,M,M,M,M,90.85,VCRI 021410Z 07004KT 040V110 9999 FEW018 FEW019CB SCT080 28/25 Q1009 NOSIG W
VCRI,2018-03-02 15:10,81.1241,6.2845,49.08,80.60,77.00,88.83,70.00,5.00,0.00,29.83,M,6.21,M,FEW,FEW,SCT,M,1800.00,1900.00,8000.00,M,M,M,M,M,M,M,M,87.10,VCRI 021510Z 07005KT 9999 FEW018 FEW019CB SCT080 27/25 Q1010 NOSIG W
VCRI,2018-03-03 00:10,81.1241,6.2845,49.08,73.40,73.40,100.00,10.00,3.00,0.00,29.77,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,75.14,VCRI 030010Z 01003KT 9999 23/23 Q1008 NOSIG
