acc_train,acc_test,oob_score,n_trees,max_depth,max_features,min_samples_leaf,min_samples_split,times,f1_train,f1_test
0.489737040212004,0.4777792443826214,0.4644767130679222,30,12,9,100,300,32.9,0.4863872445658004,0.4742277616163092
0.450686880730352,0.4445674136197951,0.4334767870430405,30,12,9,100,1000,31.6,0.44557452582933016,0.439512492455713
0.437967511868655,0.43241377209637627,0.4225632813621865,30,12,9,400,300,32.2,0.4330485055293952,0.42753495903116195
0.4413616643531311,0.43463737067083635,0.425835592475425,30,12,9,400,1000,30.6,0.4358172664723948,0.42911899039480855
0.49822242142319423,0.4842165114885926,0.47263573346329746,30,12,18,100,300,60.4,0.4945365365471705,0.4803651170770618
0.44901156187583496,0.4436942196590482,0.4347300125757701,30,12,18,100,1000,58.4,0.44434985899962925,0.43909796286841796
0.4442858572628336,0.43723664571678056,0.43013920376663894,30,12,18,400,300,56.4,0.43905469868660013,0.4320265326021609
0.43859847611256403,0.4323325447511905,0.423725125866488,30,12,18,400,1000,56.2,0.4319925657408902,0.42592944989610987
0.57231502956829,0.547025556153479,0.5316591748728281,30,20,9,100,300,40.6,0.5637041537891528,0.5381472648838226
0.49196934819217863,0.48075419590004975,0.46996392625115857,30,20,9,100,1000,39.3,0.48344945303930853,0.4721397563391815
0.4788975096494015,0.46816395739625744,0.45889376737871346,30,20,9,400,300,36.1,0.46993989792445223,0.45919205353033793
0.47166100249339665,0.46120886596472704,0.45339785124038867,30,20,9,400,1000,34.3,0.4624541612238175,0.45211220150446035
0.5737031509048898,0.5488024043294175,0.5367591065546307,30,20,18,100,300,71.8,0.5662501165777646,0.5410633867339444
0.48762657360306694,0.474895673628527,0.46832777069453935,30,20,18,100,1000,66.3,0.4786596735443136,0.46588205639647184
0.47697415657486497,0.4653514605692006,0.45922447967207264,30,20,18,400,300,62.9,0.46919920238805907,0.45743323028200567
0.47150870077934964,0.4615642355999147,0.45151366146375,30,20,18,400,1000,61.5,0.4638298807082897,0.4538118193051462
0.4957116188801908,0.48283564662043477,0.4769828595299534,100,12,9,100,300,109.8,0.492624188982217,0.4796479125087916
0.45257107050699064,0.44708546132055355,0.4423407468005761,100,12,9,100,1000,105.1,0.4484210715767553,0.443000280288939
0.44522142493483663,0.43890180629308856,0.4352652443137067,100,12,9,400,300,103.3,0.4402423219180954,0.43386057300259145
0.4438985757613998,0.43813014651382387,0.43377703899359027,100,12,9,400,1000,101.1,0.4392277751760966,0.4334234851006926
0.4946716157471269,0.48106895186264453,0.4769001814566136,100,12,18,100,300,208.5,0.4912412670080685,0.4774971709573576
0.4535022867014495,0.4478266608453736,0.44305438911782496,100,12,18,100,1000,193.4,0.4481904682753973,0.44258976576694237
0.4473231885886853,0.4404146655971733,0.43698842942120997,100,12,18,400,300,189.3,0.44227069721799306,0.4354881420758491
0.44310660684835534,0.43805907258678634,0.4337248212630599,100,12,18,400,1000,187.1,0.4376994446016172,0.4327964014126782
0.5791816611330377,0.5519905776279584,0.549008515841554,100,20,9,100,300,132.0,0.5712751811772634,0.5435186044372581
0.49482391746117393,0.4823482825493202,0.4805206107733881,100,20,9,100,1000,122.4,0.4859271667689728,0.47331232721568317
0.4828834630798888,0.47070231193331236,0.46925898688899814,100,20,9,400,300,119.0,0.4746703137758955,0.46235537990886943
0.47587758423372656,0.4639604422828945,0.46289277524183337,100,20,9,400,1000,113.8,0.46735139155951066,0.45542566876064455
0.5768797295121558,0.550721400359431,0.5491912778984104,100,20,18,100,300,244.3,0.5690199157620993,0.542536732595643
0.49179964056795483,0.48075419590004975,0.47793148163458904,100,20,18,100,1000,224.4,0.4825958051715856,0.4714936491449213
0.48201751904859297,0.4707733858603499,0.46884994799984336,100,20,18,400,300,212.4,0.4739987280261859,0.46241825127192154
0.47524226851227336,0.4658286712221669,0.4620094253003607,100,20,18,400,1000,208.7,0.4674967827220239,0.45794438280040606
