acc_train,acc_test,oob_score,n_trees,max_depth,max_features,min_samples_leaf,min_samples_split,times,f1_train,f1_test
0.9228828588176806,0.9210166380996901,0.9168428941373759,30,12,9,100,300,14.5,0.9221993487292736,0.920091084252934
0.9068851145293056,0.9062830035146038,0.9029524593934807,30,12,9,100,1000,13.4,0.9051208576850669,0.9042167288942368
0.9035460677158694,0.9022490001558199,0.897276079810639,30,12,9,400,300,13.1,0.9023549295774648,0.9007488661533594
0.9049113668573633,0.9039457054311882,0.8985745980158641,30,12,9,400,1000,12.7,0.9040038952769767,0.9027246905354701
0.9219776061260379,0.9191121729946848,0.9161973450867781,30,12,18,100,300,24.2,0.9209368773262152,0.9177493750220062
0.8983445747909385,0.8973839574784882,0.8970757370018327,30,12,18,100,1000,23.0,0.8956603859804115,0.894366322693329
0.8938479917488443,0.8937135338215689,0.8913325764827222,30,12,18,400,300,21.5,0.8927779110205061,0.8922585513961285
0.8883719549748087,0.8885368513997819,0.8862201248061498,30,12,18,400,1000,21.3,0.886506631259713,0.8861498196222677
0.9269268155139535,0.9237175158849703,0.9221927891429038,30,20,9,100,300,16.7,0.9256182117554645,0.922174727099304
0.9143497391833434,0.9132083311691684,0.9093485890672187,30,20,9,100,1000,14.8,0.911935914552737,0.9105540190918012
0.9027075959604953,0.9011582610502259,0.8961111234779512,30,20,9,400,300,14.4,0.9011116641778663,0.8991217995158413
0.9062024649585587,0.9055039041534653,0.9003999436072093,30,20,9,400,1000,13.2,0.9046645801123722,0.9037355815019931
0.9320021666703767,0.9283921120518015,0.925643137516788,30,20,18,100,300,27.3,0.9306304124023497,0.9267938688095153
0.9045403616558704,0.9032531726657318,0.9015129592116882,30,20,18,100,1000,25.8,0.9017631472445574,0.9001144001144001
0.8996801935163131,0.899773195519313,0.896066602853772,30,20,18,400,300,22.9,0.8983611486994436,0.8981939046480135
0.8939444531012325,0.8936442805450233,0.8892030066261529,30,20,18,400,1000,22.2,0.8921730602391459,0.8914913535760338
0.9240329749423087,0.9213975311206911,0.920345183239469,100,12,9,100,300,51.0,0.923382027180746,0.9204625087596355
0.906870274321246,0.9059713637701484,0.9045700420719899,100,12,9,100,1000,47.6,0.9049634649604361,0.903806301918206
0.90403579458184,0.9021104936027285,0.9012755158827327,100,12,9,400,300,43.7,0.9029804280473808,0.9006745836554002
0.9059872819416929,0.9047594314305996,0.9030786011619882,100,12,9,400,1000,43.0,0.9048270059943212,0.9032621120196958
0.9207755492732008,0.9194064994200039,0.9186905000408105,100,12,18,100,300,82.7,0.9198814392376092,0.9182142417906777
0.9026927557524357,0.9019200470922281,0.9013274566109417,100,12,18,100,1000,78.6,0.9003540871996718,0.8992656080516385
0.898745260408551,0.8983188767118544,0.8970534766897432,100,12,18,400,300,74.8,0.8978623394509146,0.8970245296582681
0.8968902344010863,0.896449038245122,0.8942635175745164,100,12,18,400,1000,75.4,0.8957336014526464,0.8948765269355831
0.9300432592064941,0.9269724198826157,0.9264074082318634,100,20,9,100,300,60.6,0.9288022957257211,0.9254585939985156
0.9117601228769228,0.9100399937672051,0.9094747308357263,100,20,9,100,1000,55.3,0.9093390256918503,0.9073268174359707
0.9055940164281103,0.9031492927509133,0.902885678457212,100,20,9,400,300,48.8,0.9041141315406703,0.901316021592633
0.9083617152312475,0.9073391159819248,0.9060392226699018,100,20,9,400,1000,47.8,0.906542763307251,0.9052676295666949
0.9314085583479881,0.9284959919666199,0.927743026957238,100,20,18,100,300,102.5,0.9301591139183124,0.9270137489838476
0.9075826043081124,0.9062310635571945,0.905927921109454,100,20,18,100,1000,96.4,0.9047586275454415,0.90307108597609
0.9032270032425854,0.9024394466663204,0.9005483456878065,100,20,18,400,300,86.3,0.9019295264163144,0.9008079705680437
0.8998063352848207,0.8989940961581745,0.8969421751292953,100,20,18,400,1000,87.3,0.8983292046592526,0.897161995416887
