acc_train,acc_test,oob_score,n_trees,max_depth,max_features,min_samples_leaf,min_samples_split,times,f1_train,f1_test
0.9197996671070408,0.9178494923283234,0.9142464751412556,30,12,9,100,300,13.7,0.918587999969693,0.9161019511587783
0.9082976928875852,0.9067730193838277,0.9019906401845093,30,12,9,100,1000,13.2,0.906122012347943,0.9040870079375034
0.9100367973607411,0.9082533656106864,0.9011845316733469,30,12,9,400,300,12.5,0.9084069821343081,0.9060661174708462
0.9062152459004157,0.9050662672634494,0.8977137866947312,30,12,9,400,1000,12.5,0.904149089549848,0.9024464448699824
0.9288907797607052,0.9247461641616886,0.9219567537711697,30,12,18,100,300,23.9,0.9273685093276612,0.9227440954032646
0.903602857206834,0.9016875946986189,0.9007889413854617,30,12,18,100,1000,22.7,0.9012607130023929,0.8987752613552817
0.9033714742082596,0.9029241191939951,0.8970569575374878,30,12,18,400,300,21.9,0.9017590189561232,0.9008185053380783
0.9034908976913948,0.902540970758808,0.8968106466035215,30,12,18,400,1000,21.9,0.9018804352775122,0.9005014046442159
0.9277114728647454,0.924885490865393,0.9214566679355412,30,20,9,100,300,16.4,0.9260715239876341,0.9227849687595109
0.9134552945654851,0.9111966422264407,0.9075363681825985,30,20,9,100,1000,15.0,0.9109672663610605,0.9081542590557847
0.9081633414690581,0.9066336926801233,0.9002216798405697,30,20,9,400,300,13.5,0.9061994937944072,0.9041086089398465
0.9044836053949559,0.9038471586060364,0.8977361785978191,30,20,9,400,1000,13.4,0.901912390296248,0.9007639076121147
0.9293236898870701,0.9251815601107647,0.9236660023735417,30,20,18,100,300,27.4,0.9274822898717211,0.9227282538312109
0.9147241690737963,0.9124505825597798,0.908894810303261,30,20,18,100,1000,24.7,0.9117808303798249,0.9089888657554086
0.9060510386111049,0.9054145840227102,0.8995051389417587,30,20,18,400,300,22.7,0.9037919147602631,0.9026405894268862
0.9063421333512468,0.9048572772078929,0.8986318547213328,30,20,18,400,1000,22.8,0.9041478878618899,0.9022596747356556
0.9216283391925479,0.9190511851477734,0.9178739634414862,100,12,9,100,300,47.6,0.9205532520202173,0.9173894497369544
0.9080737738567067,0.905710653268082,0.9056405203878277,100,12,9,100,1000,45.9,0.9059014088811466,0.9029922952875828
0.909335184397322,0.9082359497727233,0.9050583309075438,100,12,9,400,300,42.5,0.907476101610999,0.9059090340898944
0.9066630839621727,0.9050140197495602,0.9035282175298746,100,12,9,400,1000,41.7,0.9045223061241631,0.9021633839199223
0.9267411570642722,0.9227955903098277,0.9235764347611903,100,12,18,100,300,83.0,0.9252139194306657,0.9206479906918463
0.9097457026205991,0.9072084153329038,0.9075587600856864,100,12,18,100,1000,78.8,0.9076438958817059,0.904543500071664
0.9118430775431604,0.9099601177310647,0.9084096524030244,100,12,18,400,300,75.9,0.9101449275362319,0.907741175630822
0.9077976070519567,0.9062679600828993,0.9048493398120573,100,12,18,400,1000,73.4,0.9061372115464983,0.903992293695815
0.9283160542481173,0.9252686393005799,0.9251140121065556,100,20,9,100,300,53.8,0.9267418267250453,0.9231375499310369
0.9121938840248699,0.9098904543792125,0.9099323018129978,100,20,9,100,1000,48.9,0.9094714809000524,0.9065761438734607
0.91105189696739,0.9088106724255037,0.9068646110899632,100,20,9,400,300,45.3,0.9089686886510683,0.9060941927615768
0.9082827649521933,0.9064421184625299,0.904603028878091,100,20,9,400,1000,44.4,0.9059097382808312,0.9033812949640289
0.9318465109683005,0.927689440777443,0.9281219910880226,100,20,18,100,300,98.5,0.9301660382553364,0.9254229981679061
0.9163811699022967,0.9141573346801581,0.9139404524657218,100,20,18,100,1000,88.8,0.913774658077228,0.9110433323106355
0.9145077140106138,0.912520245911632,0.9110145771289102,100,20,18,400,300,78.7,0.9123239436619719,0.9098738628819552
0.9118356135754645,0.9101342761106951,0.9085962515954231,100,20,18,400,1000,78.1,0.9095905089934941,0.9074738201118921
