iso_country,iata_code,gps_code,timezone
MH,UTK,K03N,Pacific/Kwajalein
US,OCA,07FA,America/New_York
US,CSE,0CO2,America/Denver
US,JCY,0TE7,America/Chicago
US,PMX,13MA,America/New_York
US,WLR,13Z,America/Sitka
US,NUP,PPIT,America/Nome
US,PTC,16K,America/Juneau
US,ICY,19AK,America/Anchorage
US,PPV,19P,America/Metlakatla
US,KKK,1KC,America/Anchorage
US,MHS,KMHS,America/Los_Angeles
US,LVD,2AK,America/Anchorage
US,HGZ,2AK6,America/Anchorage
US,OTN,I20,America/Indiana/Vincennes
US,TLF,2K5,America/Anchorage
US,BZT,2TE0,America/Chicago
US,FAK,2Z6,America/Sitka
US,BYW,38WA,America/Los_Angeles
US,DRF,3AK5,America/Anchorage
US,BDF,3IS8,America/Chicago
US,VRS,3VS,America/Chicago
US,GDH,3Z8,America/Anchorage
US,LIV,4AK,America/Anchorage
US,PDB,4K0,America/Anchorage
US,TNK,4KA,America/Nome
US,EVA,4TE8,America/Chicago
US,TKI,57A,America/Metlakatla
US,WKK,5A8,America/Anchorage
US,BKF,5Z9,America/Anchorage
US,BCS,65LA,America/Chicago
US,SPQ,6CA3,America/Los_Angeles
US,TSS,6N5,America/New_York
US,BWL,6OK6,America/Chicago
US,WYB,78K,America/Sitka
US,CWS,78WA,America/Los_Angeles
US,TEK,PAKA,America/Anchorage
US,DUF,7NC2,America/New_York
US,SSW,7WA5,America/Los_Angeles
US,FOB,82CL,America/Los_Angeles
US,PUL,83Q,America/Los_Angeles
US,CCD,84CL,America/Los_Angeles
US,WMK,84K,America/Juneau
US,AXB,89NY,America/New_York
US,REE,8XS8,America/Chicago
US,WDN,90WA,America/Los_Angeles
US,CHU,PACH,America/Anchorage
US,PSQ,9N2,America/New_York
US,SGW,A23,America/Juneau
US,WTL,A61,America/Nome
US,TWA,A63,America/Anchorage
US,KCQ,A79,America/Anchorage
PG,ADC,AYAN,Pacific/Port_Moresby
ES,AEI,LEAG,Europe/Madrid
PG,AEK,AYAX,Pacific/Port_Moresby
AF,URZ,OARG,Asia/Kabul
AF,OLR,OASL,Asia/Kabul
PG,AFR,AYAF,Pacific/Port_Moresby
SB,AFT,AGAF,Pacific/Guadalcanal
SB,RNA,AGAR,Pacific/Guadalcanal
SB,ATD,AGAT,Pacific/Guadalcanal
SB,VEV,AGBA,Pacific/Guadalcanal
SB,GEF,AGEV,Pacific/Guadalcanal
SB,AKS,AGGA,Pacific/Guadalcanal
SB,BNY,AGGB,Pacific/Guadalcanal
SB,CHY,AGGC,Pacific/Guadalcanal
SB,BAS,AGGE,Pacific/Guadalcanal
SB,FRE,AGGF,Pacific/Guadalcanal
SB,HIR,AGGH,Pacific/Guadalcanal
SB,MBU,AGGI,Pacific/Guadalcanal
SB,AVU,AGGJ,Pacific/Guadalcanal
SB,IRA,AGGK,Pacific/Guadalcanal
SB,SCZ,AGGL,Pacific/Guadalcanal
SB,MUA,AGGM,Pacific/Guadalcanal
SB,GZO,AGGN,Pacific/Guadalcanal
SB,MNY,AGGO,Pacific/Guadalcanal
SB,PRS,AGGP,Pacific/Guadalcanal
SB,OTV,AGGQ,Pacific/Guadalcanal
SB,RNL,AGGR,Pacific/Guadalcanal
SB,EGM,AGGS,Pacific/Guadalcanal
SB,NNB,AGGT,Pacific/Guadalcanal
SB,RUS,AGGU,Pacific/Guadalcanal
SB,VAO,AGGV,Pacific/Guadalcanal
SB,XYA,AGGY,Pacific/Guadalcanal
SB,KGE,AGKG,Pacific/Guadalcanal
SB,KUE,AGKU,Pacific/Guadalcanal
SB,KWS,AGKW,Pacific/Guadalcanal
PG,AGL,AYWG,Pacific/Port_Moresby
SB,NAZ,AGNA,Pacific/Guadalcanal
SB,RIN,AGRC,Pacific/Guadalcanal
SB,RBV,AGRM,Pacific/Guadalcanal
SB,TLG,AGTI,Pacific/Guadalcanal
CN,AHJ,ZUHY,Asia/Shanghai
US,AHT,PAHT,America/Adak
PG,AIE,AYAO,Pacific/Port_Moresby
PG,AIH,AYAK,Pacific/Port_Moresby
US,CEX,AK13,America/Anchorage
US,SOL,AK26,America/Nome
US,HED,AK33,America/Anchorage
US,TWE,AK49,America/Nome
US,KTH,AK56,America/Anchorage
US,NKI,AK62,America/Juneau
US,LNI,PALN,America/Anchorage
US,CDL,AK75,America/Anchorage
US,AOS,AK81,America/Anchorage
US,BSW,AK97,America/Anchorage
US,TGE,AL73,America/Chicago
MX,PPE,MMPE,America/Hermosillo
PG,AMF,AYAA,Pacific/Port_Moresby
PG,AMU,AYAM,Pacific/Port_Moresby
NR,INU,ANYN,Pacific/Nauru
AO,KNP,FNCP,Africa/Luanda
PG,APR,AYPE,Pacific/Port_Moresby
AQ,QET,AT27,Asia/Seoul
AR,NCJ,SAFS,America/Argentina/Cordoba
AR,PRQ,SARS,America/Argentina/Cordoba
PG,ATN,AYNX,Pacific/Port_Moresby
PG,ATP,AYAI,Pacific/Port_Moresby
AU,MWY,YMIR,Australia/Brisbane
AU,OKB,YORC,Australia/Brisbane
AU,TPR,YTMP,Australia/Perth
PG,AUI,AYND,Pacific/Port_Moresby
PG,AUJ,AYAT,Pacific/Port_Moresby
PG,AUP,AYAG,Pacific/Port_Moresby
PG,AUV,AYUM,Pacific/Port_Moresby
GA,AWE,FOGW,Africa/Libreville
CN,AXF,ZBAL,Asia/Shanghai
PG,KPM,AYAQ,Pacific/Port_Moresby
PG,BUA,AYBK,Pacific/Bougainville
PG,BRP,AYBR,Pacific/Port_Moresby
PG,CMU,AYCH,Pacific/Port_Moresby
PG,MDM,AYDK,Pacific/Port_Moresby
PG,KPF,AYDL,Pacific/Port_Moresby
PG,DNU,AYDN,Pacific/Port_Moresby
PG,DOI,AYDO,Pacific/Port_Moresby
PG,DAU,AYDU,Pacific/Port_Moresby
PG,EMS,AYEB,Pacific/Port_Moresby
PG,XYR,AYED,Pacific/Port_Moresby
PG,EPT,AYEL,Pacific/Port_Moresby
PG,EGA,AYEN,Pacific/Port_Moresby
PG,EMO,AYEO,Pacific/Port_Moresby
PG,ERU,AYER,Pacific/Port_Moresby
PG,MFZ,AYES,Pacific/Port_Moresby
PG,FRQ,AYFE,Pacific/Port_Moresby
PG,FAQ,AYFR,Pacific/Port_Moresby
PG,FUM,AYFU,Pacific/Port_Moresby
PG,GKA,AYGA,Pacific/Port_Moresby
PG,GUG,AYGF,Pacific/Port_Moresby
PG,GRL,AYGG,Pacific/Port_Moresby
PG,GUR,AYGN,Pacific/Port_Moresby
PG,GAP,AYGP,Pacific/Port_Moresby
PG,PNP,AYGR,Pacific/Port_Moresby
PG,GBC,AYGS,Pacific/Port_Moresby
PG,HBD,AYHB,Pacific/Port_Moresby
PG,HNI,AYHE,Pacific/Port_Moresby
PG,HNN,AYHH,Pacific/Port_Moresby
PG,HKN,AYHK,Pacific/Port_Moresby
PG,HIT,AYHO,Pacific/Port_Moresby
PG,IMN,AYII,Pacific/Port_Moresby
PG,KGM,AYIM,Pacific/Port_Moresby
PG,IMD,AYIO,Pacific/Port_Moresby
PG,KIE,AYIQ,Pacific/Bougainville
PG,IAL,AYIU,Pacific/Port_Moresby
PG,WIU,AYIX,Pacific/Port_Moresby
PG,KGH,AYJO,Pacific/Port_Moresby
PG,LSA,AYKA,Pacific/Port_Moresby
PG,KPA,AYKG,Pacific/Port_Moresby
PG,UNG,AYKI,Pacific/Port_Moresby
PG,KNE,AYKJ,Pacific/Port_Moresby
PG,KRI,AYKK,Pacific/Port_Moresby
PG,KMA,AYKM,Pacific/Port_Moresby
PG,KRX,AYKR,Pacific/Port_Moresby
PG,KUQ,AYKU,Pacific/Port_Moresby
PG,KVG,AYKV,Pacific/Port_Moresby
PG,LNV,AYKY,Pacific/Port_Moresby
PG,LAB,AYLB,Pacific/Port_Moresby
PG,LWI,AYLO,Pacific/Port_Moresby
PG,LPN,AYLP,Pacific/Port_Moresby
PG,LNG,AYLS,Pacific/Port_Moresby
PG,LSJ,AYLX,Pacific/Port_Moresby
PG,MRM,AYMA,Pacific/Port_Moresby
PG,OBM,AYMB,Pacific/Port_Moresby
PG,MAG,AYMD,Pacific/Port_Moresby
PG,HGU,AYMH,Pacific/Port_Moresby
PG,GUV,AYML,Pacific/Port_Moresby
PG,MDU,AYMN,Pacific/Port_Moresby
PG,MAS,AYMO,Pacific/Port_Moresby
PG,MXH,AYMR,Pacific/Port_Moresby
PG,MIS,AYMS,Pacific/Port_Moresby
PG,MWG,AYMW,Pacific/Port_Moresby
PG,NKN,AYNA,Pacific/Port_Moresby
PG,GBF,AYNE,Pacific/Port_Moresby
PG,MFO,AYNG,Pacific/Port_Moresby
PG,KSB,AYNM,Pacific/Port_Moresby
PG,NMN,AYNO,Pacific/Port_Moresby
PG,NBA,AYNY,Pacific/Port_Moresby
PG,LAE,AYNZ,Pacific/Port_Moresby
PG,KGB,AYOE,Pacific/Port_Moresby
PG,OKP,AYOJ,Pacific/Port_Moresby
PG,HOC,AYOK,Pacific/Port_Moresby
PG,KCJ,AYOQ,Pacific/Port_Moresby
PG,KDE,AYOW,Pacific/Port_Moresby
PG,OPB,AYOY,Pacific/Port_Moresby
PG,PGB,AYPC,Pacific/Port_Moresby
PG,PGN,AYPG,Pacific/Port_Moresby
PG,MPF,AYPO,Pacific/Port_Moresby
PG,PMN,AYPQ,Pacific/Port_Moresby
PG,POM,AYPY,Pacific/Port_Moresby
PG,SPH,AYQO,Pacific/Port_Moresby
PG,SXA,AYQS,Pacific/Port_Moresby
PG,RMN,AYRG,Pacific/Port_Moresby
PG,KMR,AYRI,Pacific/Port_Moresby
PG,MWI,AYRM,Pacific/Port_Moresby
PG,MRH,AYRV,Pacific/Port_Moresby
PG,SBE,AYSA,Pacific/Port_Moresby
PG,NIS,AYSE,Pacific/Port_Moresby
PG,SIL,AYSG,Pacific/Port_Moresby
PG,SBV,AYSH,Pacific/Bougainville
PG,SIM,AYSJ,Pacific/Port_Moresby
